astatotilapia_calliptera ENSACLG00000017976
haplochromis_burtoni ENSHBUG00000008838
amphilophus_citrinellus ENSACIG00000016008
poecilia_latipinna ENSPLAG00000004280
poecilia_mexicana ENSPMEG00000020511
seriola_lalandi_dorsalis ENSSLDG00000001198
amphiprion_ocellaris ENSAOCG00000023610
acanthochromis_polyacanthus ENSAPOG00000008085
poecilia_latipinna ENSPLAG00000010035
poecilia_mexicana ENSPMEG00000022701
xiphophorus_couchianus ENSXCOG00000016303
kryptolebias_marmoratus ENSKMAG00000000570
neolamprologus_brichardi ENSNBRG00000016734
haplochromis_burtoni ENSHBUG00000021276
seriola_lalandi_dorsalis ENSSLDG00000002444
oryzias_melastigma ENSOMEG00000021147
acanthochromis_polyacanthus ENSAPOG00000005532
xiphophorus_couchianus ENSXCOG00000014739
cynoglossus_semilaevis ENSCSEG00000008054
