neovison_vison ENSNVIG00000022276
mustela_putorius_furo ENSMPUG00000001591
ailuropoda_melanoleuca ENSAMEG00000002130
equus_caballus ENSECAG00000009081
capra_hircus ENSCHIG00000000419
ovis_aries ENSOARG00000016447
tursiops_truncatus ENSTTRG00000007591
sus_scrofa ENSSSCG00000040820
vicugna_pacos ENSVPAG00000008391
sorex_araneus ENSSARG00000001833
erinaceus_europaeus ENSEEUG00000005789
myotis_lucifugus ENSMLUG00000001892
pteropus_vampyrus ENSPVAG00000015407
oryctolagus_cuniculus ENSOCUG00000015860
ochotona_princeps ENSOPRG00000007539
pongo_abelii ENSPPYG00000020665
procavia_capensis ENSPCAG00000008402
echinops_telfairi ENSETEG00000015831
ornithorhynchus_anatinus ENSOANG00000021617
