microtus_ochrogaster ENSMOCG00000017397
mesocricetus_auratus ENSMAUG00000012589
dipodomys_ordii ENSDORG00000029555
procavia_capensis ENSPCAG00000002169
loxodonta_africana ENSLAFG00000011956
dasypus_novemcinctus ENSDNOG00000046388
dasypus_novemcinctus ENSDNOG00000037727
ursus_americanus ENSUAMG00000021467
ursus_maritimus ENSUMAG00000019735
ailuropoda_melanoleuca ENSAMEG00000017613
canis_lupus_dingo ENSCAFG00020024984
canis_lupus_familiaris ENSCAFG00000017278
vulpes_vulpes ENSVVUG00000013680
neovison_vison ENSNVIG00000023558
mustela_putorius_furo ENSMPUG00000000084
panthera_pardus ENSPPRG00000022017
panthera_tigris_altaica ENSPTIG00000011943
felis_catus ENSFCAG00000025493
erinaceus_europaeus ENSEEUG00000010916
equus_caballus ENSECAG00000010189
equus_asinus_asinus ENSEASG00005006471
tursiops_truncatus ENSTTRG00000015964
sus_scrofa ENSSSCG00000026714
ovis_aries ENSOARG00000018853
capra_hircus ENSCHIG00000018621
bos_taurus ENSBTAG00000000895
bos_mutus ENSBMUG00000016896
vicugna_pacos ENSVPAG00000001210
pteropus_vampyrus ENSPVAG00000017408
myotis_lucifugus ENSMLUG00000014581
cricetulus_griseus_crigri_1.0 ENSCGRG00000014420
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017738
cricetulus_griseus_crigri-picr ENSCGRG00015017521
peromyscus_maniculatus_bairdii ENSPEMG00000022582
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000047242
mus_spicilegus ENSMSIG00000009481
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034493
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033329
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031865
rattus_norvegicus ENSRNOG00000061102
meriones_unguiculatus ENSMUGG00000001206
nannospalax_galili ENSNGAG00000007200
jaculus_jaculus ENSJJAG00000023542
jaculus_jaculus ENSJJAG00000000656
oryctolagus_cuniculus ENSOCUG00000028087
octodon_degus ENSODEG00000000540
chinchilla_lanigera ENSCLAG00000000199
cavia_porcellus ENSCPOG00000002098
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001675
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000213
fukomys_damarensis ENSFDAG00000020162
spermophilus_dauricus ENSSDAG00000004469
urocitellus_parryii ENSUPAG00010008118
marmota_marmota_marmota ENSMMMG00000024299
ictidomys_tridecemlineatus ENSSTOG00000001982
castor_canadensis ENSCCNG00000000544
oryctolagus_cuniculus ENSOCUG00000014717
homo_sapiens ENSG00000187325
gorilla_gorilla ENSGGOG00000002470
pan_paniscus ENSPPAG00000042950
pan_troglodytes ENSPTRG00000022053
pongo_abelii ENSPPYG00000020497
nomascus_leucogenys ENSNLEG00000001378
macaca_mulatta ENSMMUG00000012875
macaca_fascicularis ENSMFAG00000045420
cercocebus_atys ENSCATG00000023495
macaca_nemestrina ENSMNEG00000040165
papio_anubis ENSPANG00000006121
theropithecus_gelada ENSTGEG00000001244
mandrillus_leucophaeus ENSMLEG00000031736
chlorocebus_sabaeus ENSCSAG00000010740
cercocebus_atys ENSCATG00000036968
colobus_angolensis_palliatus ENSCANG00000029422
piliocolobus_tephrosceles ENSPTEG00000009651
rhinopithecus_roxellana ENSRROG00000031988
rhinopithecus_bieti ENSRBIG00000039431
pan_paniscus ENSPPAG00000039839
pan_troglodytes ENSPTRG00000047793
gorilla_gorilla ENSGGOG00000041098
nomascus_leucogenys ENSNLEG00000033092
saimiri_boliviensis_boliviensis ENSSBOG00000013611
saimiri_boliviensis_boliviensis ENSSBOG00000035574
callithrix_jacchus ENSCJAG00000019520
cebus_capucinus_imitator ENSCCAG00000026528
aotus_nancymaae ENSANAG00000036258
carlito_syrichta ENSTSYG00000036557
microcebus_murinus ENSMICG00000037189
prolemur_simus ENSPSMG00000000050
propithecus_coquereli ENSPCOG00000008362
otolemur_garnettii ENSOGAG00000011107
manacus_vitellinus ENSMVIG00005003979
