ovis_aries ENSOARG00000008250
capra_hircus ENSCHIG00000010953
bos_mutus ENSBMUG00000005579
bos_taurus ENSBTAG00000009501
bison_bison_bison ENSBBBG00000013988
vicugna_pacos ENSVPAG00000012337
sus_scrofa ENSSSCG00000015799
equus_caballus ENSECAG00000009884
equus_asinus_asinus ENSEASG00005018327
ursus_americanus ENSUAMG00000015377
ursus_maritimus ENSUMAG00000012292
ailuropoda_melanoleuca ENSAMEG00000005097
mustela_putorius_furo ENSMPUG00000010297
neovison_vison ENSNVIG00000020383
canis_lupus_familiaris ENSCAFG00000007364
canis_lupus_dingo ENSCAFG00020000492
vulpes_vulpes ENSVVUG00000012628
panthera_pardus ENSPPRG00000003236
panthera_tigris_altaica ENSPTIG00000016637
felis_catus ENSFCAG00000031525
pteropus_vampyrus ENSPVAG00000005847
myotis_lucifugus ENSMLUG00000015612
sorex_araneus ENSSARG00000010245
erinaceus_europaeus ENSEEUG00000008603
chinchilla_lanigera ENSCLAG00000016848
octodon_degus ENSODEG00000005385
cavia_porcellus ENSCPOG00000004936
cavia_aperea ENSCAPG00000014364
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005302
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015600
fukomys_damarensis ENSFDAG00000006022
spermophilus_dauricus ENSSDAG00000018520
urocitellus_parryii ENSUPAG00010006524
ictidomys_tridecemlineatus ENSSTOG00000009756
marmota_marmota_marmota ENSMMMG00000010575
castor_canadensis ENSCCNG00000030393
dipodomys_ordii ENSDORG00000004654
mus_spicilegus ENSMSIG00000027129
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000109764
rattus_norvegicus ENSRNOG00000014118
meriones_unguiculatus ENSMUGG00000005196
peromyscus_maniculatus_bairdii ENSPEMG00000005720
microtus_ochrogaster ENSMOCG00000019660
cricetulus_griseus_crigri_1.0 ENSCGRG00000004564
cricetulus_griseus_crigri-picr ENSCGRG00015022689
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013789
mesocricetus_auratus ENSMAUG00000003926
nannospalax_galili ENSNGAG00000021275
jaculus_jaculus ENSJJAG00000013422
oryctolagus_cuniculus ENSOCUG00000011311
ochotona_princeps ENSOPRG00000005182
tupaia_belangeri ENSTBEG00000005038
pan_paniscus ENSPPAG00000042180
pan_troglodytes ENSPTRG00000048789
gorilla_gorilla ENSGGOG00000026546
homo_sapiens ENSG00000164344
pongo_abelii ENSPPYG00000015256
nomascus_leucogenys ENSNLEG00000011512
macaca_mulatta ENSMMUG00000011633
macaca_fascicularis ENSMFAG00000045445
macaca_nemestrina ENSMNEG00000044142
papio_anubis ENSPANG00000010070
theropithecus_gelada ENSTGEG00000024987
cercocebus_atys ENSCATG00000035703
mandrillus_leucophaeus ENSMLEG00000039956
chlorocebus_sabaeus ENSCSAG00000002932
piliocolobus_tephrosceles ENSPTEG00000015282
colobus_angolensis_palliatus ENSCANG00000029606
rhinopithecus_bieti ENSRBIG00000044402
rhinopithecus_roxellana ENSRROG00000033613
cebus_capucinus_imitator ENSCCAG00000036392
saimiri_boliviensis_boliviensis ENSSBOG00000018282
callithrix_jacchus ENSCJAG00000020276
aotus_nancymaae ENSANAG00000026589
carlito_syrichta ENSTSYG00000005191
prolemur_simus ENSPSMG00000010581
propithecus_coquereli ENSPCOG00000021434
microcebus_murinus ENSMICG00000002077
otolemur_garnettii ENSOGAG00000002016
loxodonta_africana ENSLAFG00000017589
procavia_capensis ENSPCAG00000001634
echinops_telfairi ENSETEG00000008681
choloepus_hoffmanni ENSCHOG00000010524
dasypus_novemcinctus ENSDNOG00000010757
phascolarctos_cinereus ENSPCIG00000037203
phascolarctos_cinereus ENSPCIG00000030868
phascolarctos_cinereus ENSPCIG00000027468
notamacropus_eugenii ENSMEUG00000005546
sarcophilus_harrisii ENSSHAG00000005594
monodelphis_domestica ENSMODG00000004972
ornithorhynchus_anatinus ENSOANG00000030622
