ciona_intestinalis ENSCING00000014933
ciona_savignyi ENSCSAVG00000001376
caenorhabditis_elegans_strain_n2 WBGene00021350
latimeria_chalumnae ENSLACG00000016622
xenopus_tropicalis ENSXETG00000003912
scleropages_formosus ENSSFOG00015014270
paramormyrops_kingsleyae ENSPKIG00000016401
pygocentrus_nattereri ENSPNAG00000016492
pygocentrus_nattereri ENSPNAG00000003434
astyanax_mexicanus ENSAMXG00000037897
ictalurus_punctatus ENSIPUG00000007135
fundulus_heteroclitus ENSFHEG00000020156
fundulus_heteroclitus ENSFHEG00000012029
cyprinodon_variegatus ENSCVAG00000015215
poecilia_latipinna ENSPLAG00000011480
poecilia_mexicana ENSPMEG00000012011
poecilia_formosa ENSPFOG00000008792
gambusia_affinis ENSGAFG00000006590
xiphophorus_maculatus ENSXMAG00000005178
oryzias_latipes_asm223469v1 ENSORLG00015017662
oryzias_latipes_asm223467v1 ENSORLG00000001144
oryzias_latipes_asm223471v1 ENSORLG00020003423
oryzias_melastigma ENSOMEG00000003017
mastacembelus_armatus ENSMAMG00000022967
amphiprion_ocellaris ENSAOCG00000017461
amphiprion_percula ENSAPEG00000010223
acanthochromis_polyacanthus ENSAPOG00000012340
stegastes_partitus ENSSPAG00000000134
astatotilapia_calliptera ENSACLG00000022272
maylandia_zebra ENSMZEG00005012555
pundamilia_nyererei ENSPNYG00000011262
oreochromis_niloticus ENSONIG00000015528
monopterus_albus ENSMALG00000011929
labrus_bergylta ENSLBEG00000003001
tetraodon_nigroviridis ENSTNIG00000013740
seriola_dumerili ENSSDUG00000001490
seriola_lalandi_dorsalis ENSSLDG00000009001
scophthalmus_maximus ENSSMAG00000018624
anabas_testudineus ENSATEG00000000881
cynoglossus_semilaevis ENSCSEG00000001155
gasterosteus_aculeatus ENSGACG00000006523
hippocampus_comes ENSHCOG00000016904
gadus_morhua ENSGMOG00000005197
esox_lucius ENSELUG00000004255
scleropages_formosus ENSSFOG00015012885
paramormyrops_kingsleyae ENSPKIG00000013311
lepisosteus_oculatus ENSLOCG00000003356
mola_mola ENSMMOG00000009117
periophthalmus_magnuspinnatus ENSPMGG00000021229
haplochromis_burtoni ENSHBUG00000016890
neolamprologus_brichardi ENSNBRG00000015457
amphilophus_citrinellus ENSACIG00000000729
kryptolebias_marmoratus ENSKMAG00000002462
poecilia_reticulata ENSPREG00000004202
xiphophorus_couchianus ENSXCOG00000020909
rattus_norvegicus ENSRNOG00000038412
cricetulus_griseus_crigri-picr ENSCGRG00015003735
cavia_porcellus ENSCPOG00000023953
cavia_aperea ENSCAPG00000005930
mus_spicilegus ENSMSIG00000001776
carlito_syrichta ENSTSYG00000013199
