otolemur_garnettii ENSOGAG00000003592
microcebus_murinus ENSMICG00000005235
pan_troglodytes ENSPTRG00000030434
pan_paniscus ENSPPAG00000025188
gorilla_gorilla ENSGGOG00000039320
homo_sapiens ENSG00000186150
pongo_abelii ENSPPYG00000010636
theropithecus_gelada ENSTGEG00000002250
chlorocebus_sabaeus ENSCSAG00000000166
piliocolobus_tephrosceles ENSPTEG00000027055
cebus_capucinus_imitator ENSCCAG00000035706
saimiri_boliviensis_boliviensis ENSSBOG00000019468
aotus_nancymaae ENSANAG00000007647
spermophilus_dauricus ENSSDAG00000012025
spermophilus_dauricus ENSSDAG00000012040
spermophilus_dauricus ENSSDAG00000015854
marmota_marmota_marmota ENSMMMG00000020761
urocitellus_parryii ENSUPAG00010016066
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001057
cricetulus_griseus_crigri_1.0 ENSCGRG00000019012
mesocricetus_auratus ENSMAUG00000018317
microtus_ochrogaster ENSMOCG00000002739
peromyscus_maniculatus_bairdii ENSPEMG00000013594
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026454
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025504
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000055891
mus_spicilegus ENSMSIG00000032150
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026950
meriones_unguiculatus ENSMUGG00000023735
cavia_porcellus ENSCPOG00000036064
chinchilla_lanigera ENSCLAG00000009392
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015741
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014662
dipodomys_ordii ENSDORG00000003357
castor_canadensis ENSCCNG00000021003
oryctolagus_cuniculus ENSOCUG00000009744
bos_taurus ENSBTAG00000016389
bos_mutus ENSBMUG00000002997
bison_bison_bison ENSBBBG00000009462
tursiops_truncatus ENSTTRG00000016067
sus_scrofa ENSSSCG00000028425
ailuropoda_melanoleuca ENSAMEG00000018980
ursus_americanus ENSUAMG00000025092
mustela_putorius_furo ENSMPUG00000019903
canis_lupus_familiaris ENSCAFG00000019792
canis_lupus_dingo ENSCAFG00020009735
equus_asinus_asinus ENSEASG00005005349
equus_caballus ENSECAG00000029192
vulpes_vulpes ENSVVUG00000002883
loxodonta_africana ENSLAFG00000027042
dasypus_novemcinctus ENSDNOG00000041822
notamacropus_eugenii ENSMEUG00000009528
monodelphis_domestica ENSMODG00000001710
sarcophilus_harrisii ENSSHAG00000007991
