theropithecus_gelada ENSTGEG00000006919
papio_anubis ENSPANG00000016892
mandrillus_leucophaeus ENSMLEG00000043668
cercocebus_atys ENSCATG00000021743
macaca_mulatta ENSMMUG00000031914
macaca_nemestrina ENSMNEG00000041145
macaca_fascicularis ENSMFAG00000007357
chlorocebus_sabaeus ENSCSAG00000005594
colobus_angolensis_palliatus ENSCANG00000035416
piliocolobus_tephrosceles ENSPTEG00000037984
rhinopithecus_bieti ENSRBIG00000044338
rhinopithecus_roxellana ENSRROG00000039228
pan_paniscus ENSPPAG00000029234
pan_troglodytes ENSPTRG00000004993
homo_sapiens ENSG00000185640
gorilla_gorilla ENSGGOG00000023133
pongo_abelii ENSPPYG00000004560
nomascus_leucogenys ENSNLEG00000017738
cebus_capucinus_imitator ENSCCAG00000028968
saimiri_boliviensis_boliviensis ENSSBOG00000030229
callithrix_jacchus ENSCJAG00000047304
aotus_nancymaae ENSANAG00000036959
carlito_syrichta ENSTSYG00000001266
prolemur_simus ENSPSMG00000013424
propithecus_coquereli ENSPCOG00000018794
microcebus_murinus ENSMICG00000002243
otolemur_garnettii ENSOGAG00000011736
tupaia_belangeri ENSTBEG00000004323
mus_spicilegus ENSMSIG00000010290
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021224
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000061397
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020331
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020330
rattus_norvegicus ENSRNOG00000058340
meriones_unguiculatus ENSMUGG00000006874
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014433
cricetulus_griseus_crigri-picr ENSCGRG00015028634
cricetulus_griseus_crigri_1.0 ENSCGRG00000002930
mesocricetus_auratus ENSMAUG00000019076
microtus_ochrogaster ENSMOCG00000013246
peromyscus_maniculatus_bairdii ENSPEMG00000004401
nannospalax_galili ENSNGAG00000003498
jaculus_jaculus ENSJJAG00000012970
spermophilus_dauricus ENSSDAG00000022276
ictidomys_tridecemlineatus ENSSTOG00000007546
urocitellus_parryii ENSUPAG00010021215
marmota_marmota_marmota ENSMMMG00000001973
castor_canadensis ENSCCNG00000020986
dipodomys_ordii ENSDORG00000015301
chinchilla_lanigera ENSCLAG00000009446
octodon_degus ENSODEG00000012401
cavia_porcellus ENSCPOG00000031195
cavia_aperea ENSCAPG00000009736
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000843
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007668
fukomys_damarensis ENSFDAG00000007006
ochotona_princeps ENSOPRG00000008930
sorex_araneus ENSSARG00000004170
erinaceus_europaeus ENSEEUG00000006022
equus_caballus ENSECAG00000021660
equus_asinus_asinus ENSEASG00005009248
mustela_putorius_furo ENSMPUG00000006659
neovison_vison ENSNVIG00000023218
ursus_americanus ENSUAMG00000016485
ursus_maritimus ENSUMAG00000009353
ailuropoda_melanoleuca ENSAMEG00000011930
canis_lupus_dingo ENSCAFG00020021688
canis_lupus_familiaris ENSCAFG00000007204
vulpes_vulpes ENSVVUG00000028003
panthera_tigris_altaica ENSPTIG00000007060
panthera_pardus ENSPPRG00000010761
felis_catus ENSFCAG00000000296
pteropus_vampyrus ENSPVAG00000009357
myotis_lucifugus ENSMLUG00000004226
ovis_aries ENSOARG00000016824
capra_hircus ENSCHIG00000014933
bos_mutus ENSBMUG00000009177
bos_taurus ENSBTAG00000012676
bison_bison_bison ENSBBBG00000020310
sus_scrofa ENSSSCG00000027548
procavia_capensis ENSPCAG00000001361
loxodonta_africana ENSLAFG00000015689
echinops_telfairi ENSETEG00000000057
choloepus_hoffmanni ENSCHOG00000000449
dasypus_novemcinctus ENSDNOG00000037686
vicugna_pacos ENSVPAG00000011723
phascolarctos_cinereus ENSPCIG00000008680
notamacropus_eugenii ENSMEUG00000008782
sarcophilus_harrisii ENSSHAG00000005044
ornithorhynchus_anatinus ENSOANG00000007686
