oryzias_latipes_asm223467v1 ENSORLG00000027215
oryzias_latipes_asm223471v1 ENSORLG00020014568
oryzias_melastigma ENSOMEG00000008127
xiphophorus_couchianus ENSXCOG00000009669
xiphophorus_maculatus ENSXMAG00000028798
poecilia_latipinna ENSPLAG00000021333
poecilia_mexicana ENSPMEG00000012851
poecilia_reticulata ENSPREG00000019732
gambusia_affinis ENSGAFG00000007029
cyprinodon_variegatus ENSCVAG00000018162
astatotilapia_calliptera ENSACLG00000026184
maylandia_zebra ENSMZEG00005021850
pundamilia_nyererei ENSPNYG00000003035
haplochromis_burtoni ENSHBUG00000018524
neolamprologus_brichardi ENSNBRG00000023358
amphilophus_citrinellus ENSACIG00000022230
seriola_lalandi_dorsalis ENSSLDG00000004974
seriola_dumerili ENSSDUG00000014478
monopterus_albus ENSMALG00000000082
stegastes_partitus ENSSPAG00000001207
scophthalmus_maximus ENSSMAG00000014719
mastacembelus_armatus ENSMAMG00000000512
periophthalmus_magnuspinnatus ENSPMGG00000023789
labrus_bergylta ENSLBEG00000017078
cynoglossus_semilaevis ENSCSEG00000014915
amphiprion_ocellaris ENSAOCG00000011666
amphiprion_percula ENSAPEG00000020326
acanthochromis_polyacanthus ENSAPOG00000024058
esox_lucius ENSELUG00000014725
ictalurus_punctatus ENSIPUG00000009672
scleropages_formosus ENSSFOG00015004828
paramormyrops_kingsleyae ENSPKIG00000021286
