mus_musculus_strain_reference_cl57bl6 ENSMUSG00000096969
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027424
mus_spicilegus ENSMSIG00000014896
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026444
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028775
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001004752
nannospalax_galili ENSNGAG00000016834
cavia_porcellus ENSCPOG00000033169
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016225
chinchilla_lanigera ENSCLAG00000009189
octodon_degus ENSODEG00000007175
dipodomys_ordii ENSDORG00000024713
