ursus_maritimus ENSUMAG00000010940
ursus_americanus ENSUAMG00000009559
vulpes_vulpes ENSVVUG00000004238
mustela_putorius_furo ENSMPUG00000015437
ailuropoda_melanoleuca ENSAMEG00000012246
panthera_tigris_altaica ENSPTIG00000021165
chinchilla_lanigera ENSCLAG00000001708
cavia_aperea ENSCAPG00000002959
fukomys_damarensis ENSFDAG00000011307
dipodomys_ordii ENSDORG00000013044
jaculus_jaculus ENSJJAG00000022070
oryctolagus_cuniculus ENSOCUG00000021808
canis_lupus_familiaris ENSCAFG00000031547
canis_lupus_dingo ENSCAFG00020015738
neovison_vison ENSNVIG00000011560
panthera_pardus ENSPPRG00000001663
felis_catus ENSFCAG00000010043
propithecus_coquereli ENSPCOG00000019787
microcebus_murinus ENSMICG00000030809
prolemur_simus ENSPSMG00000007383
echinops_telfairi ENSETEG00000000411
ictidomys_tridecemlineatus ENSSTOG00000027548
spermophilus_dauricus ENSSDAG00000014653
urocitellus_parryii ENSUPAG00010023627
marmota_marmota_marmota ENSMMMG00000000674
octodon_degus ENSODEG00000003975
cavia_porcellus ENSCPOG00000037672
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000144
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001280
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001025044
cricetulus_griseus_crigri_1.0 ENSCGRG00000011231
cricetulus_griseus_crigri-picr ENSCGRG00015007718
mesocricetus_auratus ENSMAUG00000012006
microtus_ochrogaster ENSMOCG00000015691
peromyscus_maniculatus_bairdii ENSPEMG00000019885
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033653
mus_spicilegus ENSMSIG00000026107
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032513
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000032353
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015380
rattus_norvegicus ENSRNOG00000013889
nannospalax_galili ENSNGAG00000011979
castor_canadensis ENSCCNG00000012010
ochotona_princeps ENSOPRG00000000285
tupaia_belangeri ENSTBEG00000014908
pongo_abelii ENSPPYG00000006708
homo_sapiens ENSG00000166557
macaca_mulatta ENSMMUG00000016164
chlorocebus_sabaeus ENSCSAG00000015025
theropithecus_gelada ENSTGEG00000002198
cercocebus_atys ENSCATG00000040855
papio_anubis ENSPANG00000015730
macaca_fascicularis ENSMFAG00000037809
macaca_nemestrina ENSMNEG00000045387
mandrillus_leucophaeus ENSMLEG00000040574
rhinopithecus_bieti ENSRBIG00000025753
rhinopithecus_roxellana ENSRROG00000029772
piliocolobus_tephrosceles ENSPTEG00000019409
colobus_angolensis_palliatus ENSCANG00000035931
pan_troglodytes ENSPTRG00000007356
pan_paniscus ENSPPAG00000039988
gorilla_gorilla ENSGGOG00000009973
nomascus_leucogenys ENSNLEG00000008832
cebus_capucinus_imitator ENSCCAG00000035709
callithrix_jacchus ENSCJAG00000005277
saimiri_boliviensis_boliviensis ENSSBOG00000004100
aotus_nancymaae ENSANAG00000022600
carlito_syrichta ENSTSYG00000031826
otolemur_garnettii ENSOGAG00000009289
tursiops_truncatus ENSTTRG00000016610
sus_scrofa ENSSSCG00000001773
ovis_aries ENSOARG00000014994
capra_hircus ENSCHIG00000008576
bos_mutus ENSBMUG00000026444
bos_taurus ENSBTAG00000000807
bison_bison_bison ENSBBBG00000011522
procavia_capensis ENSPCAG00000012604
equus_asinus_asinus ENSEASG00005015496
equus_caballus ENSECAG00000031395
sorex_araneus ENSSARG00000006808
microcebus_murinus ENSMICG00000015401
loxodonta_africana ENSLAFG00000017190
ochotona_princeps ENSOPRG00000010690
meriones_unguiculatus ENSMUGG00000007989
dasypus_novemcinctus ENSDNOG00000002342
pteropus_vampyrus ENSPVAG00000014892
notamacropus_eugenii ENSMEUG00000013745
phascolarctos_cinereus ENSPCIG00000031723
sarcophilus_harrisii ENSSHAG00000005992
monodelphis_domestica ENSMODG00000019434
apteryx_owenii ENSAOWG00000007962
apteryx_rowi ENSARWG00000013861
apteryx_haastii ENSAHAG00000001683
dromaius_novaehollandiae ENSDNVG00000006826
nothoprocta_perdicaria ENSNPEG00000009365
calidris_pugnax ENSCPUG00000009405
calidris_pygmaea ENSCPGG00000009344
calidris_pygmaea ENSCPGG00000008583
melopsittacus_undulatus ENSMUNG00000006854
lonchura_striata_domestica ENSLSDG00000009945
taeniopygia_guttata ENSTGUG00000014274
parus_major ENSPMJG00000011640
cyanistes_caeruleus ENSCCEG00000005107
junco_hyemalis ENSJHYG00000016376
zonotrichia_albicollis ENSZALG00000010546
serinus_canaria ENSSCAG00000014179
ficedula_albicollis ENSFALG00000011018
manacus_vitellinus ENSMVIG00005007347
manacus_vitellinus ENSMVIG00005007352
lepidothrix_coronata ENSLCOG00000006085
anser_brachyrhynchus ENSABRG00000006924
anas_platyrhynchos_platyrhynchos ENSAPLG00000006204
meleagris_gallopavo ENSMGAG00000010510
coturnix_japonica ENSCJPG00005021134
gallus_gallus ENSGALG00000008272
numida_meleagris ENSNMEG00000009848
gopherus_agassizii ENSGAGG00000006399
chelonoidis_abingdonii ENSCABG00000010171
chrysemys_picta_bellii ENSCPBG00000024949
sphenodon_punctatus ENSSPUG00000018082
latimeria_chalumnae ENSLACG00000002873
esox_lucius ENSELUG00000017807
gadus_morhua ENSGMOG00000017523
pygocentrus_nattereri ENSPNAG00000014277
astyanax_mexicanus ENSAMXG00000030400
ictalurus_punctatus ENSIPUG00000020992
danio_rerio ENSDARG00000028816
paramormyrops_kingsleyae ENSPKIG00000020495
scleropages_formosus ENSSFOG00015020050
paramormyrops_kingsleyae ENSPKIG00000021163
scophthalmus_maximus ENSSMAG00000007362
cynoglossus_semilaevis ENSCSEG00000012045
tetraodon_nigroviridis ENSTNIG00000011365
takifugu_rubripes ENSTRUG00000020033
amphiprion_ocellaris ENSAOCG00000006858
amphiprion_percula ENSAPEG00000001060
acanthochromis_polyacanthus ENSAPOG00000021427
stegastes_partitus ENSSPAG00000014547
oryzias_latipes_asm223471v1 ENSORLG00020001659
oryzias_latipes_asm223469v1 ENSORLG00015021379
oryzias_latipes_asm223467v1 ENSORLG00000025884
oryzias_melastigma ENSOMEG00000013206
labrus_bergylta ENSLBEG00000007137
mola_mola ENSMMOG00000000166
xiphophorus_maculatus ENSXMAG00000016983
xiphophorus_couchianus ENSXCOG00000012546
gambusia_affinis ENSGAFG00000009335
poecilia_reticulata ENSPREG00000009006
poecilia_reticulata ENSPREG00000008984
poecilia_formosa ENSPFOG00000015967
poecilia_mexicana ENSPMEG00000015983
poecilia_latipinna ENSPLAG00000001322
cyprinodon_variegatus ENSCVAG00000015803
cyprinodon_variegatus ENSCVAG00000000706
fundulus_heteroclitus ENSFHEG00000011912
kryptolebias_marmoratus ENSKMAG00000017385
astatotilapia_calliptera ENSACLG00000013579
maylandia_zebra ENSMZEG00005008670
pundamilia_nyererei ENSPNYG00000019525
haplochromis_burtoni ENSHBUG00000023212
neolamprologus_brichardi ENSNBRG00000000327
oreochromis_niloticus ENSONIG00000002572
amphilophus_citrinellus ENSACIG00000021034
gasterosteus_aculeatus ENSGACG00000016467
periophthalmus_magnuspinnatus ENSPMGG00000008765
mastacembelus_armatus ENSMAMG00000001167
monopterus_albus ENSMALG00000019156
anabas_testudineus ENSATEG00000000162
seriola_lalandi_dorsalis ENSSLDG00000003420
seriola_dumerili ENSSDUG00000004099
hippocampus_comes ENSHCOG00000018943
lepisosteus_oculatus ENSLOCG00000014324
petromyzon_marinus ENSPMAG00000007844
ciona_intestinalis ENSCING00000001915
ciona_savignyi ENSCSAVG00000005356
