ornithorhynchus_anatinus ENSOANG00000007765
lepisosteus_oculatus ENSLOCG00000017737
anolis_carolinensis ENSACAG00000011819
pogona_vitticeps ENSPVIG00000003834
notechis_scutatus ENSNSUG00000003548
salvator_merianae ENSSMRG00000019973
sphenodon_punctatus ENSSPUG00000001938
sphenodon_punctatus ENSSPUG00000001944
sphenodon_punctatus ENSSPUG00000015127
taeniopygia_guttata ENSTGUG00000010205
lonchura_striata_domestica ENSLSDG00000005552
serinus_canaria ENSSCAG00000007587
junco_hyemalis ENSJHYG00000010105
zonotrichia_albicollis ENSZALG00000005232
cyanistes_caeruleus ENSCCEG00000007203
parus_major ENSPMJG00000012363
ficedula_albicollis ENSFALG00000014313
manacus_vitellinus ENSMVIG00005007111
lepidothrix_coronata ENSLCOG00000003665
melopsittacus_undulatus ENSMUNG00000012274
calidris_pygmaea ENSCPGG00000008788
calidris_pugnax ENSCPUG00000015105
anas_platyrhynchos_platyrhynchos ENSAPLG00000025200
dromaius_novaehollandiae ENSDNVG00000000115
apteryx_haastii ENSAHAG00000005534
apteryx_owenii ENSAOWG00000013735
apteryx_rowi ENSARWG00000011398
nothoprocta_perdicaria ENSNPEG00000001377
anser_brachyrhynchus ENSABRG00000017860
crocodylus_porosus ENSCPRG00005011639
gopherus_agassizii ENSGAGG00000017224
chelonoidis_abingdonii ENSCABG00000002582
chrysemys_picta_bellii ENSCPBG00000001504
pelodiscus_sinensis ENSPSIG00000001275
latimeria_chalumnae ENSLACG00000006761
xenopus_tropicalis ENSXETG00000012389
scleropages_formosus ENSSFOG00015011485
pygocentrus_nattereri ENSPNAG00000020169
astyanax_mexicanus ENSAMXG00000024923
ictalurus_punctatus ENSIPUG00000024977
esox_lucius ENSELUG00000017020
scleropages_formosus ENSSFOG00015007463
paramormyrops_kingsleyae ENSPKIG00000020836
paramormyrops_kingsleyae ENSPKIG00000018480
scleropages_formosus ENSSFOG00015021950
lepisosteus_oculatus ENSLOCG00000017535
stegastes_partitus ENSSPAG00000019895
poecilia_reticulata ENSPREG00000000829
gambusia_affinis ENSGAFG00000019137
periophthalmus_magnuspinnatus ENSPMGG00000018579
periophthalmus_magnuspinnatus ENSPMGG00000018581
chelonoidis_abingdonii ENSCABG00000010061
gopherus_agassizii ENSGAGG00000002362
chrysemys_picta_bellii ENSCPBG00000005686
pelodiscus_sinensis ENSPSIG00000001120
gallus_gallus ENSGALG00000005323
meleagris_gallopavo ENSMGAG00000015959
coturnix_japonica ENSCJPG00005009570
numida_meleagris ENSNMEG00000017688
anser_brachyrhynchus ENSABRG00000011146
anas_platyrhynchos_platyrhynchos ENSAPLG00000022186
parus_major ENSPMJG00000002470
cyanistes_caeruleus ENSCCEG00000009949
zonotrichia_albicollis ENSZALG00000000487
taeniopygia_guttata ENSTGUG00000000429
lonchura_striata_domestica ENSLSDG00000009047
serinus_canaria ENSSCAG00000013874
ficedula_albicollis ENSFALG00000014566
lepidothrix_coronata ENSLCOG00000005164
manacus_vitellinus ENSMVIG00005019967
melopsittacus_undulatus ENSMUNG00000011941
calidris_pugnax ENSCPUG00000006048
calidris_pygmaea ENSCPGG00000009977
apteryx_haastii ENSAHAG00000001390
apteryx_owenii ENSAOWG00000007603
apteryx_rowi ENSARWG00000017260
dromaius_novaehollandiae ENSDNVG00000010416
nothoprocta_perdicaria ENSNPEG00000001474
pogona_vitticeps ENSPVIG00000018492
anolis_carolinensis ENSACAG00000000763
notechis_scutatus ENSNSUG00000013926
salvator_merianae ENSSMRG00000019275
sphenodon_punctatus ENSSPUG00000008809
phascolarctos_cinereus ENSPCIG00000010220
notamacropus_eugenii ENSMEUG00000003155
sarcophilus_harrisii ENSSHAG00000002369
monodelphis_domestica ENSMODG00000025431
ursus_maritimus ENSUMAG00000016318
ursus_americanus ENSUAMG00000014887
ailuropoda_melanoleuca ENSAMEG00000019089
neovison_vison ENSNVIG00000015838
mustela_putorius_furo ENSMPUG00000019501
canis_lupus_familiaris ENSCAFG00000002172
canis_lupus_dingo ENSCAFG00020007016
vulpes_vulpes ENSVVUG00000022314
panthera_pardus ENSPPRG00000019585
panthera_tigris_altaica ENSPTIG00000007897
felis_catus ENSFCAG00000010838
ovis_aries ENSOARG00000003312
capra_hircus ENSCHIG00000010043
bos_mutus ENSBMUG00000009910
bos_taurus ENSBTAG00000014523
bison_bison_bison ENSBBBG00000002248
tursiops_truncatus ENSTTRG00000006909
sus_scrofa ENSSSCG00000031694
equus_caballus ENSECAG00000002969
equus_asinus_asinus ENSEASG00005013983
sorex_araneus ENSSARG00000001819
erinaceus_europaeus ENSEEUG00000002050
myotis_lucifugus ENSMLUG00000009076
dasypus_novemcinctus ENSDNOG00000035999
prolemur_simus ENSPSMG00000021476
propithecus_coquereli ENSPCOG00000025657
microcebus_murinus ENSMICG00000041921
otolemur_garnettii ENSOGAG00000001184
saimiri_boliviensis_boliviensis ENSSBOG00000016847
cebus_capucinus_imitator ENSCCAG00000003086
callithrix_jacchus ENSCJAG00000039042
aotus_nancymaae ENSANAG00000030961
macaca_fascicularis ENSMFAG00000030619
macaca_mulatta ENSMMUG00000007223
macaca_nemestrina ENSMNEG00000003176
theropithecus_gelada ENSTGEG00000001719
papio_anubis ENSPANG00000003753
rhinopithecus_roxellana ENSRROG00000017216
rhinopithecus_bieti ENSRBIG00000014375
piliocolobus_tephrosceles ENSPTEG00000023626
colobus_angolensis_palliatus ENSCANG00000001114
cercocebus_atys ENSCATG00000019838
mandrillus_leucophaeus ENSMLEG00000028219
chlorocebus_sabaeus ENSCSAG00000018509
pongo_abelii ENSPPYG00000019862
pongo_abelii ENSPPYG00000019365
pan_paniscus ENSPPAG00000019179
pan_troglodytes ENSPTRG00000052148
gorilla_gorilla ENSGGOG00000039392
homo_sapiens ENSG00000165023
nomascus_leucogenys ENSNLEG00000034645
castor_canadensis ENSCCNG00000003556
dipodomys_ordii ENSDORG00000025377
mus_spicilegus ENSMSIG00000007070
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000047842
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018522
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019588
rattus_norvegicus ENSRNOG00000032328
meriones_unguiculatus ENSMUGG00000015310
