cavia_porcellus ENSCPOG00000010243
chinchilla_lanigera ENSCLAG00000005593
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004899
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005526
octodon_degus ENSODEG00000010191
dipodomys_ordii ENSDORG00000002523
ochotona_princeps ENSOPRG00000004904
loxodonta_africana ENSLAFG00000005621
procavia_capensis ENSPCAG00000011699
echinops_telfairi ENSETEG00000017947
microcebus_murinus ENSMICG00000030008
prolemur_simus ENSPSMG00000021869
propithecus_coquereli ENSPCOG00000011817
otolemur_garnettii ENSOGAG00000002740
pan_troglodytes ENSPTRG00000005787
pan_paniscus ENSPPAG00000028456
homo_sapiens ENSG00000133111
gorilla_gorilla ENSGGOG00000025564
pongo_abelii ENSPPYG00000005284
nomascus_leucogenys ENSNLEG00000001626
cercocebus_atys ENSCATG00000041486
chlorocebus_sabaeus ENSCSAG00000017874
mandrillus_leucophaeus ENSMLEG00000037801
papio_anubis ENSPANG00000021854
macaca_mulatta ENSMMUG00000009913
macaca_nemestrina ENSMNEG00000028015
macaca_fascicularis ENSMFAG00000043454
theropithecus_gelada ENSTGEG00000023791
rhinopithecus_roxellana ENSRROG00000036015
rhinopithecus_bieti ENSRBIG00000043307
piliocolobus_tephrosceles ENSPTEG00000023726
colobus_angolensis_palliatus ENSCANG00000027746
callithrix_jacchus ENSCJAG00000043844
cebus_capucinus_imitator ENSCCAG00000035871
saimiri_boliviensis_boliviensis ENSSBOG00000027209
aotus_nancymaae ENSANAG00000028911
marmota_marmota_marmota ENSMMMG00000022632
urocitellus_parryii ENSUPAG00010002005
ictidomys_tridecemlineatus ENSSTOG00000028189
castor_canadensis ENSCCNG00000026638
oryctolagus_cuniculus ENSOCUG00000014234
pteropus_vampyrus ENSPVAG00000006689
myotis_lucifugus ENSMLUG00000013270
equus_asinus_asinus ENSEASG00005019840
equus_caballus ENSECAG00000011258
bos_taurus ENSBTAG00000005351
capra_hircus ENSCHIG00000007931
bison_bison_bison ENSBBBG00000017143
bos_mutus ENSBMUG00000013796
ovis_aries ENSOARG00000010378
tursiops_truncatus ENSTTRG00000007901
sus_scrofa ENSSSCG00000009356
erinaceus_europaeus ENSEEUG00000007197
sorex_araneus ENSSARG00000007582
ursus_americanus ENSUAMG00000002617
ursus_maritimus ENSUMAG00000024011
ailuropoda_melanoleuca ENSAMEG00000014436
mustela_putorius_furo ENSMPUG00000001841
neovison_vison ENSNVIG00000022117
canis_lupus_familiaris ENSCAFG00000030114
canis_lupus_dingo ENSCAFG00020021520
vulpes_vulpes ENSVVUG00000026640
panthera_tigris_altaica ENSPTIG00000019110
panthera_pardus ENSPPRG00000022543
felis_catus ENSFCAG00000027454
peromyscus_maniculatus_bairdii ENSPEMG00000004230
microtus_ochrogaster ENSMOCG00000022386
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017082
cricetulus_griseus_crigri-picr ENSCGRG00015009212
mesocricetus_auratus ENSMAUG00000003109
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000036615
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025930
mus_spicilegus ENSMSIG00000011399
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024995
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026436
rattus_norvegicus ENSRNOG00000056028
rattus_norvegicus ENSRNOG00000028382
meriones_unguiculatus ENSMUGG00000008623
nannospalax_galili ENSNGAG00000011758
dasypus_novemcinctus ENSDNOG00000040728
choloepus_hoffmanni ENSCHOG00000012518
phascolarctos_cinereus ENSPCIG00000021628
sarcophilus_harrisii ENSSHAG00000010194
notamacropus_eugenii ENSMEUG00000001128
monodelphis_domestica ENSMODG00000009995
chrysemys_picta_bellii ENSCPBG00000003212
gopherus_agassizii ENSGAGG00000013182
pelodiscus_sinensis ENSPSIG00000002518
anas_platyrhynchos_platyrhynchos ENSAPLG00000030594
coturnix_japonica ENSCJPG00005006348
anser_brachyrhynchus ENSABRG00000006029
lonchura_striata_domestica ENSLSDG00000017177
taeniopygia_guttata ENSTGUG00000011894
serinus_canaria ENSSCAG00000012534
parus_major ENSPMJG00000015007
ficedula_albicollis ENSFALG00000008298
lepidothrix_coronata ENSLCOG00000011738
calidris_pygmaea ENSCPGG00000009715
gallus_gallus ENSGALG00000019087
meleagris_gallopavo ENSMGAG00000015061
numida_meleagris ENSNMEG00000009102
nothoprocta_perdicaria ENSNPEG00000015874
pogona_vitticeps ENSPVIG00000014426
anolis_carolinensis ENSACAG00000004460
notechis_scutatus ENSNSUG00000010857
salvator_merianae ENSSMRG00000006372
sphenodon_punctatus ENSSPUG00000010994
xenopus_tropicalis ENSXETG00000001824
latimeria_chalumnae ENSLACG00000011676
pygocentrus_nattereri ENSPNAG00000020363
astyanax_mexicanus ENSAMXG00000043549
ictalurus_punctatus ENSIPUG00000009671
danio_rerio ENSDARG00000076891
cynoglossus_semilaevis ENSCSEG00000012231
cynoglossus_semilaevis ENSCSEG00000007603
scophthalmus_maximus ENSSMAG00000003100
gasterosteus_aculeatus ENSGACG00000020561
mola_mola ENSMMOG00000010539
labrus_bergylta ENSLBEG00000020698
seriola_dumerili ENSSDUG00000014246
seriola_lalandi_dorsalis ENSSLDG00000023097
mastacembelus_armatus ENSMAMG00000014173
anabas_testudineus ENSATEG00000003090
monopterus_albus ENSMALG00000010571
amphiprion_percula ENSAPEG00000020305
amphiprion_ocellaris ENSAOCG00000015466
acanthochromis_polyacanthus ENSAPOG00000024255
stegastes_partitus ENSSPAG00000003337
astatotilapia_calliptera ENSACLG00000003103
pundamilia_nyererei ENSPNYG00000013113
maylandia_zebra ENSMZEG00005024479
haplochromis_burtoni ENSHBUG00000006832
neolamprologus_brichardi ENSNBRG00000013058
oreochromis_niloticus ENSONIG00000012616
amphilophus_citrinellus ENSACIG00000023524
poecilia_formosa ENSPFOG00000015973
poecilia_formosa ENSPFOG00000015903
poecilia_mexicana ENSPMEG00000000984
poecilia_reticulata ENSPREG00000011530
poecilia_latipinna ENSPLAG00000020870
xiphophorus_maculatus ENSXMAG00000029072
xiphophorus_couchianus ENSXCOG00000010119
gambusia_affinis ENSGAFG00000020873
cyprinodon_variegatus ENSCVAG00000010344
fundulus_heteroclitus ENSFHEG00000001387
kryptolebias_marmoratus ENSKMAG00000005366
oryzias_latipes_asm223469v1 ENSORLG00015000539
oryzias_latipes_asm223471v1 ENSORLG00020013534
oryzias_latipes_asm223467v1 ENSORLG00000003932
oryzias_melastigma ENSOMEG00000013060
takifugu_rubripes ENSTRUG00000020221
periophthalmus_magnuspinnatus ENSPMGG00000018095
hippocampus_comes ENSHCOG00000008879
gadus_morhua ENSGMOG00000020442
esox_lucius ENSELUG00000000320
scleropages_formosus ENSSFOG00015005564
paramormyrops_kingsleyae ENSPKIG00000023321
lepisosteus_oculatus ENSLOCG00000008468
