mus_musculus_strain_reference_cl57bl6 ENSMUSG00000038057
mus_spicilegus ENSMSIG00000024828
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017600
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016757
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017894
rattus_norvegicus ENSRNOG00000007771
meriones_unguiculatus ENSMUGG00000004275
cricetulus_griseus_crigri-picr ENSCGRG00015018828
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014563
cricetulus_griseus_crigri_1.0 ENSCGRG00000016595
mesocricetus_auratus ENSMAUG00000009815
microtus_ochrogaster ENSMOCG00000004108
peromyscus_maniculatus_bairdii ENSPEMG00000022249
nannospalax_galili ENSNGAG00000015983
cricetulus_griseus_crigri-picr ENSCGRG00015018758
jaculus_jaculus ENSJJAG00000014114
castor_canadensis ENSCCNG00000017217
dipodomys_ordii ENSDORG00000024622
chinchilla_lanigera ENSCLAG00000007298
octodon_degus ENSODEG00000008953
cavia_porcellus ENSCPOG00000019350
ictidomys_tridecemlineatus ENSSTOG00000022725
urocitellus_parryii ENSUPAG00010018538
marmota_marmota_marmota ENSMMMG00000024142
spermophilus_dauricus ENSSDAG00000020551
oryctolagus_cuniculus ENSOCUG00000002208
piliocolobus_tephrosceles ENSPTEG00000015006
theropithecus_gelada ENSTGEG00000013497
nomascus_leucogenys ENSNLEG00000000532
macaca_mulatta ENSMMUG00000039970
propithecus_coquereli ENSPCOG00000009199
microcebus_murinus ENSMICG00000027145
prolemur_simus ENSPSMG00000001013
prolemur_simus ENSPSMG00000001019
otolemur_garnettii ENSOGAG00000032014
ursus_americanus ENSUAMG00000009502
ursus_maritimus ENSUMAG00000010049
ailuropoda_melanoleuca ENSAMEG00000018475
neovison_vison ENSNVIG00000007277
mustela_putorius_furo ENSMPUG00000019504
canis_lupus_familiaris ENSCAFG00000019127
canis_lupus_dingo ENSCAFG00020010963
vulpes_vulpes ENSVVUG00000021610
panthera_pardus ENSPPRG00000015342
panthera_tigris_altaica ENSPTIG00000005542
felis_catus ENSFCAG00000001672
equus_asinus_asinus ENSEASG00005009643
equus_caballus ENSECAG00000004280
ovis_aries ENSOARG00000004035
capra_hircus ENSCHIG00000009182
bos_taurus ENSBTAG00000013395
bos_mutus ENSBMUG00000009708
bison_bison_bison ENSBBBG00000020680
sus_scrofa ENSSSCG00000017808
dasypus_novemcinctus ENSDNOG00000004279
myotis_lucifugus ENSMLUG00000001497
loxodonta_africana ENSLAFG00000017570
monodelphis_domestica ENSMODG00000023171
phascolarctos_cinereus ENSPCIG00000025710
chrysemys_picta_bellii ENSCPBG00000015787
chrysemys_picta_bellii ENSCPBG00000001618
gopherus_agassizii ENSGAGG00000019496
chelonoidis_abingdonii ENSCABG00000022383
sphenodon_punctatus ENSSPUG00000008918
