macaca_fascicularis ENSMFAG00000045143
macaca_nemestrina ENSMNEG00000027087
cercocebus_atys ENSCATG00000035980
theropithecus_gelada ENSTGEG00000020341
papio_anubis ENSPANG00000021020
chlorocebus_sabaeus ENSCSAG00000005456
rhinopithecus_bieti ENSRBIG00000035684
rhinopithecus_roxellana ENSRROG00000020365
colobus_angolensis_palliatus ENSCANG00000033068
piliocolobus_tephrosceles ENSPTEG00000002243
pan_troglodytes ENSPTRG00000002886
pan_paniscus ENSPPAG00000008353
homo_sapiens ENSG00000107859
gorilla_gorilla ENSGGOG00000026128
pongo_abelii ENSPPYG00000002597
nomascus_leucogenys ENSNLEG00000015040
cebus_capucinus_imitator ENSCCAG00000024206
callithrix_jacchus ENSCJAG00000017858
aotus_nancymaae ENSANAG00000023017
oryctolagus_cuniculus ENSOCUG00000016065
ochotona_princeps ENSOPRG00000009418
echinops_telfairi ENSETEG00000013568
propithecus_coquereli ENSPCOG00000018343
prolemur_simus ENSPSMG00000011443
microcebus_murinus ENSMICG00000045312
otolemur_garnettii ENSOGAG00000029285
castor_canadensis ENSCCNG00000016051
dipodomys_ordii ENSDORG00000023993
peromyscus_maniculatus_bairdii ENSPEMG00000026373
microtus_ochrogaster ENSMOCG00000012980
mesocricetus_auratus ENSMAUG00000015434
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025229
mus_spicilegus ENSMSIG00000011679
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023950
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023029
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014519
rattus_norvegicus ENSRNOG00000019194
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024147
cricetulus_griseus_crigri_1.0 ENSCGRG00000015787
meriones_unguiculatus ENSMUGG00000015213
nannospalax_galili ENSNGAG00000021500
jaculus_jaculus ENSJJAG00000020721
marmota_marmota_marmota ENSMMMG00000023281
ictidomys_tridecemlineatus ENSSTOG00000015025
urocitellus_parryii ENSUPAG00010020813
spermophilus_dauricus ENSSDAG00000022173
tursiops_truncatus ENSTTRG00000008349
sus_scrofa ENSSSCG00000010578
capra_hircus ENSCHIG00000005050
ovis_aries ENSOARG00000017626
bos_taurus ENSBTAG00000015702
bos_mutus ENSBMUG00000001811
bison_bison_bison ENSBBBG00000022213
equus_caballus ENSECAG00000022294
pteropus_vampyrus ENSPVAG00000011268
mustela_putorius_furo ENSMPUG00000016885
neovison_vison ENSNVIG00000017782
ursus_americanus ENSUAMG00000028061
ailuropoda_melanoleuca ENSAMEG00000017698
canis_lupus_dingo ENSCAFG00020010150
canis_lupus_familiaris ENSCAFG00000031758
vulpes_vulpes ENSVVUG00000002824
felis_catus ENSFCAG00000026758
panthera_pardus ENSPPRG00000000459
myotis_lucifugus ENSMLUG00000023193
loxodonta_africana ENSLAFG00000006787
procavia_capensis ENSPCAG00000011184
dasypus_novemcinctus ENSDNOG00000046007
erinaceus_europaeus ENSEEUG00000004035
sorex_araneus ENSSARG00000011233
panthera_tigris_altaica ENSPTIG00000017198
tupaia_belangeri ENSTBEG00000005206
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000075045
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016143
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000058537
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000075046
cricetulus_griseus_crigri-picr ENSCGRG00015021643
mandrillus_leucophaeus ENSMLEG00000041298
saimiri_boliviensis_boliviensis ENSSBOG00000016252
monodelphis_domestica ENSMODG00000005804
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001851
cavia_porcellus ENSCPOG00000036365
octodon_degus ENSODEG00000007162
chinchilla_lanigera ENSCLAG00000005073
sarcophilus_harrisii ENSSHAG00000018890
monodelphis_domestica ENSMODG00000011378
phascolarctos_cinereus ENSPCIG00000029009
notamacropus_eugenii ENSMEUG00000007683
ornithorhynchus_anatinus ENSOANG00000007822
