dasypus_novemcinctus ENSDNOG00000048166
choloepus_hoffmanni ENSCHOG00000013185
ursus_americanus ENSUAMG00000015056
ursus_maritimus ENSUMAG00000011353
ailuropoda_melanoleuca ENSAMEG00000002737
mustela_putorius_furo ENSMPUG00000006613
neovison_vison ENSNVIG00000003856
canis_lupus_familiaris ENSCAFG00000004378
canis_lupus_dingo ENSCAFG00020006732
vulpes_vulpes ENSVVUG00000009704
felis_catus ENSFCAG00000042138
panthera_tigris_altaica ENSPTIG00000008804
capra_hircus ENSCHIG00000011676
ovis_aries ENSOARG00000018934
bos_taurus ENSBTAG00000014768
tursiops_truncatus ENSTTRG00000015681
sus_scrofa ENSSSCG00000015450
vicugna_pacos ENSVPAG00000001620
myotis_lucifugus ENSMLUG00000000458
pteropus_vampyrus ENSPVAG00000003635
equus_caballus ENSECAG00000026932
equus_asinus_asinus ENSEASG00005009009
ictidomys_tridecemlineatus ENSSTOG00000023568
urocitellus_parryii ENSUPAG00010008703
spermophilus_dauricus ENSSDAG00000014950
urocitellus_parryii ENSUPAG00010020574
marmota_marmota_marmota ENSMMMG00000007070
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007396
fukomys_damarensis ENSFDAG00000010136
cavia_porcellus ENSCPOG00000030087
cavia_aperea ENSCAPG00000002257
chinchilla_lanigera ENSCLAG00000001403
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000051499
mus_spicilegus ENSMSIG00000001066
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029331
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028327
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022084
rattus_norvegicus ENSRNOG00000006925
meriones_unguiculatus ENSMUGG00000021387
cricetulus_griseus_crigri-picr ENSCGRG00015008450
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001007433
cricetulus_griseus_crigri_1.0 ENSCGRG00000011672
mesocricetus_auratus ENSMAUG00000021036
microtus_ochrogaster ENSMOCG00000001376
peromyscus_maniculatus_bairdii ENSPEMG00000009822
nannospalax_galili ENSNGAG00000023735
castor_canadensis ENSCCNG00000030396
ochotona_princeps ENSOPRG00000010507
gorilla_gorilla ENSGGOG00000009193
homo_sapiens ENSG00000197362
pan_troglodytes ENSPTRG00000022947
pan_troglodytes ENSPTRG00000046444
pan_paniscus ENSPPAG00000043093
pongo_abelii ENSPPYG00000018149
nomascus_leucogenys ENSNLEG00000003681
mandrillus_leucophaeus ENSMLEG00000027484
cercocebus_atys ENSCATG00000040972
papio_anubis ENSPANG00000019897
theropithecus_gelada ENSTGEG00000002373
macaca_fascicularis ENSMFAG00000045962
macaca_nemestrina ENSMNEG00000031347
macaca_mulatta ENSMMUG00000018549
chlorocebus_sabaeus ENSCSAG00000007023
colobus_angolensis_palliatus ENSCANG00000030664
piliocolobus_tephrosceles ENSPTEG00000030534
rhinopithecus_bieti ENSRBIG00000033283
saimiri_boliviensis_boliviensis ENSSBOG00000024494
cebus_capucinus_imitator ENSCCAG00000028831
callithrix_jacchus ENSCJAG00000010198
aotus_nancymaae ENSANAG00000035699
carlito_syrichta ENSTSYG00000001053
propithecus_coquereli ENSPCOG00000021694
prolemur_simus ENSPSMG00000015169
microcebus_murinus ENSMICG00000036503
otolemur_garnettii ENSOGAG00000030053
tupaia_belangeri ENSTBEG00000012129
loxodonta_africana ENSLAFG00000029912
phascolarctos_cinereus ENSPCIG00000012348
