bison_bison_bison ENSBBBG00000004203
bos_mutus ENSBMUG00000016689
ursus_maritimus ENSUMAG00000024306
urocitellus_parryii ENSUPAG00010007684
urocitellus_parryii ENSUPAG00010007520
urocitellus_parryii ENSUPAG00010009929
marmota_marmota_marmota ENSMMMG00000015528
spermophilus_dauricus ENSSDAG00000015819
spermophilus_dauricus ENSSDAG00000007036
spermophilus_dauricus ENSSDAG00000024887
spermophilus_dauricus ENSSDAG00000012028
dromaius_novaehollandiae ENSDNVG00000002559
nothoprocta_perdicaria ENSNPEG00000013999
numida_meleagris ENSNMEG00000021294
lepidothrix_coronata ENSLCOG00000000956
chelonoidis_abingdonii ENSCABG00000006465
notechis_scutatus ENSNSUG00000015673
periophthalmus_magnuspinnatus ENSPMGG00000016728
