spermophilus_dauricus ENSSDAG00000024941
marmota_marmota_marmota ENSMMMG00000005168
urocitellus_parryii ENSUPAG00010008085
castor_canadensis ENSCCNG00000011521
chinchilla_lanigera ENSCLAG00000007073
prolemur_simus ENSPSMG00000004872
propithecus_coquereli ENSPCOG00000020944
microcebus_murinus ENSMICG00000029262
otolemur_garnettii ENSOGAG00000032661
colobus_angolensis_palliatus ENSCANG00000030488
piliocolobus_tephrosceles ENSPTEG00000018652
rhinopithecus_bieti ENSRBIG00000027495
rhinopithecus_roxellana ENSRROG00000025234
cercocebus_atys ENSCATG00000038153
mandrillus_leucophaeus ENSMLEG00000037236
macaca_fascicularis ENSMFAG00000045372
macaca_nemestrina ENSMNEG00000039756
theropithecus_gelada ENSTGEG00000012271
papio_anubis ENSPANG00000008632
chlorocebus_sabaeus ENSCSAG00000017806
pan_paniscus ENSPPAG00000040983
pan_troglodytes ENSPTRG00000043828
homo_sapiens ENSG00000244219
gorilla_gorilla ENSGGOG00000040673
nomascus_leucogenys ENSNLEG00000011185
saimiri_boliviensis_boliviensis ENSSBOG00000035101
cebus_capucinus_imitator ENSCCAG00000018539
callithrix_jacchus ENSCJAG00000033315
aotus_nancymaae ENSANAG00000035558
carlito_syrichta ENSTSYG00000032314
bos_taurus ENSBTAG00000039720
bos_mutus ENSBMUG00000023356
bison_bison_bison ENSBBBG00000001826
bison_bison_bison ENSBBBG00000000467
bos_taurus ENSBTAG00000052868
bos_taurus ENSBTAG00000053445
ovis_aries ENSOARG00000018497
capra_hircus ENSCHIG00000014873
sus_scrofa ENSSSCG00000034499
myotis_lucifugus ENSMLUG00000023300
ursus_americanus ENSUAMG00000004029
ursus_maritimus ENSUMAG00000009495
ailuropoda_melanoleuca ENSAMEG00000006209
mustela_putorius_furo ENSMPUG00000016491
neovison_vison ENSNVIG00000008271
canis_lupus_dingo ENSCAFG00020014448
canis_lupus_familiaris ENSCAFG00000032410
vulpes_vulpes ENSVVUG00000008732
panthera_pardus ENSPPRG00000021822
panthera_tigris_altaica ENSPTIG00000013612
felis_catus ENSFCAG00000024064
dasypus_novemcinctus ENSDNOG00000037023
loxodonta_africana ENSLAFG00000025842
