tursiops_truncatus ENSTTRG00000010360
vicugna_pacos ENSVPAG00000000505
bos_taurus ENSBTAG00000037413
bos_mutus ENSBMUG00000014418
ovis_aries ENSOARG00000017903
capra_hircus ENSCHIG00000005977
sus_scrofa ENSSSCG00000037670
equus_caballus ENSECAG00000007601
equus_asinus_asinus ENSEASG00005008215
myotis_lucifugus ENSMLUG00000014053
pteropus_vampyrus ENSPVAG00000002077
panthera_pardus ENSPPRG00000018845
panthera_tigris_altaica ENSPTIG00000007988
canis_lupus_dingo ENSCAFG00020005693
canis_lupus_familiaris ENSCAFG00000018083
ursus_maritimus ENSUMAG00000023085
ailuropoda_melanoleuca ENSAMEG00000018014
mustela_putorius_furo ENSMPUG00000003990
neovison_vison ENSNVIG00000020223
felis_catus ENSFCAG00000023694
erinaceus_europaeus ENSEEUG00000002783
pan_troglodytes ENSPTRG00000051441
gorilla_gorilla ENSGGOG00000007283
pan_paniscus ENSPPAG00000001052
homo_sapiens ENSG00000157600
pongo_abelii ENSPPYG00000020628
nomascus_leucogenys ENSNLEG00000014395
piliocolobus_tephrosceles ENSPTEG00000029645
colobus_angolensis_palliatus ENSCANG00000025152
rhinopithecus_bieti ENSRBIG00000035495
rhinopithecus_roxellana ENSRROG00000032829
macaca_mulatta ENSMMUG00000022822
macaca_fascicularis ENSMFAG00000031419
macaca_nemestrina ENSMNEG00000038310
mandrillus_leucophaeus ENSMLEG00000038988
theropithecus_gelada ENSTGEG00000016194
chlorocebus_sabaeus ENSCSAG00000008838
cercocebus_atys ENSCATG00000040993
papio_anubis ENSPANG00000004577
cebus_capucinus_imitator ENSCCAG00000022854
saimiri_boliviensis_boliviensis ENSSBOG00000004957
callithrix_jacchus ENSCJAG00000038317
aotus_nancymaae ENSANAG00000021416
carlito_syrichta ENSTSYG00000001630
microcebus_murinus ENSMICG00000030308
prolemur_simus ENSPSMG00000000805
propithecus_coquereli ENSPCOG00000008718
otolemur_garnettii ENSOGAG00000004128
urocitellus_parryii ENSUPAG00010006566
ictidomys_tridecemlineatus ENSSTOG00000029519
spermophilus_dauricus ENSSDAG00000022970
ictidomys_tridecemlineatus ENSSTOG00000024954
urocitellus_parryii ENSUPAG00010013825
marmota_marmota_marmota ENSMMMG00000010866
chinchilla_lanigera ENSCLAG00000005930
octodon_degus ENSODEG00000013344
cavia_porcellus ENSCPOG00000040500
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001084
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002833
