aotus_nancymaae ENSANAG00000030987
callithrix_jacchus ENSCJAG00000042446
theropithecus_gelada ENSTGEG00000002496
rhinopithecus_bieti ENSRBIG00000000492
gorilla_gorilla ENSGGOG00000040552
microcebus_murinus ENSMICG00000044717
cavia_porcellus ENSCPOG00000032564
cavia_aperea ENSCAPG00000011339
chinchilla_lanigera ENSCLAG00000017548
jaculus_jaculus ENSJJAG00000009797
cebus_capucinus_imitator ENSCCAG00000019283
saimiri_boliviensis_boliviensis ENSSBOG00000018690
macaca_nemestrina ENSMNEG00000006598
papio_anubis ENSPANG00000036160
mandrillus_leucophaeus ENSMLEG00000016324
cercocebus_atys ENSCATG00000020231
colobus_angolensis_palliatus ENSCANG00000011102
piliocolobus_tephrosceles ENSPTEG00000019841
rhinopithecus_roxellana ENSRROG00000026938
pan_troglodytes ENSPTRG00000050540
castor_canadensis ENSCCNG00000014469
dipodomys_ordii ENSDORG00000027000
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000097789
peromyscus_maniculatus_bairdii ENSPEMG00000005908
nannospalax_galili ENSNGAG00000015780
homo_sapiens ENSG00000259417
nomascus_leucogenys ENSNLEG00000030745
macaca_fascicularis ENSMFAG00000017582
prolemur_simus ENSPSMG00000003399
propithecus_coquereli ENSPCOG00000005088
meriones_unguiculatus ENSMUGG00000026234
mus_spicilegus ENSMSIG00000021312
microtus_ochrogaster ENSMOCG00000008499
panthera_tigris_altaica ENSPTIG00000010039
panthera_pardus ENSPPRG00000017022
felis_catus ENSFCAG00000046738
neovison_vison ENSNVIG00000011776
bos_mutus ENSBMUG00000026438
bison_bison_bison ENSBBBG00000011421
ovis_aries ENSOARG00000017476
dasypus_novemcinctus ENSDNOG00000033562
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009315
cricetulus_griseus_crigri-picr ENSCGRG00015004998
cricetulus_griseus_crigri_1.0 ENSCGRG00000018444
mesocricetus_auratus ENSMAUG00000017946
marmota_marmota_marmota ENSMMMG00000018384
ictidomys_tridecemlineatus ENSSTOG00000030443
spermophilus_dauricus ENSSDAG00000017495
urocitellus_parryii ENSUPAG00010013781
carlito_syrichta ENSTSYG00000034189
phascolarctos_cinereus ENSPCIG00000031248
melopsittacus_undulatus ENSMUNG00000003119
anas_platyrhynchos_platyrhynchos ENSAPLG00000022927
anser_brachyrhynchus ENSABRG00000021966
manacus_vitellinus ENSMVIG00005013914
lepidothrix_coronata ENSLCOG00000014968
numida_meleagris ENSNMEG00000023030
calidris_pygmaea ENSCPGG00000012022
calidris_pugnax ENSCPUG00000018720
apteryx_haastii ENSAHAG00000016857
apteryx_rowi ENSARWG00000013131
dromaius_novaehollandiae ENSDNVG00000005461
coturnix_japonica ENSCJPG00005020318
junco_hyemalis ENSJHYG00000010312
zonotrichia_albicollis ENSZALG00000001422
lonchura_striata_domestica ENSLSDG00000017253
parus_major ENSPMJG00000000908
cyanistes_caeruleus ENSCCEG00000011548
nothoprocta_perdicaria ENSNPEG00000013607
salvator_merianae ENSSMRG00000008356
notechis_scutatus ENSNSUG00000019380
sphenodon_punctatus ENSSPUG00000012478
scleropages_formosus ENSSFOG00015016216
