heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019479
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013357
fukomys_damarensis ENSFDAG00000009066
peromyscus_maniculatus_bairdii ENSPEMG00000030122
cricetulus_griseus_crigri-picr ENSCGRG00015011394
castor_canadensis ENSCCNG00000025244
marmota_marmota_marmota ENSMMMG00000008186
urocitellus_parryii ENSUPAG00010011593
tupaia_belangeri ENSTBEG00000006822
pan_troglodytes ENSPTRG00000023703
pan_paniscus ENSPPAG00000034000
homo_sapiens ENSG00000168065
gorilla_gorilla ENSGGOG00000011450
pongo_abelii ENSPPYG00000003103
nomascus_leucogenys ENSNLEG00000005067
piliocolobus_tephrosceles ENSPTEG00000020498
colobus_angolensis_palliatus ENSCANG00000042662
rhinopithecus_bieti ENSRBIG00000028306
rhinopithecus_roxellana ENSRROG00000040186
papio_anubis ENSPANG00000017442
theropithecus_gelada ENSTGEG00000011867
cercocebus_atys ENSCATG00000033115
mandrillus_leucophaeus ENSMLEG00000043533
macaca_fascicularis ENSMFAG00000032225
macaca_fascicularis ENSMFAG00000011413
macaca_mulatta ENSMMUG00000015372
macaca_nemestrina ENSMNEG00000029979
chlorocebus_sabaeus ENSCSAG00000007227
cebus_capucinus_imitator ENSCCAG00000019938
saimiri_boliviensis_boliviensis ENSSBOG00000016344
callithrix_jacchus ENSCJAG00000047262
aotus_nancymaae ENSANAG00000022036
carlito_syrichta ENSTSYG00000030846
otolemur_garnettii ENSOGAG00000011026
equus_caballus ENSECAG00000032146
equus_asinus_asinus ENSEASG00005019873
pteropus_vampyrus ENSPVAG00000017148
vicugna_pacos ENSVPAG00000011389
sus_scrofa ENSSSCG00000020831
bison_bison_bison ENSBBBG00000005042
bos_mutus ENSBMUG00000014266
bos_taurus ENSBTAG00000018792
capra_hircus ENSCHIG00000019253
ovis_aries ENSOARG00000007865
tursiops_truncatus ENSTTRG00000016200
ursus_americanus ENSUAMG00000023337
ursus_maritimus ENSUMAG00000002967
ailuropoda_melanoleuca ENSAMEG00000017927
neovison_vison ENSNVIG00000019252
mustela_putorius_furo ENSMPUG00000012895
canis_lupus_familiaris ENSCAFG00000025146
canis_lupus_dingo ENSCAFG00020014250
vulpes_vulpes ENSVVUG00000029753
panthera_pardus ENSPPRG00000000900
panthera_tigris_altaica ENSPTIG00000008346
felis_catus ENSFCAG00000001994
loxodonta_africana ENSLAFG00000028688
echinops_telfairi ENSETEG00000018554
dasypus_novemcinctus ENSDNOG00000036687
