equus_asinus_asinus ENSEASG00005003091
equus_caballus ENSECAG00000017128
erinaceus_europaeus ENSEEUG00000003034
myotis_lucifugus ENSMLUG00000010806
ursus_maritimus ENSUMAG00000009271
ursus_americanus ENSUAMG00000011888
ailuropoda_melanoleuca ENSAMEG00000012814
mustela_putorius_furo ENSMPUG00000013336
neovison_vison ENSNVIG00000012308
canis_lupus_dingo ENSCAFG00020010555
canis_lupus_familiaris ENSCAFG00000001722
vulpes_vulpes ENSVVUG00000027511
panthera_tigris_altaica ENSPTIG00000008614
panthera_pardus ENSPPRG00000001023
felis_catus ENSFCAG00000004144
ovis_aries ENSOARG00000003871
capra_hircus ENSCHIG00000017037
bos_taurus ENSBTAG00000005971
bos_mutus ENSBMUG00000013438
bison_bison_bison ENSBBBG00000017979
sus_scrofa ENSSSCG00000031628
vicugna_pacos ENSVPAG00000008889
tursiops_truncatus ENSTTRG00000008111
chinchilla_lanigera ENSCLAG00000013249
octodon_degus ENSODEG00000015752
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017528
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005539
fukomys_damarensis ENSFDAG00000016729
cavia_porcellus ENSCPOG00000008060
cavia_aperea ENSCAPG00000016899
spermophilus_dauricus ENSSDAG00000015265
urocitellus_parryii ENSUPAG00010017789
marmota_marmota_marmota ENSMMMG00000024516
ictidomys_tridecemlineatus ENSSTOG00000034259
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022605
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000023978
mus_spicilegus ENSMSIG00000031620
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021693
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020683
meriones_unguiculatus ENSMUGG00000024674
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017570
cricetulus_griseus_crigri-picr ENSCGRG00015017580
cricetulus_griseus_crigri_1.0 ENSCGRG00000007483
mesocricetus_auratus ENSMAUG00000006494
peromyscus_maniculatus_bairdii ENSPEMG00000025130
microtus_ochrogaster ENSMOCG00000013387
nannospalax_galili ENSNGAG00000021489
jaculus_jaculus ENSJJAG00000014637
castor_canadensis ENSCCNG00000016840
dipodomys_ordii ENSDORG00000011952
