panthera_pardus ENSPPRG00000016245
vulpes_vulpes ENSVVUG00000017414
aotus_nancymaae ENSANAG00000029490
callithrix_jacchus ENSCJAG00000016142
canis_lupus_familiaris ENSCAFG00000030815
vulpes_vulpes ENSVVUG00000017430
ailuropoda_melanoleuca ENSAMEG00000020133
panthera_tigris_altaica ENSPTIG00000005349
myotis_lucifugus ENSMLUG00000001797
equus_asinus_asinus ENSEASG00005018126
ovis_aries ENSOARG00000014004
capra_hircus ENSCHIG00000025256
bison_bison_bison ENSBBBG00000011049
bos_mutus ENSBMUG00000017067
vicugna_pacos ENSVPAG00000002474
sus_scrofa ENSSSCG00000036348
choloepus_hoffmanni ENSCHOG00000010736
dasypus_novemcinctus ENSDNOG00000046846
echinops_telfairi ENSETEG00000001310
propithecus_coquereli ENSPCOG00000018917
prolemur_simus ENSPSMG00000020853
otolemur_garnettii ENSOGAG00000027699
pan_troglodytes ENSPTRG00000017343
pan_paniscus ENSPPAG00000020768
homo_sapiens ENSG00000113248
gorilla_gorilla ENSGGOG00000008308
nomascus_leucogenys ENSNLEG00000029099
rhinopithecus_roxellana ENSRROG00000026845
rhinopithecus_bieti ENSRBIG00000032557
colobus_angolensis_palliatus ENSCANG00000037209
mandrillus_leucophaeus ENSMLEG00000032660
macaca_mulatta ENSMMUG00000021941
theropithecus_gelada ENSTGEG00000026683
chlorocebus_sabaeus ENSCSAG00000000486
saimiri_boliviensis_boliviensis ENSSBOG00000018980
spermophilus_dauricus ENSSDAG00000019230
ictidomys_tridecemlineatus ENSSTOG00000028269
marmota_marmota_marmota ENSMMMG00000011442
urocitellus_parryii ENSUPAG00010008100
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023088
mus_spicilegus ENSMSIG00000004301
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000073591
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022178
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018912
rattus_norvegicus ENSRNOG00000020028
meriones_unguiculatus ENSMUGG00000024167
cricetulus_griseus_crigri-picr ENSCGRG00015000165
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009602
cricetulus_griseus_crigri_1.0 ENSCGRG00000006239
mesocricetus_auratus ENSMAUG00000019829
peromyscus_maniculatus_bairdii ENSPEMG00000030552
cavia_porcellus ENSCPOG00000036858
octodon_degus ENSODEG00000013503
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015355
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008249
castor_canadensis ENSCCNG00000009939
sorex_araneus ENSSARG00000002205
sorex_araneus ENSSARG00000005028
erinaceus_europaeus ENSEEUG00000008936
oryctolagus_cuniculus ENSOCUG00000007783
ochotona_princeps ENSOPRG00000004673
tursiops_truncatus ENSTTRG00000001229
vicugna_pacos ENSVPAG00000006229
vulpes_vulpes ENSVVUG00000017380
canis_lupus_dingo ENSCAFG00020021253
fukomys_damarensis ENSFDAG00000010648
octodon_degus ENSODEG00000012569
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001006454
mesocricetus_auratus ENSMAUG00000009646
echinops_telfairi ENSETEG00000013479
numida_meleagris ENSNMEG00000006541
