mustela_putorius_furo ENSMPUG00000006948
neovison_vison ENSNVIG00000005203
ursus_americanus ENSUAMG00000000957
panthera_pardus ENSPPRG00000007915
felis_catus ENSFCAG00000001047
equus_caballus ENSECAG00000012857
ovis_aries ENSOARG00000001361
ovis_aries ENSOARG00000001310
capra_hircus ENSCHIG00000011843
bos_taurus ENSBTAG00000014956
bos_mutus ENSBMUG00000013809
bison_bison_bison ENSBBBG00000024475
sus_scrofa ENSSSCG00000031899
myotis_lucifugus ENSMLUG00000004436
pteropus_vampyrus ENSPVAG00000013308
sorex_araneus ENSSARG00000006234
ictidomys_tridecemlineatus ENSSTOG00000002885
urocitellus_parryii ENSUPAG00010013246
castor_canadensis ENSCCNG00000008008
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016422
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020216
mus_spicilegus ENSMSIG00000027282
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015604
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031017
rattus_norvegicus ENSRNOG00000032951
meriones_unguiculatus ENSMUGG00000014021
cricetulus_griseus_crigri-picr ENSCGRG00015002843
cricetulus_griseus_crigri_1.0 ENSCGRG00000015195
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012783
mesocricetus_auratus ENSMAUG00000013914
microtus_ochrogaster ENSMOCG00000010141
nannospalax_galili ENSNGAG00000023304
jaculus_jaculus ENSJJAG00000022160
chinchilla_lanigera ENSCLAG00000013988
octodon_degus ENSODEG00000013263
cavia_porcellus ENSCPOG00000001821
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014972
ochotona_princeps ENSOPRG00000002135
propithecus_coquereli ENSPCOG00000022471
microcebus_murinus ENSMICG00000015467
prolemur_simus ENSPSMG00000008865
otolemur_garnettii ENSOGAG00000006368
pan_troglodytes ENSPTRG00000010229
pan_paniscus ENSPPAG00000044072
homo_sapiens ENSG00000167476
gorilla_gorilla ENSGGOG00000025717
pongo_abelii ENSPPYG00000009344
nomascus_leucogenys ENSNLEG00000002155
piliocolobus_tephrosceles ENSPTEG00000027750
colobus_angolensis_palliatus ENSCANG00000034342
rhinopithecus_roxellana ENSRROG00000032946
rhinopithecus_bieti ENSRBIG00000040743
mandrillus_leucophaeus ENSMLEG00000043114
cercocebus_atys ENSCATG00000033178
theropithecus_gelada ENSTGEG00000012872
papio_anubis ENSPANG00000001000
macaca_mulatta ENSMMUG00000000311
macaca_fascicularis ENSMFAG00000034475
macaca_nemestrina ENSMNEG00000029313
chlorocebus_sabaeus ENSCSAG00000011691
cebus_capucinus_imitator ENSCCAG00000022926
saimiri_boliviensis_boliviensis ENSSBOG00000034020
callithrix_jacchus ENSCJAG00000013217
aotus_nancymaae ENSANAG00000035722
loxodonta_africana ENSLAFG00000011069
procavia_capensis ENSPCAG00000014654
dasypus_novemcinctus ENSDNOG00000038176
