sus_scrofa ENSSSCG00000012186
tursiops_truncatus ENSTTRG00000010598
bos_mutus ENSBMUG00000016334
bos_taurus ENSBTAG00000053213
bison_bison_bison ENSBBBG00000024025
ovis_aries ENSOARG00000018216
vicugna_pacos ENSVPAG00000006912
ursus_americanus ENSUAMG00000022712
ursus_maritimus ENSUMAG00000012922
ailuropoda_melanoleuca ENSAMEG00000020168
mustela_putorius_furo ENSMPUG00000019440
neovison_vison ENSNVIG00000011128
canis_lupus_familiaris ENSCAFG00000013579
canis_lupus_dingo ENSCAFG00020006234
vulpes_vulpes ENSVVUG00000012430
panthera_tigris_altaica ENSPTIG00000000344
erinaceus_europaeus ENSEEUG00000015293
pteropus_vampyrus ENSPVAG00000011532
myotis_lucifugus ENSMLUG00000005309
equus_caballus ENSECAG00000001106
sorex_araneus ENSSARG00000005428
mus_spicilegus ENSMSIG00000009234
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034394
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000067649
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033227
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031768
rattus_norvegicus ENSRNOG00000038230
meriones_unguiculatus ENSMUGG00000002456
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008641
cricetulus_griseus_crigri-picr ENSCGRG00015009407
peromyscus_maniculatus_bairdii ENSPEMG00000009168
nannospalax_galili ENSNGAG00000015560
dipodomys_ordii ENSDORG00000007363
marmota_marmota_marmota ENSMMMG00000008662
urocitellus_parryii ENSUPAG00010011820
ictidomys_tridecemlineatus ENSSTOG00000010136
oryctolagus_cuniculus ENSOCUG00000011444
pan_troglodytes ENSPTRG00000045698
pan_troglodytes ENSPTRG00000021756
pan_paniscus ENSPPAG00000015746
homo_sapiens ENSG00000176774
gorilla_gorilla ENSGGOG00000004000
nomascus_leucogenys ENSNLEG00000010087
macaca_mulatta ENSMMUG00000010056
theropithecus_gelada ENSTGEG00000023524
chlorocebus_sabaeus ENSCSAG00000019541
piliocolobus_tephrosceles ENSPTEG00000001756
callithrix_jacchus ENSCJAG00000045820
carlito_syrichta ENSTSYG00000004625
prolemur_simus ENSPSMG00000002718
otolemur_garnettii ENSOGAG00000009014
tupaia_belangeri ENSTBEG00000009211
loxodonta_africana ENSLAFG00000012104
echinops_telfairi ENSETEG00000005227
dasypus_novemcinctus ENSDNOG00000001649
