propithecus_coquereli ENSPCOG00000028289
prolemur_simus ENSPSMG00000025084
otolemur_garnettii ENSOGAG00000003706
pan_troglodytes ENSPTRG00000046047
pan_paniscus ENSPPAG00000042447
homo_sapiens ENSG00000188051
pongo_abelii ENSPPYG00000009714
homo_sapiens ENSG00000269035
nomascus_leucogenys ENSNLEG00000005784
macaca_fascicularis ENSMFAG00000032087
macaca_mulatta ENSMMUG00000008991
macaca_nemestrina ENSMNEG00000034608
chlorocebus_sabaeus ENSCSAG00000005595
theropithecus_gelada ENSTGEG00000012654
mandrillus_leucophaeus ENSMLEG00000039109
papio_anubis ENSPANG00000029265
cercocebus_atys ENSCATG00000043714
rhinopithecus_bieti ENSRBIG00000038861
rhinopithecus_roxellana ENSRROG00000029901
colobus_angolensis_palliatus ENSCANG00000041167
cebus_capucinus_imitator ENSCCAG00000021655
callithrix_jacchus ENSCJAG00000036544
saimiri_boliviensis_boliviensis ENSSBOG00000020623
aotus_nancymaae ENSANAG00000038451
tupaia_belangeri ENSTBEG00000000023
ailuropoda_melanoleuca ENSAMEG00000010558
ursus_americanus ENSUAMG00000001572
neovison_vison ENSNVIG00000016097
canis_lupus_familiaris ENSCAFG00000015329
canis_lupus_dingo ENSCAFG00020010439
vulpes_vulpes ENSVVUG00000016094
panthera_pardus ENSPPRG00000006724
felis_catus ENSFCAG00000007508
pteropus_vampyrus ENSPVAG00000007882
myotis_lucifugus ENSMLUG00000007077
sorex_araneus ENSSARG00000013681
bos_mutus ENSBMUG00000024834
bos_taurus ENSBTAG00000025767
bison_bison_bison ENSBBBG00000011563
capra_hircus ENSCHIG00000016338
tursiops_truncatus ENSTTRG00000002493
sus_scrofa ENSSSCG00000032751
equus_asinus_asinus ENSEASG00005002940
equus_caballus ENSECAG00000030646
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016637
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003997
fukomys_damarensis ENSFDAG00000008665
octodon_degus ENSODEG00000001734
chinchilla_lanigera ENSCLAG00000007691
cavia_aperea ENSCAPG00000007695
cavia_porcellus ENSCPOG00000004500
castor_canadensis ENSCCNG00000021104
cricetulus_griseus_crigri_1.0 ENSCGRG00000017772
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015191
cricetulus_griseus_crigri-picr ENSCGRG00015004577
mesocricetus_auratus ENSMAUG00000022027
microtus_ochrogaster ENSMOCG00000011341
peromyscus_maniculatus_bairdii ENSPEMG00000010509
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032311
mus_spicilegus ENSMSIG00000030645
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000043664
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031192
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021657
rattus_norvegicus ENSRNOG00000018167
meriones_unguiculatus ENSMUGG00000014743
nannospalax_galili ENSNGAG00000020235
marmota_marmota_marmota ENSMMMG00000023566
urocitellus_parryii ENSUPAG00010019415
ictidomys_tridecemlineatus ENSSTOG00000034053
spermophilus_dauricus ENSSDAG00000008934
mustela_putorius_furo ENSMPUG00000015885
procavia_capensis ENSPCAG00000004526
echinops_telfairi ENSETEG00000018991
