chinchilla_lanigera ENSCLAG00000014901
cavia_aperea ENSCAPG00000014204
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017814
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000110061
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000090455
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000110091
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000073786
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030719
cricetulus_griseus_crigri_1.0 ENSCGRG00000004617
cricetulus_griseus_crigri_1.0 ENSCGRG00000004693
cricetulus_griseus_crigri_1.0 ENSCGRG00000003016
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002763
peromyscus_maniculatus_bairdii ENSPEMG00000028507
peromyscus_maniculatus_bairdii ENSPEMG00000030094
peromyscus_maniculatus_bairdii ENSPEMG00000028497
nannospalax_galili ENSNGAG00000023226
octodon_degus ENSODEG00000017545
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014290
canis_lupus_familiaris ENSCAFG00000030941
canis_lupus_familiaris ENSCAFG00000031444
equus_caballus ENSECAG00000026957
erinaceus_europaeus ENSEEUG00000003678
nannospalax_galili ENSNGAG00000024003
cavia_porcellus ENSCPOG00000037447
rhinopithecus_roxellana ENSRROG00000031541
rhinopithecus_bieti ENSRBIG00000038165
colobus_angolensis_palliatus ENSCANG00000035592
mandrillus_leucophaeus ENSMLEG00000041468
cercocebus_atys ENSCATG00000029771
macaca_fascicularis ENSMFAG00000039972
macaca_mulatta ENSMMUG00000040242
macaca_nemestrina ENSMNEG00000028295
rhinopithecus_roxellana ENSRROG00000034233
pan_paniscus ENSPPAG00000033755
pan_troglodytes ENSPTRG00000042477
homo_sapiens ENSG00000205864
homo_sapiens ENSG00000241233
cebus_capucinus_imitator ENSCCAG00000030725
saimiri_boliviensis_boliviensis ENSSBOG00000013377
pongo_abelii ENSPPYG00000002947
gorilla_gorilla ENSGGOG00000038292
gorilla_gorilla ENSGGOG00000036265
macaca_nemestrina ENSMNEG00000045360
papio_anubis ENSPANG00000031335
ursus_maritimus ENSUMAG00000006063
ursus_maritimus ENSUMAG00000006057
ursus_americanus ENSUAMG00000020905
choloepus_hoffmanni ENSCHOG00000011077
notamacropus_eugenii ENSMEUG00000004702
