calidris_pygmaea ENSCPGG00000016664
calidris_pugnax ENSCPUG00000006009
melopsittacus_undulatus ENSMUNG00000007069
ficedula_albicollis ENSFALG00000013816
ficedula_albicollis ENSFALG00000013818
lonchura_striata_domestica ENSLSDG00000003645
junco_hyemalis ENSJHYG00000010398
lepidothrix_coronata ENSLCOG00000008891
manacus_vitellinus ENSMVIG00005010875
serinus_canaria ENSSCAG00000002652
anser_brachyrhynchus ENSABRG00000013383
anas_platyrhynchos_platyrhynchos ENSAPLG00000021517
gallus_gallus ENSGALG00000024378
coturnix_japonica ENSCJPG00005009835
numida_meleagris ENSNMEG00000008142
pogona_vitticeps ENSPVIG00000017767
apteryx_haastii ENSAHAG00000010958
apteryx_rowi ENSARWG00000008338
apteryx_owenii ENSAOWG00000012774
dromaius_novaehollandiae ENSDNVG00000016277
nothoprocta_perdicaria ENSNPEG00000012121
crocodylus_porosus ENSCPRG00005009595
chelonoidis_abingdonii ENSCABG00000000742
gopherus_agassizii ENSGAGG00000025477
chrysemys_picta_bellii ENSCPBG00000011160
salvator_merianae ENSSMRG00000005568
notechis_scutatus ENSNSUG00000016847
sphenodon_punctatus ENSSPUG00000011869
latimeria_chalumnae ENSLACG00000022472
phascolarctos_cinereus ENSPCIG00000020105
sarcophilus_harrisii ENSSHAG00000005451
monodelphis_domestica ENSMODG00000003619
ursus_americanus ENSUAMG00000005683
ursus_maritimus ENSUMAG00000014560
ailuropoda_melanoleuca ENSAMEG00000005011
neovison_vison ENSNVIG00000017053
mustela_putorius_furo ENSMPUG00000007231
vulpes_vulpes ENSVVUG00000024965
canis_lupus_familiaris ENSCAFG00000018529
canis_lupus_dingo ENSCAFG00020022119
panthera_tigris_altaica ENSPTIG00000020119
panthera_pardus ENSPPRG00000006391
felis_catus ENSFCAG00000015220
pteropus_vampyrus ENSPVAG00000009654
bos_mutus ENSBMUG00000025755
bison_bison_bison ENSBBBG00000019648
bos_taurus ENSBTAG00000007660
capra_hircus ENSCHIG00000003887
ovis_aries ENSOARG00000004095
tursiops_truncatus ENSTTRG00000009785
equus_asinus_asinus ENSEASG00005022454
sorex_araneus ENSSARG00000000278
myotis_lucifugus ENSMLUG00000006742
microcebus_murinus ENSMICG00000006194
propithecus_coquereli ENSPCOG00000026830
prolemur_simus ENSPSMG00000018739
otolemur_garnettii ENSOGAG00000003243
saimiri_boliviensis_boliviensis ENSSBOG00000034279
cebus_capucinus_imitator ENSCCAG00000025848
callithrix_jacchus ENSCJAG00000010927
aotus_nancymaae ENSANAG00000037244
homo_sapiens ENSG00000133250
gorilla_gorilla ENSGGOG00000003514
pan_troglodytes ENSPTRG00000010427
pongo_abelii ENSPPYG00000009508
nomascus_leucogenys ENSNLEG00000001897
colobus_angolensis_palliatus ENSCANG00000039816
piliocolobus_tephrosceles ENSPTEG00000031449
rhinopithecus_bieti ENSRBIG00000038458
rhinopithecus_roxellana ENSRROG00000039297
macaca_nemestrina ENSMNEG00000033701
macaca_mulatta ENSMMUG00000019918
macaca_fascicularis ENSMFAG00000017282
mandrillus_leucophaeus ENSMLEG00000037008
cercocebus_atys ENSCATG00000030573
papio_anubis ENSPANG00000000284
theropithecus_gelada ENSTGEG00000022534
chlorocebus_sabaeus ENSCSAG00000007968
castor_canadensis ENSCCNG00000022661
dipodomys_ordii ENSDORG00000008110
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000073423
mus_spicilegus ENSMSIG00000007690
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022323
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021411
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020416
rattus_norvegicus ENSRNOG00000008378
meriones_unguiculatus ENSMUGG00000011722
peromyscus_maniculatus_bairdii ENSPEMG00000013240
microtus_ochrogaster ENSMOCG00000005586
cricetulus_griseus_crigri_1.0 ENSCGRG00000009883
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019364
cricetulus_griseus_crigri-picr ENSCGRG00015025634
mesocricetus_auratus ENSMAUG00000015759
nannospalax_galili ENSNGAG00000001048
jaculus_jaculus ENSJJAG00000005188
urocitellus_parryii ENSUPAG00010004817
ictidomys_tridecemlineatus ENSSTOG00000028879
spermophilus_dauricus ENSSDAG00000020133
marmota_marmota_marmota ENSMMMG00000021643
cavia_porcellus ENSCPOG00000027253
cavia_aperea ENSCAPG00000010811
octodon_degus ENSODEG00000010741
chinchilla_lanigera ENSCLAG00000002700
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010578
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001764
fukomys_damarensis ENSFDAG00000012373
carlito_syrichta ENSTSYG00000034670
tupaia_belangeri ENSTBEG00000004008
sus_scrofa ENSSSCG00000033902
equus_caballus ENSECAG00000023401
erinaceus_europaeus ENSEEUG00000009487
oryctolagus_cuniculus ENSOCUG00000027412
procavia_capensis ENSPCAG00000015073
loxodonta_africana ENSLAFG00000021907
echinops_telfairi ENSETEG00000019716
dasypus_novemcinctus ENSDNOG00000025224
ornithorhynchus_anatinus ENSOANG00000013254
taeniopygia_guttata ENSTGUG00000000351
paramormyrops_kingsleyae ENSPKIG00000016580
scleropages_formosus ENSSFOG00015016446
amphiprion_percula ENSAPEG00000004054
amphiprion_ocellaris ENSAOCG00000013861
acanthochromis_polyacanthus ENSAPOG00000009066
stegastes_partitus ENSSPAG00000012783
fundulus_heteroclitus ENSFHEG00000010555
cyprinodon_variegatus ENSCVAG00000013851
xiphophorus_maculatus ENSXMAG00000000830
xiphophorus_couchianus ENSXCOG00000017681
gambusia_affinis ENSGAFG00000003325
poecilia_formosa ENSPFOG00000004319
poecilia_latipinna ENSPLAG00000012629
poecilia_mexicana ENSPMEG00000010995
poecilia_reticulata ENSPREG00000022264
kryptolebias_marmoratus ENSKMAG00000012554
cynoglossus_semilaevis ENSCSEG00000007111
mola_mola ENSMMOG00000015325
tetraodon_nigroviridis ENSTNIG00000007027
monopterus_albus ENSMALG00000012825
anabas_testudineus ENSATEG00000010045
maylandia_zebra ENSMZEG00005017154
astatotilapia_calliptera ENSACLG00000000415
pundamilia_nyererei ENSPNYG00000002961
haplochromis_burtoni ENSHBUG00000018205
oreochromis_niloticus ENSONIG00000015033
amphilophus_citrinellus ENSACIG00000001875
seriola_lalandi_dorsalis ENSSLDG00000014196
seriola_dumerili ENSSDUG00000012817
oryzias_latipes_asm223471v1 ENSORLG00020003382
oryzias_latipes_asm223467v1 ENSORLG00000000180
oryzias_latipes_asm223469v1 ENSORLG00015005895
oryzias_melastigma ENSOMEG00000002913
labrus_bergylta ENSLBEG00000013787
scophthalmus_maximus ENSSMAG00000016213
hippocampus_comes ENSHCOG00000007619
periophthalmus_magnuspinnatus ENSPMGG00000002833
gadus_morhua ENSGMOG00000012968
esox_lucius ENSELUG00000011888
pygocentrus_nattereri ENSPNAG00000009872
astyanax_mexicanus ENSAMXG00000005757
ictalurus_punctatus ENSIPUG00000016612
danio_rerio ENSDARG00000079229
eptatretus_burgeri ENSEBUG00000007839
