cricetulus_griseus_crigri-picr ENSCGRG00015012957
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019741
cricetulus_griseus_crigri_1.0 ENSCGRG00000010440
peromyscus_maniculatus_bairdii ENSPEMG00000020093
microtus_ochrogaster ENSMOCG00000015603
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000007815
mus_spicilegus ENSMSIG00000024290
mus_spicilegus ENSMSIG00000029711
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015551
rattus_norvegicus ENSRNOG00000050519
meriones_unguiculatus ENSMUGG00000017904
nannospalax_galili ENSNGAG00000007854
ictidomys_tridecemlineatus ENSSTOG00000004561
marmota_marmota_marmota ENSMMMG00000005067
urocitellus_parryii ENSUPAG00010022734
spermophilus_dauricus ENSSDAG00000014673
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019955
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020309
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010752
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014416
fukomys_damarensis ENSFDAG00000007159
octodon_degus ENSODEG00000019650
octodon_degus ENSODEG00000009809
cavia_porcellus ENSCPOG00000014073
chinchilla_lanigera ENSCLAG00000007531
dipodomys_ordii ENSDORG00000025671
dipodomys_ordii ENSDORG00000012364
oryctolagus_cuniculus ENSOCUG00000013323
pan_troglodytes ENSPTRG00000014922
homo_sapiens ENSG00000067560
nomascus_leucogenys ENSNLEG00000006839
theropithecus_gelada ENSTGEG00000006051
chlorocebus_sabaeus ENSCSAG00000015074
mandrillus_leucophaeus ENSMLEG00000038343
cercocebus_atys ENSCATG00000018066
papio_anubis ENSPANG00000031333
macaca_mulatta ENSMMUG00000047476
macaca_nemestrina ENSMNEG00000042186
colobus_angolensis_palliatus ENSCANG00000026406
rhinopithecus_roxellana ENSRROG00000031894
callithrix_jacchus ENSCJAG00000013657
saimiri_boliviensis_boliviensis ENSSBOG00000035785
carlito_syrichta ENSTSYG00000036850
propithecus_coquereli ENSPCOG00000014495
prolemur_simus ENSPSMG00000026009
microcebus_murinus ENSMICG00000032818
equus_caballus ENSECAG00000033791
pteropus_vampyrus ENSPVAG00000008738
panthera_tigris_altaica ENSPTIG00000018631
panthera_pardus ENSPPRG00000024656
felis_catus ENSFCAG00000027456
ursus_maritimus ENSUMAG00000022826
ailuropoda_melanoleuca ENSAMEG00000012584
mustela_putorius_furo ENSMPUG00000013840
canis_lupus_familiaris ENSCAFG00000023066
vulpes_vulpes ENSVVUG00000029053
vicugna_pacos ENSVPAG00000010931
sus_scrofa ENSSSCG00000022080
ovis_aries ENSOARG00000013860
capra_hircus ENSCHIG00000013894
capra_hircus ENSCHIG00000013552
ovis_aries ENSOARG00000016449
bos_taurus ENSBTAG00000004279
bos_mutus ENSBMUG00000014394
bison_bison_bison ENSBBBG00000013828
tursiops_truncatus ENSTTRG00000017370
tupaia_belangeri ENSTBEG00000002417
ochotona_princeps ENSOPRG00000009638
myotis_lucifugus ENSMLUG00000013911
myotis_lucifugus ENSMLUG00000023473
loxodonta_africana ENSLAFG00000009726
procavia_capensis ENSPCAG00000009699
sarcophilus_harrisii ENSSHAG00000010214
sarcophilus_harrisii ENSSHAG00000002500
sarcophilus_harrisii ENSSHAG00000016308
phascolarctos_cinereus ENSPCIG00000011878
monodelphis_domestica ENSMODG00000012981
monodelphis_domestica ENSMODG00000024902
gopherus_agassizii ENSGAGG00000021594
chelonoidis_abingdonii ENSCABG00000011108
chrysemys_picta_bellii ENSCPBG00000010596
