heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020765
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013113
castor_canadensis ENSCCNG00000006737
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001006236
cricetulus_griseus_crigri_1.0 ENSCGRG00000019272
cricetulus_griseus_crigri-picr ENSCGRG00015022724
peromyscus_maniculatus_bairdii ENSPEMG00000024555
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024838
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000075072
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023924
mus_spicilegus ENSMSIG00000000659
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025361
rattus_norvegicus ENSRNOG00000006654
marmota_marmota_marmota ENSMMMG00000016615
oryctolagus_cuniculus ENSOCUG00000025203
papio_anubis ENSPANG00000003659
cercocebus_atys ENSCATG00000015226
chlorocebus_sabaeus ENSCSAG00000005883
piliocolobus_tephrosceles ENSPTEG00000035894
ursus_americanus ENSUAMG00000013019
ursus_maritimus ENSUMAG00000008608
ailuropoda_melanoleuca ENSAMEG00000014361
neovison_vison ENSNVIG00000008709
canis_lupus_familiaris ENSCAFG00000024604
canis_lupus_dingo ENSCAFG00020025755
vulpes_vulpes ENSVVUG00000002696
panthera_pardus ENSPPRG00000020163
sus_scrofa ENSSSCG00000031920
erinaceus_europaeus ENSEEUG00000002162
erinaceus_europaeus ENSEEUG00000004365
loxodonta_africana ENSLAFG00000027614
loxodonta_africana ENSLAFG00000026605
loxodonta_africana ENSLAFG00000030708
loxodonta_africana ENSLAFG00000027987
echinops_telfairi ENSETEG00000004192
choloepus_hoffmanni ENSCHOG00000000438
