cavia_porcellus ENSCPOG00000036035
octodon_degus ENSODEG00000019959
chinchilla_lanigera ENSCLAG00000017956
ictidomys_tridecemlineatus ENSSTOG00000022677
spermophilus_dauricus ENSSDAG00000001171
castor_canadensis ENSCCNG00000026586
dipodomys_ordii ENSDORG00000025233
cricetulus_griseus_crigri_1.0 ENSCGRG00000018521
cricetulus_griseus_crigri-picr ENSCGRG00015001384
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003149
microtus_ochrogaster ENSMOCG00000001415
peromyscus_maniculatus_bairdii ENSPEMG00000025595
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015413
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015412
mus_spicilegus ENSMSIG00000018721
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000102049
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000094410
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014605
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014606
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027842
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027841
nannospalax_galili ENSNGAG00000014592
jaculus_jaculus ENSJJAG00000001904
oryctolagus_cuniculus ENSOCUG00000024739
prolemur_simus ENSPSMG00000003690
otolemur_garnettii ENSOGAG00000032362
papio_anubis ENSPANG00000018009
theropithecus_gelada ENSTGEG00000017420
macaca_nemestrina ENSMNEG00000019676
chlorocebus_sabaeus ENSCSAG00000000255
pan_paniscus ENSPPAG00000026325
homo_sapiens ENSG00000257315
callithrix_jacchus ENSCJAG00000039843
cebus_capucinus_imitator ENSCCAG00000019665
aotus_nancymaae ENSANAG00000017840
myotis_lucifugus ENSMLUG00000024783
equus_caballus ENSECAG00000005666
ursus_americanus ENSUAMG00000005643
ailuropoda_melanoleuca ENSAMEG00000019872
mustela_putorius_furo ENSMPUG00000019262
canis_lupus_dingo ENSCAFG00020006740
canis_lupus_familiaris ENSCAFG00000009578
vulpes_vulpes ENSVVUG00000014998
panthera_pardus ENSPPRG00000020731
capra_hircus ENSCHIG00000011089
ovis_aries ENSOARG00000004947
bison_bison_bison ENSBBBG00000017218
loxodonta_africana ENSLAFG00000029775
dasypus_novemcinctus ENSDNOG00000049271
crocodylus_porosus ENSCPRG00005011040
pelodiscus_sinensis ENSPSIG00000001968
