astatotilapia_calliptera ENSACLG00000004226
maylandia_zebra ENSMZEG00005012621
pundamilia_nyererei ENSPNYG00000012456
haplochromis_burtoni ENSHBUG00000008430
neolamprologus_brichardi ENSNBRG00000007399
oreochromis_niloticus ENSONIG00000020852
amphilophus_citrinellus ENSACIG00000006194
stegastes_partitus ENSSPAG00000022970
oryzias_latipes_asm223469v1 ENSORLG00015003935
oryzias_latipes_asm223467v1 ENSORLG00000011036
oryzias_latipes_asm223471v1 ENSORLG00020014323
oryzias_melastigma ENSOMEG00000016144
poecilia_mexicana ENSPMEG00000024252
poecilia_latipinna ENSPLAG00000022545
poecilia_formosa ENSPFOG00000023463
poecilia_reticulata ENSPREG00000001014
xiphophorus_couchianus ENSXCOG00000018316
xiphophorus_maculatus ENSXMAG00000013968
gambusia_affinis ENSGAFG00000018910
fundulus_heteroclitus ENSFHEG00000014964
cyprinodon_variegatus ENSCVAG00000008403
mola_mola ENSMMOG00000004987
monopterus_albus ENSMALG00000001959
mastacembelus_armatus ENSMAMG00000023748
seriola_dumerili ENSSDUG00000000433
seriola_lalandi_dorsalis ENSSLDG00000007874
takifugu_rubripes ENSTRUG00000002420
tetraodon_nigroviridis ENSTNIG00000012623
scophthalmus_maximus ENSSMAG00000010792
periophthalmus_magnuspinnatus ENSPMGG00000022459
monopterus_albus ENSMALG00000014434
pygocentrus_nattereri ENSPNAG00000007683
paramormyrops_kingsleyae ENSPKIG00000005224
astyanax_mexicanus ENSAMXG00000025160
ictalurus_punctatus ENSIPUG00000012957
danio_rerio ENSDARG00000099195
paramormyrops_kingsleyae ENSPKIG00000004550
scleropages_formosus ENSSFOG00015023837
