crocodylus_porosus ENSCPRG00005008368
pogona_vitticeps ENSPVIG00000000057
ornithorhynchus_anatinus ENSOANG00000020020
anser_brachyrhynchus ENSABRG00000009391
anas_platyrhynchos_platyrhynchos ENSAPLG00000013809
pogona_vitticeps ENSPVIG00000017748
coturnix_japonica ENSCJPG00005006547
meleagris_gallopavo ENSMGAG00000008544
gallus_gallus ENSGALG00000042199
numida_meleagris ENSNMEG00000016506
anas_platyrhynchos_platyrhynchos ENSAPLG00000022340
cyanistes_caeruleus ENSCCEG00000004669
ornithorhynchus_anatinus ENSOANG00000028250
lepidothrix_coronata ENSLCOG00000009912
manacus_vitellinus ENSMVIG00005006241
lonchura_striata_domestica ENSLSDG00000001717
taeniopygia_guttata ENSTGUG00000005860
cyanistes_caeruleus ENSCCEG00000004443
ficedula_albicollis ENSFALG00000004701
parus_major ENSPMJG00000005811
serinus_canaria ENSSCAG00000013745
junco_hyemalis ENSJHYG00000000888
zonotrichia_albicollis ENSZALG00000004799
calidris_pugnax ENSCPUG00000005788
calidris_pygmaea ENSCPGG00000003064
melopsittacus_undulatus ENSMUNG00000002557
nothoprocta_perdicaria ENSNPEG00000006978
dromaius_novaehollandiae ENSDNVG00000014800
notechis_scutatus ENSNSUG00000001813
anolis_carolinensis ENSACAG00000014799
sphenodon_punctatus ENSSPUG00000011480
cyanistes_caeruleus ENSCCEG00000018664
mesocricetus_auratus ENSMAUG00000020683
oryctolagus_cuniculus ENSOCUG00000003118
ochotona_princeps ENSOPRG00000014534
tupaia_belangeri ENSTBEG00000007359
pan_troglodytes ENSPTRG00000013578
pan_paniscus ENSPPAG00000043064
homo_sapiens ENSG00000124140
gorilla_gorilla ENSGGOG00000013584
pongo_abelii ENSPPYG00000011086
nomascus_leucogenys ENSNLEG00000006873
mandrillus_leucophaeus ENSMLEG00000042182
cercocebus_atys ENSCATG00000043549
theropithecus_gelada ENSTGEG00000018874
papio_anubis ENSPANG00000019640
macaca_fascicularis ENSMFAG00000040616
macaca_mulatta ENSMMUG00000016553
macaca_nemestrina ENSMNEG00000030937
chlorocebus_sabaeus ENSCSAG00000014736
colobus_angolensis_palliatus ENSCANG00000026199
piliocolobus_tephrosceles ENSPTEG00000025644
rhinopithecus_roxellana ENSRROG00000041970
rhinopithecus_bieti ENSRBIG00000040652
saimiri_boliviensis_boliviensis ENSSBOG00000020887
cebus_capucinus_imitator ENSCCAG00000031231
callithrix_jacchus ENSCJAG00000017149
aotus_nancymaae ENSANAG00000033899
carlito_syrichta ENSTSYG00000010898
prolemur_simus ENSPSMG00000007980
propithecus_coquereli ENSPCOG00000017338
microcebus_murinus ENSMICG00000011367
otolemur_garnettii ENSOGAG00000009620
mus_spicilegus ENSMSIG00000022831
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000017740
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025598
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024678
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026120
rattus_norvegicus ENSRNOG00000018111
meriones_unguiculatus ENSMUGG00000006582
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000635
cricetulus_griseus_crigri-picr ENSCGRG00015021052
cricetulus_griseus_crigri_1.0 ENSCGRG00000013363
microtus_ochrogaster ENSMOCG00000016770
peromyscus_maniculatus_bairdii ENSPEMG00000006215
nannospalax_galili ENSNGAG00000008564
jaculus_jaculus ENSJJAG00000010588
castor_canadensis ENSCCNG00000023179
cavia_porcellus ENSCPOG00000015091
cavia_aperea ENSCAPG00000015333
chinchilla_lanigera ENSCLAG00000013456
octodon_degus ENSODEG00000008883
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011947
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005403
fukomys_damarensis ENSFDAG00000016953
dipodomys_ordii ENSDORG00000007768
procavia_capensis ENSPCAG00000006426
echinops_telfairi ENSETEG00000005124
loxodonta_africana ENSLAFG00000018572
dasypus_novemcinctus ENSDNOG00000003096
ursus_americanus ENSUAMG00000022279
ursus_maritimus ENSUMAG00000025127
ailuropoda_melanoleuca ENSAMEG00000012809
mustela_putorius_furo ENSMPUG00000017608
neovison_vison ENSNVIG00000009758
canis_lupus_dingo ENSCAFG00020014248
canis_lupus_familiaris ENSCAFG00000009931
vulpes_vulpes ENSVVUG00000016429
panthera_pardus ENSPPRG00000024268
felis_catus ENSFCAG00000014016
panthera_tigris_altaica ENSPTIG00000021902
bos_mutus ENSBMUG00000005534
bos_taurus ENSBTAG00000014179
bison_bison_bison ENSBBBG00000008732
capra_hircus ENSCHIG00000017042
ovis_aries ENSOARG00000008065
sus_scrofa ENSSSCG00000007437
tursiops_truncatus ENSTTRG00000000485
equus_caballus ENSECAG00000019126
equus_asinus_asinus ENSEASG00005023365
pteropus_vampyrus ENSPVAG00000000392
myotis_lucifugus ENSMLUG00000015923
erinaceus_europaeus ENSEEUG00000012240
ictidomys_tridecemlineatus ENSSTOG00000006405
marmota_marmota_marmota ENSMMMG00000005674
urocitellus_parryii ENSUPAG00010001996
spermophilus_dauricus ENSSDAG00000005430
notamacropus_eugenii ENSMEUG00000016242
phascolarctos_cinereus ENSPCIG00000004849
monodelphis_domestica ENSMODG00000013854
sarcophilus_harrisii ENSSHAG00000006039
ornithorhynchus_anatinus ENSOANG00000003036
xenopus_tropicalis ENSXETG00000031179
anolis_carolinensis ENSACAG00000007138
notechis_scutatus ENSNSUG00000002879
salvator_merianae ENSSMRG00000019920
gopherus_agassizii ENSGAGG00000004744
chelonoidis_abingdonii ENSCABG00000023146
chrysemys_picta_bellii ENSCPBG00000026847
latimeria_chalumnae ENSLACG00000010148
apteryx_owenii ENSAOWG00000004523
apteryx_haastii ENSAHAG00000002635
apteryx_rowi ENSARWG00000011757
dromaius_novaehollandiae ENSDNVG00000004072
nothoprocta_perdicaria ENSNPEG00000006974
acanthochromis_polyacanthus ENSAPOG00000006067
xiphophorus_couchianus ENSXCOG00000002173
eptatretus_burgeri ENSEBUG00000016167
