octodon_degus ENSODEG00000006869
chinchilla_lanigera ENSCLAG00000002739
cavia_aperea ENSCAPG00000013087
cavia_porcellus ENSCPOG00000013123
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004450
fukomys_damarensis ENSFDAG00000018826
castor_canadensis ENSCCNG00000005737
urocitellus_parryii ENSUPAG00010011861
ictidomys_tridecemlineatus ENSSTOG00000030805
marmota_marmota_marmota ENSMMMG00000020056
spermophilus_dauricus ENSSDAG00000014050
propithecus_coquereli ENSPCOG00000014490
prolemur_simus ENSPSMG00000022638
pan_paniscus ENSPPAG00000041160
pan_troglodytes ENSPTRG00000022761
homo_sapiens ENSG00000196900
pongo_abelii ENSPPYG00000015728
nomascus_leucogenys ENSNLEG00000012247
rhinopithecus_roxellana ENSRROG00000040131
rhinopithecus_bieti ENSRBIG00000041785
colobus_angolensis_palliatus ENSCANG00000040475
piliocolobus_tephrosceles ENSPTEG00000009933
macaca_mulatta ENSMMUG00000015958
macaca_fascicularis ENSMFAG00000042605
theropithecus_gelada ENSTGEG00000014779
papio_anubis ENSPANG00000022176
mandrillus_leucophaeus ENSMLEG00000033895
chlorocebus_sabaeus ENSCSAG00000014492
cercocebus_atys ENSCATG00000044525
cebus_capucinus_imitator ENSCCAG00000033944
saimiri_boliviensis_boliviensis ENSSBOG00000023843
callithrix_jacchus ENSCJAG00000011071
aotus_nancymaae ENSANAG00000020432
oryctolagus_cuniculus ENSOCUG00000022846
ochotona_princeps ENSOPRG00000008188
dipodomys_ordii ENSDORG00000027663
microcebus_murinus ENSMICG00000045095
microtus_ochrogaster ENSMOCG00000005675
peromyscus_maniculatus_bairdii ENSPEMG00000029586
cricetulus_griseus_crigri-picr ENSCGRG00015007776
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000467
cricetulus_griseus_crigri_1.0 ENSCGRG00000014379
mesocricetus_auratus ENSMAUG00000013359
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023200
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000032900
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022287
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019020
rattus_norvegicus ENSRNOG00000023034
meriones_unguiculatus ENSMUGG00000014545
nannospalax_galili ENSNGAG00000001798
jaculus_jaculus ENSJJAG00000016971
otolemur_garnettii ENSOGAG00000026513
tupaia_belangeri ENSTBEG00000011617
carlito_syrichta ENSTSYG00000026427
equus_asinus_asinus ENSEASG00005012512
equus_caballus ENSECAG00000009955
pteropus_vampyrus ENSPVAG00000003288
ursus_americanus ENSUAMG00000006667
ailuropoda_melanoleuca ENSAMEG00000010050
neovison_vison ENSNVIG00000007230
canis_lupus_dingo ENSCAFG00020009851
canis_lupus_familiaris ENSCAFG00000000592
vulpes_vulpes ENSVVUG00000030151
panthera_tigris_altaica ENSPTIG00000018196
panthera_pardus ENSPPRG00000003643
felis_catus ENSFCAG00000011623
bos_taurus ENSBTAG00000046718
bos_mutus ENSBMUG00000023874
bison_bison_bison ENSBBBG00000013255
ovis_aries ENSOARG00000018206
capra_hircus ENSCHIG00000019799
vicugna_pacos ENSVPAG00000009742
sus_scrofa ENSSSCG00000040454
loxodonta_africana ENSLAFG00000015284
procavia_capensis ENSPCAG00000003325
echinops_telfairi ENSETEG00000008702
dasypus_novemcinctus ENSDNOG00000017103
erinaceus_europaeus ENSEEUG00000009378
monodelphis_domestica ENSMODG00000028880
monodelphis_domestica ENSMODG00000027735
phascolarctos_cinereus ENSPCIG00000004200
sarcophilus_harrisii ENSSHAG00000012844
pogona_vitticeps ENSPVIG00000002314
anolis_carolinensis ENSACAG00000002875
notechis_scutatus ENSNSUG00000013791
salvator_merianae ENSSMRG00000019334
sphenodon_punctatus ENSSPUG00000013992
gopherus_agassizii ENSGAGG00000015419
chelonoidis_abingdonii ENSCABG00000020919
pelodiscus_sinensis ENSPSIG00000005186
pelodiscus_sinensis ENSPSIG00000011691
apteryx_haastii ENSAHAG00000010852
apteryx_rowi ENSARWG00000010546
dromaius_novaehollandiae ENSDNVG00000016560
nothoprocta_perdicaria ENSNPEG00000000968
