rhinopithecus_bieti ENSRBIG00000029763
rhinopithecus_roxellana ENSRROG00000035162
piliocolobus_tephrosceles ENSPTEG00000010459
colobus_angolensis_palliatus ENSCANG00000034321
macaca_fascicularis ENSMFAG00000041353
macaca_nemestrina ENSMNEG00000032232
papio_anubis ENSPANG00000028533
mandrillus_leucophaeus ENSMLEG00000026183
macaca_mulatta ENSMMUG00000046693
cercocebus_atys ENSCATG00000029668
theropithecus_gelada ENSTGEG00000010224
pan_paniscus ENSPPAG00000037957
pan_troglodytes ENSPTRG00000044306
gorilla_gorilla ENSGGOG00000037140
