acanthochromis_polyacanthus ENSAPOG00000004948
mola_mola ENSMMOG00000014748
gadus_morhua ENSGMOG00000011162
esox_lucius ENSELUG00000018288
fundulus_heteroclitus ENSFHEG00000020780
lepidothrix_coronata ENSLCOG00000009339
parus_major ENSPMJG00000019802
anser_brachyrhynchus ENSABRG00000011278
nothoprocta_perdicaria ENSNPEG00000010831
dromaius_novaehollandiae ENSDNVG00000002999
pogona_vitticeps ENSPVIG00000010800
equus_caballus ENSECAG00000040301
canis_lupus_dingo ENSCAFG00020010950
ovis_aries ENSOARG00000005811
chrysemys_picta_bellii ENSCPBG00000000313
chelonoidis_abingdonii ENSCABG00000007596
cyanistes_caeruleus ENSCCEG00000013578
parus_major ENSPMJG00000015918
calidris_pygmaea ENSCPGG00000014231
nothoprocta_perdicaria ENSNPEG00000011640
notechis_scutatus ENSNSUG00000005011
ursus_maritimus ENSUMAG00000011069
pteropus_vampyrus ENSPVAG00000010553
sorex_araneus ENSSARG00000001691
dasypus_novemcinctus ENSDNOG00000031635
oryctolagus_cuniculus ENSOCUG00000025093
amphilophus_citrinellus ENSACIG00000019968
neolamprologus_brichardi ENSNBRG00000001833
fundulus_heteroclitus ENSFHEG00000023192
seriola_lalandi_dorsalis ENSSLDG00000014050
cynoglossus_semilaevis ENSCSEG00000010532
monopterus_albus ENSMALG00000000427
scleropages_formosus ENSSFOG00015001484
