xiphophorus_couchianus ENSXCOG00000013293
xiphophorus_maculatus ENSXMAG00000021353
gambusia_affinis ENSGAFG00000009835
poecilia_formosa ENSPFOG00000013911
poecilia_mexicana ENSPMEG00000021784
poecilia_latipinna ENSPLAG00000023510
poecilia_reticulata ENSPREG00000015930
cyprinodon_variegatus ENSCVAG00000015362
fundulus_heteroclitus ENSFHEG00000021553
kryptolebias_marmoratus ENSKMAG00000018348
scophthalmus_maximus ENSSMAG00000020729
oryzias_latipes_asm223471v1 ENSORLG00020005696
oryzias_latipes_asm223469v1 ENSORLG00015010861
oryzias_latipes_asm223467v1 ENSORLG00000006690
oryzias_melastigma ENSOMEG00000005136
periophthalmus_magnuspinnatus ENSPMGG00000013177
cynoglossus_semilaevis ENSCSEG00000001846
hippocampus_comes ENSHCOG00000000076
tetraodon_nigroviridis ENSTNIG00000008632
takifugu_rubripes ENSTRUG00000025800
mola_mola ENSMMOG00000010355
labrus_bergylta ENSLBEG00000001428
gasterosteus_aculeatus ENSGACG00000008764
astatotilapia_calliptera ENSACLG00000013099
pundamilia_nyererei ENSPNYG00000011375
maylandia_zebra ENSMZEG00005027601
haplochromis_burtoni ENSHBUG00000020871
oreochromis_niloticus ENSONIG00000018518
neolamprologus_brichardi ENSNBRG00000018590
amphilophus_citrinellus ENSACIG00000017808
amphiprion_ocellaris ENSAOCG00000022344
amphiprion_percula ENSAPEG00000011294
acanthochromis_polyacanthus ENSAPOG00000004557
stegastes_partitus ENSSPAG00000008938
monopterus_albus ENSMALG00000006008
mastacembelus_armatus ENSMAMG00000021290
anabas_testudineus ENSATEG00000003699
seriola_dumerili ENSSDUG00000010985
seriola_lalandi_dorsalis ENSSLDG00000025552
gadus_morhua ENSGMOG00000012604
esox_lucius ENSELUG00000024631
pygocentrus_nattereri ENSPNAG00000000517
astyanax_mexicanus ENSAMXG00000012484
ictalurus_punctatus ENSIPUG00000000214
danio_rerio ENSDARG00000007409
