panthera_pardus ENSPPRG00000001103
panthera_tigris_altaica ENSPTIG00000016458
felis_catus ENSFCAG00000044217
neovison_vison ENSNVIG00000003081
sus_scrofa ENSSSCG00000037781
macaca_nemestrina ENSMNEG00000008553
macaca_fascicularis ENSMFAG00000011646
theropithecus_gelada ENSTGEG00000026837
cercocebus_atys ENSCATG00000019052
mandrillus_leucophaeus ENSMLEG00000028421
papio_anubis ENSPANG00000030609
piliocolobus_tephrosceles ENSPTEG00000029984
colobus_angolensis_palliatus ENSCANG00000003908
pan_paniscus ENSPPAG00000013619
gorilla_gorilla ENSGGOG00000043004
