ovis_aries ENSOARG00000005802
capra_hircus ENSCHIG00000003781
bos_mutus ENSBMUG00000007471
bos_taurus ENSBTAG00000033127
bison_bison_bison ENSBBBG00000011297
tursiops_truncatus ENSTTRG00000002374
sus_scrofa ENSSSCG00000010873
pteropus_vampyrus ENSPVAG00000014561
mustela_putorius_furo ENSMPUG00000015737
neovison_vison ENSNVIG00000002977
ursus_americanus ENSUAMG00000011025
ursus_maritimus ENSUMAG00000011873
ailuropoda_melanoleuca ENSAMEG00000009269
vulpes_vulpes ENSVVUG00000026502
canis_lupus_dingo ENSCAFG00020000808
panthera_pardus ENSPPRG00000009331
panthera_tigris_altaica ENSPTIG00000019529
felis_catus ENSFCAG00000041166
myotis_lucifugus ENSMLUG00000002740
equus_asinus_asinus ENSEASG00005003081
equus_caballus ENSECAG00000016894
erinaceus_europaeus ENSEEUG00000011965
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000015962
mus_spicilegus ENSMSIG00000008684
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015756
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014956
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028188
rattus_norvegicus ENSRNOG00000021411
meriones_unguiculatus ENSMUGG00000020590
cricetulus_griseus_crigri_1.0 ENSCGRG00000011381
cricetulus_griseus_crigri-picr ENSCGRG00015013891
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021462
mesocricetus_auratus ENSMAUG00000020005
microtus_ochrogaster ENSMOCG00000022902
jaculus_jaculus ENSJJAG00000024007
urocitellus_parryii ENSUPAG00010018380
ictidomys_tridecemlineatus ENSSTOG00000022394
marmota_marmota_marmota ENSMMMG00000023704
spermophilus_dauricus ENSSDAG00000022695
castor_canadensis ENSCCNG00000011903
dipodomys_ordii ENSDORG00000010973
chinchilla_lanigera ENSCLAG00000007599
octodon_degus ENSODEG00000012902
cavia_aperea ENSCAPG00000017797
cavia_porcellus ENSCPOG00000002339
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014890
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009917
fukomys_damarensis ENSFDAG00000006367
ochotona_princeps ENSOPRG00000004941
homo_sapiens ENSG00000173728
gorilla_gorilla ENSGGOG00000011106
pan_paniscus ENSPPAG00000029380
pan_troglodytes ENSPTRG00000002177
pongo_abelii ENSPPYG00000000058
nomascus_leucogenys ENSNLEG00000003983
cercocebus_atys ENSCATG00000043782
mandrillus_leucophaeus ENSMLEG00000027336
macaca_mulatta ENSMMUG00000000015
macaca_nemestrina ENSMNEG00000031871
macaca_fascicularis ENSMFAG00000037345
theropithecus_gelada ENSTGEG00000017440
papio_anubis ENSPANG00000004992
chlorocebus_sabaeus ENSCSAG00000009313
piliocolobus_tephrosceles ENSPTEG00000000987
colobus_angolensis_palliatus ENSCANG00000029782
rhinopithecus_bieti ENSRBIG00000036507
rhinopithecus_roxellana ENSRROG00000043026
saimiri_boliviensis_boliviensis ENSSBOG00000025161
cebus_capucinus_imitator ENSCCAG00000026529
callithrix_jacchus ENSCJAG00000017074
aotus_nancymaae ENSANAG00000029438
carlito_syrichta ENSTSYG00000004445
propithecus_coquereli ENSPCOG00000005357
microcebus_murinus ENSMICG00000042924
prolemur_simus ENSPSMG00000022478
otolemur_garnettii ENSOGAG00000006163
tupaia_belangeri ENSTBEG00000009256
choloepus_hoffmanni ENSCHOG00000005630
dasypus_novemcinctus ENSDNOG00000007513
loxodonta_africana ENSLAFG00000025946
procavia_capensis ENSPCAG00000004609
echinops_telfairi ENSETEG00000006810
phascolarctos_cinereus ENSPCIG00000017077
monodelphis_domestica ENSMODG00000006566
sarcophilus_harrisii ENSSHAG00000002954
ornithorhynchus_anatinus ENSOANG00000010256
meleagris_gallopavo ENSMGAG00000011475
anas_platyrhynchos_platyrhynchos ENSAPLG00000011818
calidris_pugnax ENSCPUG00000004180
calidris_pygmaea ENSCPGG00000006354
crocodylus_porosus ENSCPRG00005014243
gopherus_agassizii ENSGAGG00000013296
pogona_vitticeps ENSPVIG00000022624
