apteryx_haastii ENSAHAG00000018850
apteryx_owenii ENSAOWG00000002797
apteryx_rowi ENSARWG00000014282
dromaius_novaehollandiae ENSDNVG00000007218
nothoprocta_perdicaria ENSNPEG00000006074
junco_hyemalis ENSJHYG00000005557
zonotrichia_albicollis ENSZALG00000009348
serinus_canaria ENSSCAG00000015022
taeniopygia_guttata ENSTGUG00000012476
taeniopygia_guttata ENSTGUG00000015096
lonchura_striata_domestica ENSLSDG00000013142
ficedula_albicollis ENSFALG00000007927
parus_major ENSPMJG00000013853
cyanistes_caeruleus ENSCCEG00000003074
lepidothrix_coronata ENSLCOG00000008297
manacus_vitellinus ENSMVIG00005005945
melopsittacus_undulatus ENSMUNG00000005966
calidris_pygmaea ENSCPGG00000002387
calidris_pugnax ENSCPUG00000011214
anser_brachyrhynchus ENSABRG00000011474
anas_platyrhynchos_platyrhynchos ENSAPLG00000014316
gallus_gallus ENSGALG00000016936
coturnix_japonica ENSCJPG00005019613
meleagris_gallopavo ENSMGAG00000014961
numida_meleagris ENSNMEG00000001077
crocodylus_porosus ENSCPRG00005018753
chelonoidis_abingdonii ENSCABG00000020833
gopherus_agassizii ENSGAGG00000003173
chrysemys_picta_bellii ENSCPBG00000026646
pelodiscus_sinensis ENSPSIG00000013821
anolis_carolinensis ENSACAG00000004923
pogona_vitticeps ENSPVIG00000001171
notechis_scutatus ENSNSUG00000010065
salvator_merianae ENSSMRG00000000527
sphenodon_punctatus ENSSPUG00000001191
notamacropus_eugenii ENSMEUG00000010114
phascolarctos_cinereus ENSPCIG00000011476
sarcophilus_harrisii ENSSHAG00000011994
monodelphis_domestica ENSMODG00000006316
myotis_lucifugus ENSMLUG00000000235
pteropus_vampyrus ENSPVAG00000010549
equus_caballus ENSECAG00000000550
equus_asinus_asinus ENSEASG00005015575
ursus_maritimus ENSUMAG00000014526
ursus_americanus ENSUAMG00000017369
ailuropoda_melanoleuca ENSAMEG00000000082
neovison_vison ENSNVIG00000006075
mustela_putorius_furo ENSMPUG00000009630
canis_lupus_dingo ENSCAFG00020018076
canis_lupus_familiaris ENSCAFG00000023746
vulpes_vulpes ENSVVUG00000029140
canis_lupus_dingo ENSCAFG00020015271
canis_lupus_familiaris ENSCAFG00000020257
ursus_americanus ENSUAMG00000009721
panthera_tigris_altaica ENSPTIG00000002537
panthera_pardus ENSPPRG00000008512
felis_catus ENSFCAG00000022126
bos_taurus ENSBTAG00000009308
bos_mutus ENSBMUG00000023974
bison_bison_bison ENSBBBG00000024768
ovis_aries ENSOARG00000006244
capra_hircus ENSCHIG00000020019
tursiops_truncatus ENSTTRG00000010071
vicugna_pacos ENSVPAG00000011763
sus_scrofa ENSSSCG00000009449
sorex_araneus ENSSARG00000003028
erinaceus_europaeus ENSEEUG00000002192
pan_troglodytes ENSPTRG00000005918
pan_paniscus ENSPPAG00000010477
homo_sapiens ENSG00000083544
gorilla_gorilla ENSGGOG00000025560
pongo_abelii ENSPPYG00000005401
nomascus_leucogenys ENSNLEG00000015920
colobus_angolensis_palliatus ENSCANG00000034303
piliocolobus_tephrosceles ENSPTEG00000028450
rhinopithecus_roxellana ENSRROG00000044516
rhinopithecus_bieti ENSRBIG00000031218
theropithecus_gelada ENSTGEG00000008088
papio_anubis ENSPANG00000019138
cercocebus_atys ENSCATG00000029498
macaca_mulatta ENSMMUG00000007169
macaca_fascicularis ENSMFAG00000007606
macaca_nemestrina ENSMNEG00000002038
chlorocebus_sabaeus ENSCSAG00000017640
cebus_capucinus_imitator ENSCCAG00000023831
callithrix_jacchus ENSCJAG00000003853
saimiri_boliviensis_boliviensis ENSSBOG00000022790
aotus_nancymaae ENSANAG00000030827
carlito_syrichta ENSTSYG00000002254
propithecus_coquereli ENSPCOG00000019937
prolemur_simus ENSPSMG00000018798
microcebus_murinus ENSMICG00000009982
otolemur_garnettii ENSOGAG00000005898
oryctolagus_cuniculus ENSOCUG00000014261
mandrillus_leucophaeus ENSMLEG00000039737
aotus_nancymaae ENSANAG00000027927
ochotona_princeps ENSOPRG00000007868
peromyscus_maniculatus_bairdii ENSPEMG00000004287
microtus_ochrogaster ENSMOCG00000012962
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011297
cricetulus_griseus_crigri_1.0 ENSCGRG00000015535
cricetulus_griseus_crigri-picr ENSCGRG00015002980
mesocricetus_auratus ENSMAUG00000012562
mus_spicilegus ENSMSIG00000013545
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022019
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020448
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019551
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030569
rattus_norvegicus ENSRNOG00000009034
meriones_unguiculatus ENSMUGG00000025384
nannospalax_galili ENSNGAG00000004523
jaculus_jaculus ENSJJAG00000023665
dipodomys_ordii ENSDORG00000008714
octodon_degus ENSODEG00000000576
octodon_degus ENSODEG00000014559
chinchilla_lanigera ENSCLAG00000002654
cavia_porcellus ENSCPOG00000010437
cavia_aperea ENSCAPG00000012313
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014119
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017738
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009668
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018707
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010966
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010652
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016050
fukomys_damarensis ENSFDAG00000011552
ictidomys_tridecemlineatus ENSSTOG00000028945
marmota_marmota_marmota ENSMMMG00000017167
choloepus_hoffmanni ENSCHOG00000012825
dasypus_novemcinctus ENSDNOG00000002011
loxodonta_africana ENSLAFG00000002705
procavia_capensis ENSPCAG00000014959
echinops_telfairi ENSETEG00000006369
spermophilus_dauricus ENSSDAG00000020514
spermophilus_dauricus ENSSDAG00000006258
spermophilus_dauricus ENSSDAG00000015386
spermophilus_dauricus ENSSDAG00000020253
spermophilus_dauricus ENSSDAG00000012727
spermophilus_dauricus ENSSDAG00000014707
spermophilus_dauricus ENSSDAG00000020557
spermophilus_dauricus ENSSDAG00000010565
spermophilus_dauricus ENSSDAG00000018252
spermophilus_dauricus ENSSDAG00000011777
spermophilus_dauricus ENSSDAG00000010043
spermophilus_dauricus ENSSDAG00000003842
spermophilus_dauricus ENSSDAG00000019262
spermophilus_dauricus ENSSDAG00000014778
spermophilus_dauricus ENSSDAG00000014075
spermophilus_dauricus ENSSDAG00000014277
spermophilus_dauricus ENSSDAG00000005498
spermophilus_dauricus ENSSDAG00000019465
spermophilus_dauricus ENSSDAG00000005062
spermophilus_dauricus ENSSDAG00000002489
spermophilus_dauricus ENSSDAG00000024083
spermophilus_dauricus ENSSDAG00000000852
spermophilus_dauricus ENSSDAG00000007722
spermophilus_dauricus ENSSDAG00000010484
spermophilus_dauricus ENSSDAG00000022532
spermophilus_dauricus ENSSDAG00000002230
spermophilus_dauricus ENSSDAG00000018881
spermophilus_dauricus ENSSDAG00000014205
spermophilus_dauricus ENSSDAG00000011905
spermophilus_dauricus ENSSDAG00000019982
spermophilus_dauricus ENSSDAG00000004385
spermophilus_dauricus ENSSDAG00000008273
spermophilus_dauricus ENSSDAG00000022211
spermophilus_dauricus ENSSDAG00000001013
spermophilus_dauricus ENSSDAG00000010633
spermophilus_dauricus ENSSDAG00000005424
spermophilus_dauricus ENSSDAG00000020455
spermophilus_dauricus ENSSDAG00000010496
spermophilus_dauricus ENSSDAG00000003128
spermophilus_dauricus ENSSDAG00000007190
spermophilus_dauricus ENSSDAG00000014145
spermophilus_dauricus ENSSDAG00000003189
spermophilus_dauricus ENSSDAG00000022199
spermophilus_dauricus ENSSDAG00000009000
spermophilus_dauricus ENSSDAG00000007302
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002754
gorilla_gorilla ENSGGOG00000039777
mandrillus_leucophaeus ENSMLEG00000036073
ornithorhynchus_anatinus ENSOANG00000030854
ornithorhynchus_anatinus ENSOANG00000011775
xenopus_tropicalis ENSXETG00000012815
latimeria_chalumnae ENSLACG00000001412
scleropages_formosus ENSSFOG00015005175
paramormyrops_kingsleyae ENSPKIG00000008894
astyanax_mexicanus ENSAMXG00000006847
pygocentrus_nattereri ENSPNAG00000026219
ictalurus_punctatus ENSIPUG00000012320
danio_rerio ENSDARG00000025421
tetraodon_nigroviridis ENSTNIG00000005230
takifugu_rubripes ENSTRUG00000017194
mola_mola ENSMMOG00000018156
labrus_bergylta ENSLBEG00000011777
mastacembelus_armatus ENSMAMG00000003998
monopterus_albus ENSMALG00000015327
anabas_testudineus ENSATEG00000014570
amphiprion_ocellaris ENSAOCG00000001410
amphiprion_percula ENSAPEG00000022810
acanthochromis_polyacanthus ENSAPOG00000016078
stegastes_partitus ENSSPAG00000005342
xiphophorus_maculatus ENSXMAG00000005103
xiphophorus_couchianus ENSXCOG00000001875
gambusia_affinis ENSGAFG00000012013
poecilia_formosa ENSPFOG00000012450
poecilia_latipinna ENSPLAG00000016397
poecilia_mexicana ENSPMEG00000019048
poecilia_reticulata ENSPREG00000021145
fundulus_heteroclitus ENSFHEG00000009513
cyprinodon_variegatus ENSCVAG00000015641
kryptolebias_marmoratus ENSKMAG00000021849
oryzias_latipes_asm223471v1 ENSORLG00020017271
oryzias_latipes_asm223467v1 ENSORLG00000004502
oryzias_latipes_asm223469v1 ENSORLG00015015519
oryzias_melastigma ENSOMEG00000015668
seriola_dumerili ENSSDUG00000004594
seriola_lalandi_dorsalis ENSSLDG00000002918
maylandia_zebra ENSMZEG00005004551
astatotilapia_calliptera ENSACLG00000022962
pundamilia_nyererei ENSPNYG00000001569
haplochromis_burtoni ENSHBUG00000007081
neolamprologus_brichardi ENSNBRG00000018789
oreochromis_niloticus ENSONIG00000003233
amphilophus_citrinellus ENSACIG00000023900
scophthalmus_maximus ENSSMAG00000011677
gasterosteus_aculeatus ENSGACG00000015264
cynoglossus_semilaevis ENSCSEG00000000670
poecilia_latipinna ENSPLAG00000018296
poecilia_mexicana ENSPMEG00000006814
cyprinodon_variegatus ENSCVAG00000007973
hippocampus_comes ENSHCOG00000002157
periophthalmus_magnuspinnatus ENSPMGG00000015263
gadus_morhua ENSGMOG00000005733
esox_lucius ENSELUG00000000994
lepisosteus_oculatus ENSLOCG00000004652
eptatretus_burgeri ENSEBUG00000011812
ciona_intestinalis ENSCING00000022501
drosophila_melanogaster FBgn0036450
caenorhabditis_elegans_strain_n2 WBGene00021748
