poecilia_latipinna ENSPLAG00000019122
poecilia_formosa ENSPFOG00000002522
poecilia_mexicana ENSPMEG00000018216
poecilia_reticulata ENSPREG00000006750
gambusia_affinis ENSGAFG00000019605
xiphophorus_maculatus ENSXMAG00000016438
cyprinodon_variegatus ENSCVAG00000019893
kryptolebias_marmoratus ENSKMAG00000000958
oryzias_melastigma ENSOMEG00000017763
oryzias_latipes_asm223469v1 ENSORLG00015002004
amphiprion_ocellaris ENSAOCG00000002870
amphiprion_percula ENSAPEG00000015788
acanthochromis_polyacanthus ENSAPOG00000020122
stegastes_partitus ENSSPAG00000022954
pundamilia_nyererei ENSPNYG00000009371
haplochromis_burtoni ENSHBUG00000016529
maylandia_zebra ENSMZEG00005026030
astatotilapia_calliptera ENSACLG00000021392
neolamprologus_brichardi ENSNBRG00000018091
oreochromis_niloticus ENSONIG00000005016
amphilophus_citrinellus ENSACIG00000023300
cynoglossus_semilaevis ENSCSEG00000007762
monopterus_albus ENSMALG00000010146
periophthalmus_magnuspinnatus ENSPMGG00000000238
seriola_dumerili ENSSDUG00000008598
seriola_lalandi_dorsalis ENSSLDG00000018721
scophthalmus_maximus ENSSMAG00000018068
anabas_testudineus ENSATEG00000001545
mastacembelus_armatus ENSMAMG00000008114
mola_mola ENSMMOG00000001032
takifugu_rubripes ENSTRUG00000001077
labrus_bergylta ENSLBEG00000003413
gasterosteus_aculeatus ENSGACG00000002003
xiphophorus_couchianus ENSXCOG00000013439
xiphophorus_couchianus ENSXCOG00000013437
fundulus_heteroclitus ENSFHEG00000007747
hippocampus_comes ENSHCOG00000008825
gadus_morhua ENSGMOG00000013822
tetraodon_nigroviridis ENSTNIG00000005948
esox_lucius ENSELUG00000022996
pygocentrus_nattereri ENSPNAG00000008914
astyanax_mexicanus ENSAMXG00000002823
ictalurus_punctatus ENSIPUG00000022224
danio_rerio ENSDARG00000060926
paramormyrops_kingsleyae ENSPKIG00000023127
scleropages_formosus ENSSFOG00015009175
lepisosteus_oculatus ENSLOCG00000001101
pogona_vitticeps ENSPVIG00000013850
anolis_carolinensis ENSACAG00000003508
notechis_scutatus ENSNSUG00000012141
salvator_merianae ENSSMRG00000015915
sphenodon_punctatus ENSSPUG00000000397
calidris_pygmaea ENSCPGG00000014420
calidris_pugnax ENSCPUG00000018214
lepidothrix_coronata ENSLCOG00000008961
manacus_vitellinus ENSMVIG00005011822
lonchura_striata_domestica ENSLSDG00000004676
taeniopygia_guttata ENSTGUG00000001337
serinus_canaria ENSSCAG00000005094
ficedula_albicollis ENSFALG00000000583
junco_hyemalis ENSJHYG00000007377
zonotrichia_albicollis ENSZALG00000012257
parus_major ENSPMJG00000006032
cyanistes_caeruleus ENSCCEG00000018698
anser_brachyrhynchus ENSABRG00000020271
anas_platyrhynchos_platyrhynchos ENSAPLG00000006334
coturnix_japonica ENSCJPG00005001411
meleagris_gallopavo ENSMGAG00000005030
gallus_gallus ENSGALG00000050943
numida_meleagris ENSNMEG00000007962
nothoprocta_perdicaria ENSNPEG00000009351
apteryx_owenii ENSAOWG00000002355
apteryx_haastii ENSAHAG00000008454
apteryx_rowi ENSARWG00000011014
dromaius_novaehollandiae ENSDNVG00000009897
crocodylus_porosus ENSCPRG00005002414
gopherus_agassizii ENSGAGG00000003876
chelonoidis_abingdonii ENSCABG00000018753
chrysemys_picta_bellii ENSCPBG00000010988
pelodiscus_sinensis ENSPSIG00000006015
phascolarctos_cinereus ENSPCIG00000022467
notamacropus_eugenii ENSMEUG00000012934
sarcophilus_harrisii ENSSHAG00000012574
monodelphis_domestica ENSMODG00000017373
procavia_capensis ENSPCAG00000007141
loxodonta_africana ENSLAFG00000013963
echinops_telfairi ENSETEG00000010978
pteropus_vampyrus ENSPVAG00000008392
myotis_lucifugus ENSMLUG00000000785
bos_taurus ENSBTAG00000008330
bos_mutus ENSBMUG00000009256
