taeniopygia_guttata ENSTGUG00000011371
ficedula_albicollis ENSFALG00000005178
pelodiscus_sinensis ENSPSIG00000007654
anolis_carolinensis ENSACAG00000007789
pan_paniscus ENSPPAG00000035857
pan_troglodytes ENSPTRG00000045536
homo_sapiens ENSG00000214237
gorilla_gorilla ENSGGOG00000016678
nomascus_leucogenys ENSNLEG00000031061
colobus_angolensis_palliatus ENSCANG00000041095
piliocolobus_tephrosceles ENSPTEG00000028550
rhinopithecus_bieti ENSRBIG00000037902
rhinopithecus_roxellana ENSRROG00000030164
theropithecus_gelada ENSTGEG00000006200
papio_anubis ENSPANG00000013294
cercocebus_atys ENSCATG00000024039
mandrillus_leucophaeus ENSMLEG00000024532
macaca_fascicularis ENSMFAG00000038421
macaca_nemestrina ENSMNEG00000033770
macaca_mulatta ENSMMUG00000048232
chlorocebus_sabaeus ENSCSAG00000011649
cebus_capucinus_imitator ENSCCAG00000001023
saimiri_boliviensis_boliviensis ENSSBOG00000021253
callithrix_jacchus ENSCJAG00000001151
aotus_nancymaae ENSANAG00000038244
carlito_syrichta ENSTSYG00000009966
microcebus_murinus ENSMICG00000049441
propithecus_coquereli ENSPCOG00000027685
prolemur_simus ENSPSMG00000004449
otolemur_garnettii ENSOGAG00000033668
mus_spicilegus ENSMSIG00000026911
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000101860
rattus_norvegicus ENSRNOG00000043502
meriones_unguiculatus ENSMUGG00000002091
cricetulus_griseus_crigri-picr ENSCGRG00015021187
peromyscus_maniculatus_bairdii ENSPEMG00000029919
castor_canadensis ENSCCNG00000019588
urocitellus_parryii ENSUPAG00010012633
spermophilus_dauricus ENSSDAG00000012414
marmota_marmota_marmota ENSMMMG00000014922
ochotona_princeps ENSOPRG00000018603
oryctolagus_cuniculus ENSOCUG00000029551
pteropus_vampyrus ENSPVAG00000013351
myotis_lucifugus ENSMLUG00000029913
neovison_vison ENSNVIG00000013344
mustela_putorius_furo ENSMPUG00000002623
ailuropoda_melanoleuca ENSAMEG00000008742
canis_lupus_familiaris ENSCAFG00000029264
panthera_tigris_altaica ENSPTIG00000011344
panthera_pardus ENSPPRG00000013388
felis_catus ENSFCAG00000042370
bison_bison_bison ENSBBBG00000023787
bos_mutus ENSBMUG00000021690
ovis_aries ENSOARG00000004317
tursiops_truncatus ENSTTRG00000007525
vicugna_pacos ENSVPAG00000006116
choloepus_hoffmanni ENSCHOG00000013668
dasypus_novemcinctus ENSDNOG00000025313
loxodonta_africana ENSLAFG00000023043
procavia_capensis ENSPCAG00000004470
notamacropus_eugenii ENSMEUG00000004794
phascolarctos_cinereus ENSPCIG00000037142
sarcophilus_harrisii ENSSHAG00000018249
xenopus_tropicalis ENSXETG00000030720
latimeria_chalumnae ENSLACG00000010734
mastacembelus_armatus ENSMAMG00000018459
anabas_testudineus ENSATEG00000019772
monopterus_albus ENSMALG00000018978
labrus_bergylta ENSLBEG00000014974
poecilia_formosa ENSPFOG00000008565
poecilia_reticulata ENSPREG00000021774
xiphophorus_couchianus ENSXCOG00000012652
xiphophorus_maculatus ENSXMAG00000014003
gambusia_affinis ENSGAFG00000016876
fundulus_heteroclitus ENSFHEG00000008832
oryzias_latipes_asm223469v1 ENSORLG00015012757
oryzias_melastigma ENSOMEG00000016751
maylandia_zebra ENSMZEG00005002294
astatotilapia_calliptera ENSACLG00000009673
haplochromis_burtoni ENSHBUG00000016616
pundamilia_nyererei ENSPNYG00000023193
neolamprologus_brichardi ENSNBRG00000008671
oreochromis_niloticus ENSONIG00000017254
amphilophus_citrinellus ENSACIG00000007132
amphiprion_percula ENSAPEG00000019213
amphiprion_ocellaris ENSAOCG00000006871
acanthochromis_polyacanthus ENSAPOG00000001250
esox_lucius ENSELUG00000006234
pygocentrus_nattereri ENSPNAG00000001628
astyanax_mexicanus ENSAMXG00000010100
ictalurus_punctatus ENSIPUG00000020838
danio_rerio ENSDARG00000112337
scleropages_formosus ENSSFOG00015017562
paramormyrops_kingsleyae ENSPKIG00000014705
lepisosteus_oculatus ENSLOCG00000001918
ciona_intestinalis ENSCING00000018301
