cyanistes_caeruleus ENSCCEG00000021171
parus_major ENSPMJG00000004610
lonchura_striata_domestica ENSLSDG00000010871
taeniopygia_guttata ENSTGUG00000001414
serinus_canaria ENSSCAG00000007154
junco_hyemalis ENSJHYG00000011367
zonotrichia_albicollis ENSZALG00000014909
ficedula_albicollis ENSFALG00000002416
melopsittacus_undulatus ENSMUNG00000004150
meleagris_gallopavo ENSMGAG00000005354
coturnix_japonica ENSCJPG00005009062
apteryx_rowi ENSARWG00000006259
apteryx_owenii ENSAOWG00000011283
apteryx_haastii ENSAHAG00000007843
dromaius_novaehollandiae ENSDNVG00000000275
anas_platyrhynchos_platyrhynchos ENSAPLG00000016240
anser_brachyrhynchus ENSABRG00000011087
numida_meleagris ENSNMEG00000009009
calidris_pygmaea ENSCPGG00000011828
calidris_pugnax ENSCPUG00000014696
nothoprocta_perdicaria ENSNPEG00000000657
xenopus_tropicalis ENSXETG00000007968
latimeria_chalumnae ENSLACG00000013243
