crocodylus_porosus ENSCPRG00005012239
chrysemys_picta_bellii ENSCPBG00000014564
pogona_vitticeps ENSPVIG00000003273
notechis_scutatus ENSNSUG00000009808
salvator_merianae ENSSMRG00000005596
sphenodon_punctatus ENSSPUG00000015976
oryctolagus_cuniculus ENSOCUG00000026547
ochotona_princeps ENSOPRG00000009377
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009866
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010737
fukomys_damarensis ENSFDAG00000012308
cavia_porcellus ENSCPOG00000034472
cavia_aperea ENSCAPG00000003091
chinchilla_lanigera ENSCLAG00000001757
octodon_degus ENSODEG00000010861
ictidomys_tridecemlineatus ENSSTOG00000012569
marmota_marmota_marmota ENSMMMG00000016147
urocitellus_parryii ENSUPAG00010021899
spermophilus_dauricus ENSSDAG00000009541
castor_canadensis ENSCCNG00000020636
dipodomys_ordii ENSDORG00000001271
peromyscus_maniculatus_bairdii ENSPEMG00000021606
microtus_ochrogaster ENSMOCG00000016755
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016623
cricetulus_griseus_crigri-picr ENSCGRG00015014282
mesocricetus_auratus ENSMAUG00000009209
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000054793
mus_spicilegus ENSMSIG00000023452
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030430
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029336
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021187
rattus_norvegicus ENSRNOG00000024243
nannospalax_galili ENSNGAG00000014069
saimiri_boliviensis_boliviensis ENSSBOG00000034015
callithrix_jacchus ENSCJAG00000013492
cebus_capucinus_imitator ENSCCAG00000024687
aotus_nancymaae ENSANAG00000005388
pan_troglodytes ENSPTRG00000011090
pan_paniscus ENSPPAG00000028380
homo_sapiens ENSG00000105767
gorilla_gorilla ENSGGOG00000009172
pongo_abelii ENSPPYG00000010071
nomascus_leucogenys ENSNLEG00000001664
colobus_angolensis_palliatus ENSCANG00000042551
piliocolobus_tephrosceles ENSPTEG00000032929
rhinopithecus_bieti ENSRBIG00000035972
rhinopithecus_roxellana ENSRROG00000035882
macaca_nemestrina ENSMNEG00000043063
macaca_mulatta ENSMMUG00000004615
theropithecus_gelada ENSTGEG00000017893
papio_anubis ENSPANG00000008093
mandrillus_leucophaeus ENSMLEG00000036671
macaca_fascicularis ENSMFAG00000030356
cercocebus_atys ENSCATG00000032619
chlorocebus_sabaeus ENSCSAG00000003382
carlito_syrichta ENSTSYG00000029995
