ficedula_albicollis ENSFALG00000013258
zonotrichia_albicollis ENSZALG00000003532
apteryx_owenii ENSAOWG00000002476
crocodylus_porosus ENSCPRG00005015556
pogona_vitticeps ENSPVIG00000025462
notechis_scutatus ENSNSUG00000007182
salvator_merianae ENSSMRG00000020937
phascolarctos_cinereus ENSPCIG00000011683
monodelphis_domestica ENSMODG00000003820
phascolarctos_cinereus ENSPCIG00000011685
notamacropus_eugenii ENSMEUG00000009319
monodelphis_domestica ENSMODG00000025162
capra_hircus ENSCHIG00000025845
bos_taurus ENSBTAG00000051567
sus_scrofa ENSSSCG00000034120
pteropus_vampyrus ENSPVAG00000000722
equus_asinus_asinus ENSEASG00005004703
equus_caballus ENSECAG00000018561
ursus_americanus ENSUAMG00000000638
ursus_maritimus ENSUMAG00000005604
ailuropoda_melanoleuca ENSAMEG00000007545
canis_lupus_dingo ENSCAFG00020013797
canis_lupus_familiaris ENSCAFG00000001680
mustela_putorius_furo ENSMPUG00000015971
neovison_vison ENSNVIG00000012369
felis_catus ENSFCAG00000038878
panthera_pardus ENSPPRG00000018675
peromyscus_maniculatus_bairdii ENSPEMG00000025789
microtus_ochrogaster ENSMOCG00000015669
cricetulus_griseus_crigri-picr ENSCGRG00015016970
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014610
mesocricetus_auratus ENSMAUG00000019635
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027121
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000073802
mus_spicilegus ENSMSIG00000016052
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026157
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028494
rattus_norvegicus ENSRNOG00000006735
meriones_unguiculatus ENSMUGG00000014853
jaculus_jaculus ENSJJAG00000021247
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011070
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002027
fukomys_damarensis ENSFDAG00000013373
chinchilla_lanigera ENSCLAG00000004253
cavia_porcellus ENSCPOG00000001268
octodon_degus ENSODEG00000003617
propithecus_coquereli ENSPCOG00000027261
prolemur_simus ENSPSMG00000011508
microcebus_murinus ENSMICG00000031833
carlito_syrichta ENSTSYG00000004442
pan_troglodytes ENSPTRG00000049465
pan_paniscus ENSPPAG00000037066
homo_sapiens ENSG00000147883
gorilla_gorilla ENSGGOG00000042843
pongo_abelii ENSPPYG00000019168
nomascus_leucogenys ENSNLEG00000035407
macaca_mulatta ENSMMUG00000001132
macaca_nemestrina ENSMNEG00000041291
cercocebus_atys ENSCATG00000036130
mandrillus_leucophaeus ENSMLEG00000037377
chlorocebus_sabaeus ENSCSAG00000009704
colobus_angolensis_palliatus ENSCANG00000042618
rhinopithecus_roxellana ENSRROG00000037735
callithrix_jacchus ENSCJAG00000039930
saimiri_boliviensis_boliviensis ENSSBOG00000028011
cebus_capucinus_imitator ENSCCAG00000023972
aotus_nancymaae ENSANAG00000018770
otolemur_garnettii ENSOGAG00000011002
urocitellus_parryii ENSUPAG00010017817
spermophilus_dauricus ENSSDAG00000015500
ictidomys_tridecemlineatus ENSSTOG00000008721
castor_canadensis ENSCCNG00000018912
tupaia_belangeri ENSTBEG00000007553
oryctolagus_cuniculus ENSOCUG00000012306
nannospalax_galili ENSNGAG00000012585
myotis_lucifugus ENSMLUG00000007025
loxodonta_africana ENSLAFG00000022894
procavia_capensis ENSPCAG00000014702
erinaceus_europaeus ENSEEUG00000011875
dasypus_novemcinctus ENSDNOG00000000334
dipodomys_ordii ENSDORG00000012076
echinops_telfairi ENSETEG00000003157
amphilophus_citrinellus ENSACIG00000020469
tetraodon_nigroviridis ENSTNIG00000018037
esox_lucius ENSELUG00000017284
pygocentrus_nattereri ENSPNAG00000011486
lepisosteus_oculatus ENSLOCG00000012588
