anolis_carolinensis ENSACAG00000012995
pogona_vitticeps ENSPVIG00000015626
salvator_merianae ENSSMRG00000020747
notechis_scutatus ENSNSUG00000007528
sphenodon_punctatus ENSSPUG00000002214
anser_brachyrhynchus ENSABRG00000012102
anas_platyrhynchos_platyrhynchos ENSAPLG00000008342
gallus_gallus ENSGALG00000015702
meleagris_gallopavo ENSMGAG00000008623
coturnix_japonica ENSCJPG00005003524
numida_meleagris ENSNMEG00000009531
lonchura_striata_domestica ENSLSDG00000009835
taeniopygia_guttata ENSTGUG00000001289
serinus_canaria ENSSCAG00000010857
zonotrichia_albicollis ENSZALG00000012116
parus_major ENSPMJG00000005085
cyanistes_caeruleus ENSCCEG00000014541
ficedula_albicollis ENSFALG00000000189
lepidothrix_coronata ENSLCOG00000014376
manacus_vitellinus ENSMVIG00005019747
calidris_pugnax ENSCPUG00000013722
calidris_pygmaea ENSCPGG00000016013
melopsittacus_undulatus ENSMUNG00000004333
apteryx_owenii ENSAOWG00000017866
apteryx_haastii ENSAHAG00000007208
apteryx_rowi ENSARWG00000009152
dromaius_novaehollandiae ENSDNVG00000017125
nothoprocta_perdicaria ENSNPEG00000011853
crocodylus_porosus ENSCPRG00005015132
chelonoidis_abingdonii ENSCABG00000020413
gopherus_agassizii ENSGAGG00000000205
chrysemys_picta_bellii ENSCPBG00000008329
pelodiscus_sinensis ENSPSIG00000017037
monodelphis_domestica ENSMODG00000004680
sarcophilus_harrisii ENSSHAG00000012784
phascolarctos_cinereus ENSPCIG00000014080
procavia_capensis ENSPCAG00000003220
procavia_capensis ENSPCAG00000005145
loxodonta_africana ENSLAFG00000014157
echinops_telfairi ENSETEG00000006136
mus_spicilegus ENSMSIG00000018928
mus_spicilegus ENSMSIG00000020159
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028378
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027021
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026056
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028394
rattus_norvegicus ENSRNOG00000015072
meriones_unguiculatus ENSMUGG00000000715
cricetulus_griseus_crigri-picr ENSCGRG00015027168
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003272
cricetulus_griseus_crigri_1.0 ENSCGRG00000002464
mesocricetus_auratus ENSMAUG00000013970
microtus_ochrogaster ENSMOCG00000015613
peromyscus_maniculatus_bairdii ENSPEMG00000010843
nannospalax_galili ENSNGAG00000008082
jaculus_jaculus ENSJJAG00000012380
castor_canadensis ENSCCNG00000001235
dipodomys_ordii ENSDORG00000002456
cavia_aperea ENSCAPG00000012741
cavia_porcellus ENSCPOG00000022115
chinchilla_lanigera ENSCLAG00000011342
octodon_degus ENSODEG00000000176
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014158
fukomys_damarensis ENSFDAG00000018884
ictidomys_tridecemlineatus ENSSTOG00000009483
urocitellus_parryii ENSUPAG00010009437
spermophilus_dauricus ENSSDAG00000014235
marmota_marmota_marmota ENSMMMG00000002389
oryctolagus_cuniculus ENSOCUG00000022867
oryctolagus_cuniculus ENSOCUG00000004879
ochotona_princeps ENSOPRG00000010563
cebus_capucinus_imitator ENSCCAG00000006744
saimiri_boliviensis_boliviensis ENSSBOG00000025242
callithrix_jacchus ENSCJAG00000017571
aotus_nancymaae ENSANAG00000023229
pan_paniscus ENSPPAG00000008355
pan_troglodytes ENSPTRG00000046148
homo_sapiens ENSG00000106853
gorilla_gorilla ENSGGOG00000013334
pan_paniscus ENSPPAG00000035921
pan_troglodytes ENSPTRG00000040691
pongo_abelii ENSPPYG00000019499
nomascus_leucogenys ENSNLEG00000017487
macaca_fascicularis ENSMFAG00000036279
macaca_nemestrina ENSMNEG00000041951
macaca_mulatta ENSMMUG00000031944
macaca_mulatta ENSMMUG00000012749
mandrillus_leucophaeus ENSMLEG00000036635
cercocebus_atys ENSCATG00000041369
papio_anubis ENSPANG00000025742
theropithecus_gelada ENSTGEG00000011422
macaca_nemestrina ENSMNEG00000041839
cercocebus_atys ENSCATG00000035952
chlorocebus_sabaeus ENSCSAG00000012179
rhinopithecus_roxellana ENSRROG00000043731
rhinopithecus_bieti ENSRBIG00000040590
rhinopithecus_roxellana ENSRROG00000037174
piliocolobus_tephrosceles ENSPTEG00000032048
colobus_angolensis_palliatus ENSCANG00000043177
pan_paniscus ENSPPAG00000032648
pan_troglodytes ENSPTRG00000052481
gorilla_gorilla ENSGGOG00000025887
nomascus_leucogenys ENSNLEG00000030334
rhinopithecus_roxellana ENSRROG00000014400
rhinopithecus_bieti ENSRBIG00000036800
colobus_angolensis_palliatus ENSCANG00000033376
mandrillus_leucophaeus ENSMLEG00000035318
carlito_syrichta ENSTSYG00000029124
prolemur_simus ENSPSMG00000009107
propithecus_coquereli ENSPCOG00000021650
microcebus_murinus ENSMICG00000005784
otolemur_garnettii ENSOGAG00000011144
tupaia_belangeri ENSTBEG00000012100
ursus_maritimus ENSUMAG00000019199
ursus_americanus ENSUAMG00000023224
ailuropoda_melanoleuca ENSAMEG00000017964
mustela_putorius_furo ENSMPUG00000007639
canis_lupus_familiaris ENSCAFG00000003000
canis_lupus_dingo ENSCAFG00020022558
vulpes_vulpes ENSVVUG00000001596
panthera_tigris_altaica ENSPTIG00000019602
panthera_pardus ENSPPRG00000015466
felis_catus ENSFCAG00000004339
sorex_araneus ENSSARG00000005818
myotis_lucifugus ENSMLUG00000025024
myotis_lucifugus ENSMLUG00000009566
pteropus_vampyrus ENSPVAG00000011131
ovis_aries ENSOARG00000006659
capra_hircus ENSCHIG00000026536
bos_taurus ENSBTAG00000011027
bos_mutus ENSBMUG00000006796
bison_bison_bison ENSBBBG00000005858
tursiops_truncatus ENSTTRG00000014330
sus_scrofa ENSSSCG00000021386
vicugna_pacos ENSVPAG00000007058
equus_asinus_asinus ENSEASG00005000877
equus_caballus ENSECAG00000004698
dasypus_novemcinctus ENSDNOG00000010099
choloepus_hoffmanni ENSCHOG00000005116
ornithorhynchus_anatinus ENSOANG00000005437
xenopus_tropicalis ENSXETG00000014730
xenopus_tropicalis ENSXETG00000030452
xenopus_tropicalis ENSXETG00000024683
xenopus_tropicalis ENSXETG00000031127
ictalurus_punctatus ENSIPUG00000009465
astyanax_mexicanus ENSAMXG00000032623
