poecilia_latipinna ENSPLAG00000019557
poecilia_mexicana ENSPMEG00000020072
mastacembelus_armatus ENSMAMG00000010396
acanthochromis_polyacanthus ENSAPOG00000003784
apteryx_haastii ENSAHAG00000014555
dromaius_novaehollandiae ENSDNVG00000015027
melopsittacus_undulatus ENSMUNG00000013943
chrysemys_picta_bellii ENSCPBG00000020118
chelonoidis_abingdonii ENSCABG00000008342
notechis_scutatus ENSNSUG00000000740
pogona_vitticeps ENSPVIG00000017540
vulpes_vulpes ENSVVUG00000020994
bos_taurus ENSBTAG00000050110
equus_asinus_asinus ENSEASG00005009808
theropithecus_gelada ENSTGEG00000005871
meriones_unguiculatus ENSMUGG00000004574
