cricetulus_griseus_crigri_1.0 ENSCGRG00000017600
cricetulus_griseus_crigri-picr ENSCGRG00015019499
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002804
microtus_ochrogaster ENSMOCG00000012517
mus_spicilegus ENSMSIG00000003999
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034608
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000042525
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033438
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031977
rattus_norvegicus ENSRNOG00000037611
rattus_norvegicus ENSRNOG00000037159
meriones_unguiculatus ENSMUGG00000007378
