gambusia_affinis ENSGAFG00000004217
xiphophorus_maculatus ENSXMAG00000022154
amphiprion_percula ENSAPEG00000022583
mola_mola ENSMMOG00000019473
labrus_bergylta ENSLBEG00000014624
seriola_lalandi_dorsalis ENSSLDG00000019366
astatotilapia_calliptera ENSACLG00000007238
maylandia_zebra ENSMZEG00005007379
neolamprologus_brichardi ENSNBRG00000015014
poecilia_reticulata ENSPREG00000020937
xiphophorus_couchianus ENSXCOG00000009109
xiphophorus_maculatus ENSXMAG00000021865
seriola_lalandi_dorsalis ENSSLDG00000009668
seriola_dumerili ENSSDUG00000007750
scleropages_formosus ENSSFOG00015001220
