gorilla_gorilla ENSGGOG00000039397
pan_troglodytes ENSPTRG00000042707
homo_sapiens ENSG00000159516
nomascus_leucogenys ENSNLEG00000031916
macaca_mulatta ENSMMUG00000031660
macaca_fascicularis ENSMFAG00000010209
macaca_nemestrina ENSMNEG00000019148
mandrillus_leucophaeus ENSMLEG00000027753
chlorocebus_sabaeus ENSCSAG00000000049
papio_anubis ENSPANG00000018225
theropithecus_gelada ENSTGEG00000018460
cercocebus_atys ENSCATG00000018259
rhinopithecus_roxellana ENSRROG00000003366
rhinopithecus_bieti ENSRBIG00000017579
piliocolobus_tephrosceles ENSPTEG00000014608
carlito_syrichta ENSTSYG00000027672
prolemur_simus ENSPSMG00000002395
panthera_pardus ENSPPRG00000012123
