apteryx_rowi ENSARWG00000011827
apteryx_owenii ENSAOWG00000008328
apteryx_haastii ENSAHAG00000014254
dromaius_novaehollandiae ENSDNVG00000012043
nothoprocta_perdicaria ENSNPEG00000012673
anser_brachyrhynchus ENSABRG00000019648
anas_platyrhynchos_platyrhynchos ENSAPLG00000004404
gallus_gallus ENSGALG00000002722
meleagris_gallopavo ENSMGAG00000002999
numida_meleagris ENSNMEG00000010661
lepidothrix_coronata ENSLCOG00000001243
manacus_vitellinus ENSMVIG00005014708
lonchura_striata_domestica ENSLSDG00000017757
taeniopygia_guttata ENSTGUG00000005137
serinus_canaria ENSSCAG00000013447
junco_hyemalis ENSJHYG00000006492
zonotrichia_albicollis ENSZALG00000017782
parus_major ENSPMJG00000005145
cyanistes_caeruleus ENSCCEG00000024340
ficedula_albicollis ENSFALG00000009004
calidris_pygmaea ENSCPGG00000002665
calidris_pugnax ENSCPUG00000012132
crocodylus_porosus ENSCPRG00005015451
gopherus_agassizii ENSGAGG00000008585
chelonoidis_abingdonii ENSCABG00000018626
chrysemys_picta_bellii ENSCPBG00000011003
pelodiscus_sinensis ENSPSIG00000016862
anolis_carolinensis ENSACAG00000008842
pogona_vitticeps ENSPVIG00000024280
notechis_scutatus ENSNSUG00000005457
salvator_merianae ENSSMRG00000008204
sphenodon_punctatus ENSSPUG00000001342
phascolarctos_cinereus ENSPCIG00000021592
notamacropus_eugenii ENSMEUG00000005274
monodelphis_domestica ENSMODG00000012944
sarcophilus_harrisii ENSSHAG00000017547
castor_canadensis ENSCCNG00000017864
dipodomys_ordii ENSDORG00000007508
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033821
mus_spicilegus ENSMSIG00000024095
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000032591
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032676
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015544
rattus_norvegicus ENSRNOG00000019680
meriones_unguiculatus ENSMUGG00000017722
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013799
cricetulus_griseus_crigri_1.0 ENSCGRG00000007351
cricetulus_griseus_crigri-picr ENSCGRG00015012750
mesocricetus_auratus ENSMAUG00000020004
microtus_ochrogaster ENSMOCG00000006858
peromyscus_maniculatus_bairdii ENSPEMG00000010324
nannospalax_galili ENSNGAG00000012975
jaculus_jaculus ENSJJAG00000023123
urocitellus_parryii ENSUPAG00010022707
ictidomys_tridecemlineatus ENSSTOG00000013686
spermophilus_dauricus ENSSDAG00000014476
marmota_marmota_marmota ENSMMMG00000004828
chinchilla_lanigera ENSCLAG00000010949
octodon_degus ENSODEG00000018247
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014647
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018804
fukomys_damarensis ENSFDAG00000002872
cavia_aperea ENSCAPG00000014424
cavia_porcellus ENSCPOG00000011422
oryctolagus_cuniculus ENSOCUG00000004997
ochotona_princeps ENSOPRG00000012929
pan_troglodytes ENSPTRG00000014929
homo_sapiens ENSG00000173531
gorilla_gorilla ENSGGOG00000010588
pongo_abelii ENSPPYG00000013867
nomascus_leucogenys ENSNLEG00000006866
mandrillus_leucophaeus ENSMLEG00000030117
cercocebus_atys ENSCATG00000029698
papio_anubis ENSPANG00000007509
theropithecus_gelada ENSTGEG00000005879
macaca_nemestrina ENSMNEG00000040779
macaca_fascicularis ENSMFAG00000003952
chlorocebus_sabaeus ENSCSAG00000014934
piliocolobus_tephrosceles ENSPTEG00000005013
colobus_angolensis_palliatus ENSCANG00000039354
rhinopithecus_bieti ENSRBIG00000042205
rhinopithecus_roxellana ENSRROG00000027621
cebus_capucinus_imitator ENSCCAG00000029861
saimiri_boliviensis_boliviensis ENSSBOG00000033724
callithrix_jacchus ENSCJAG00000004098
aotus_nancymaae ENSANAG00000026612
carlito_syrichta ENSTSYG00000002855
propithecus_coquereli ENSPCOG00000005348
prolemur_simus ENSPSMG00000013406
microcebus_murinus ENSMICG00000041447
otolemur_garnettii ENSOGAG00000011794
equus_asinus_asinus ENSEASG00005011602
equus_caballus ENSECAG00000021998
pteropus_vampyrus ENSPVAG00000008752
bison_bison_bison ENSBBBG00000014000
bos_mutus ENSBMUG00000019391
ovis_aries ENSOARG00000013151
bos_taurus ENSBTAG00000011585
capra_hircus ENSCHIG00000014887
tursiops_truncatus ENSTTRG00000002747
sus_scrofa ENSSSCG00000011386
ailuropoda_melanoleuca ENSAMEG00000012393
ursus_maritimus ENSUMAG00000022561
mustela_putorius_furo ENSMPUG00000013611
neovison_vison ENSNVIG00000023761
canis_lupus_dingo ENSCAFG00020021150
canis_lupus_familiaris ENSCAFG00000011411
vulpes_vulpes ENSVVUG00000028970
panthera_tigris_altaica ENSPTIG00000019141
panthera_pardus ENSPPRG00000016583
felis_catus ENSFCAG00000025772
sorex_araneus ENSSARG00000011013
erinaceus_europaeus ENSEEUG00000015482
myotis_lucifugus ENSMLUG00000022991
choloepus_hoffmanni ENSCHOG00000001527
dasypus_novemcinctus ENSDNOG00000003406
loxodonta_africana ENSLAFG00000003505
procavia_capensis ENSPCAG00000011126
echinops_telfairi ENSETEG00000016233
ornithorhynchus_anatinus ENSOANG00000007143
latimeria_chalumnae ENSLACG00000012634
xenopus_tropicalis ENSXETG00000005949
scleropages_formosus ENSSFOG00015018712
paramormyrops_kingsleyae ENSPKIG00000001560
gasterosteus_aculeatus ENSGACG00000001303
labrus_bergylta ENSLBEG00000022940
tetraodon_nigroviridis ENSTNIG00000006549
tetraodon_nigroviridis ENSTNIG00000014761
takifugu_rubripes ENSTRUG00000012252
mola_mola ENSMMOG00000011017
seriola_dumerili ENSSDUG00000000134
seriola_lalandi_dorsalis ENSSLDG00000008841
scophthalmus_maximus ENSSMAG00000016261
anabas_testudineus ENSATEG00000024851
monopterus_albus ENSMALG00000001949
mastacembelus_armatus ENSMAMG00000016554
fundulus_heteroclitus ENSFHEG00000019877
cyprinodon_variegatus ENSCVAG00000006219
xiphophorus_maculatus ENSXMAG00000016740
xiphophorus_couchianus ENSXCOG00000013438
gambusia_affinis ENSGAFG00000011150
poecilia_mexicana ENSPMEG00000018235
poecilia_latipinna ENSPLAG00000020901
poecilia_formosa ENSPFOG00000015941
poecilia_reticulata ENSPREG00000004475
kryptolebias_marmoratus ENSKMAG00000005822
oryzias_latipes_asm223471v1 ENSORLG00020021114
oryzias_latipes_asm223469v1 ENSORLG00015017187
oryzias_latipes_asm223467v1 ENSORLG00000003636
oryzias_melastigma ENSOMEG00000001840
astatotilapia_calliptera ENSACLG00000014154
maylandia_zebra ENSMZEG00005014913
haplochromis_burtoni ENSHBUG00000002450
pundamilia_nyererei ENSPNYG00000016814
neolamprologus_brichardi ENSNBRG00000019236
oreochromis_niloticus ENSONIG00000003998
amphilophus_citrinellus ENSACIG00000009239
amphiprion_ocellaris ENSAOCG00000010282
amphiprion_percula ENSAPEG00000002719
acanthochromis_polyacanthus ENSAPOG00000024345
stegastes_partitus ENSSPAG00000006083
hippocampus_comes ENSHCOG00000002166
cynoglossus_semilaevis ENSCSEG00000021739
periophthalmus_magnuspinnatus ENSPMGG00000007797
gadus_morhua ENSGMOG00000016142
esox_lucius ENSELUG00000008934
astyanax_mexicanus ENSAMXG00000007792
pygocentrus_nattereri ENSPNAG00000012212
ictalurus_punctatus ENSIPUG00000000552
danio_rerio ENSDARG00000103308
lepisosteus_oculatus ENSLOCG00000014267
junco_hyemalis ENSJHYG00000003405
takifugu_rubripes ENSTRUG00000020739
