spermophilus_dauricus ENSSDAG00000011049
marmota_marmota_marmota ENSMMMG00000006715
mus_spicilegus ENSMSIG00000011252
mus_spicilegus ENSMSIG00000013369
mus_spicilegus ENSMSIG00000015939
mus_spicilegus ENSMSIG00000010529
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029646
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000045411
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0012877
rattus_norvegicus ENSRNOG00000019132
meriones_unguiculatus ENSMUGG00000008272
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005228
cricetulus_griseus_crigri_1.0 ENSCGRG00000015838
mesocricetus_auratus ENSMAUG00000015754
microtus_ochrogaster ENSMOCG00000000511
peromyscus_maniculatus_bairdii ENSPEMG00000027581
vulpes_vulpes ENSVVUG00000012179
canis_lupus_familiaris ENSCAFG00000002916
mustela_putorius_furo ENSMPUG00000001605
ursus_maritimus ENSUMAG00000010070
ailuropoda_melanoleuca ENSAMEG00000019440
panthera_tigris_altaica ENSPTIG00000005631
bos_taurus ENSBTAG00000011079
bos_mutus ENSBMUG00000019640
bison_bison_bison ENSBBBG00000009539
capra_hircus ENSCHIG00000006752
