tursiops_truncatus ENSTTRG00000016441
vicugna_pacos ENSVPAG00000003460
sus_scrofa ENSSSCG00000007853
ovis_aries ENSOARG00000013592
capra_hircus ENSCHIG00000019604
bos_taurus ENSBTAG00000018559
bos_mutus ENSBMUG00000003359
bison_bison_bison ENSBBBG00000021323
canis_lupus_dingo ENSCAFG00020021843
canis_lupus_familiaris ENSCAFG00000031060
vulpes_vulpes ENSVVUG00000023263
dipodomys_ordii ENSDORG00000025180
castor_canadensis ENSCCNG00000024409
ictidomys_tridecemlineatus ENSSTOG00000007098
spermophilus_dauricus ENSSDAG00000023302
urocitellus_parryii ENSUPAG00010008613
octodon_degus ENSODEG00000018819
octodon_degus ENSODEG00000004300
octodon_degus ENSODEG00000012660
chinchilla_lanigera ENSCLAG00000016301
cavia_porcellus ENSCPOG00000038684
cavia_aperea ENSCAPG00000012762
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010734
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011253
fukomys_damarensis ENSFDAG00000011100
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030922
mus_spicilegus ENSMSIG00000010425
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031501
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030387
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013598
rattus_norvegicus ENSRNOG00000024530
meriones_unguiculatus ENSMUGG00000007287
peromyscus_maniculatus_bairdii ENSPEMG00000028843
peromyscus_maniculatus_bairdii ENSPEMG00000025926
microtus_ochrogaster ENSMOCG00000019357
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020492
cricetulus_griseus_crigri_1.0 ENSCGRG00000004367
cricetulus_griseus_crigri-picr ENSCGRG00015013347
mesocricetus_auratus ENSMAUG00000013047
nannospalax_galili ENSNGAG00000024226
jaculus_jaculus ENSJJAG00000003698
ochotona_princeps ENSOPRG00000011429
oryctolagus_cuniculus ENSOCUG00000001191
tupaia_belangeri ENSTBEG00000013661
pan_paniscus ENSPPAG00000031659
pan_troglodytes ENSPTRG00000007853
homo_sapiens ENSG00000102897
pongo_abelii ENSPPYG00000007165
nomascus_leucogenys ENSNLEG00000012321
rhinopithecus_bieti ENSRBIG00000028963
rhinopithecus_roxellana ENSRROG00000042391
piliocolobus_tephrosceles ENSPTEG00000013046
chlorocebus_sabaeus ENSCSAG00000007506
macaca_nemestrina ENSMNEG00000034982
macaca_fascicularis ENSMFAG00000003508
macaca_mulatta ENSMMUG00000016752
theropithecus_gelada ENSTGEG00000021372
papio_anubis ENSPANG00000015138
cercocebus_atys ENSCATG00000012152
mandrillus_leucophaeus ENSMLEG00000037997
colobus_angolensis_palliatus ENSCANG00000039528
cebus_capucinus_imitator ENSCCAG00000037491
cebus_capucinus_imitator ENSCCAG00000019856
saimiri_boliviensis_boliviensis ENSSBOG00000034352
callithrix_jacchus ENSCJAG00000009350
aotus_nancymaae ENSANAG00000019455
carlito_syrichta ENSTSYG00000030099
propithecus_coquereli ENSPCOG00000023377
prolemur_simus ENSPSMG00000017985
microcebus_murinus ENSMICG00000036922
otolemur_garnettii ENSOGAG00000011139
gorilla_gorilla ENSGGOG00000044012
marmota_marmota_marmota ENSMMMG00000022888
procavia_capensis ENSPCAG00000006389
ursus_maritimus ENSUMAG00000010443
ursus_americanus ENSUAMG00000017758
ailuropoda_melanoleuca ENSAMEG00000006162
mustela_putorius_furo ENSMPUG00000013631
neovison_vison ENSNVIG00000023709
panthera_pardus ENSPPRG00000024579
panthera_tigris_altaica ENSPTIG00000011463
felis_catus ENSFCAG00000034616
equus_caballus ENSECAG00000018001
equus_asinus_asinus ENSEASG00005007251
myotis_lucifugus ENSMLUG00000005058
pteropus_vampyrus ENSPVAG00000003298
loxodonta_africana ENSLAFG00000031222
dasypus_novemcinctus ENSDNOG00000038390
sorex_araneus ENSSARG00000013443
echinops_telfairi ENSETEG00000005024
phascolarctos_cinereus ENSPCIG00000024285
phascolarctos_cinereus ENSPCIG00000004330
phascolarctos_cinereus ENSPCIG00000029236
notamacropus_eugenii ENSMEUG00000013825
sarcophilus_harrisii ENSSHAG00000006127
monodelphis_domestica ENSMODG00000007076
ornithorhynchus_anatinus ENSOANG00000014289
dromaius_novaehollandiae ENSDNVG00000007921
nothoprocta_perdicaria ENSNPEG00000004910
apteryx_rowi ENSARWG00000000657
apteryx_owenii ENSAOWG00000001562
apteryx_haastii ENSAHAG00000013494
taeniopygia_guttata ENSTGUG00000009197
lonchura_striata_domestica ENSLSDG00000004573
zonotrichia_albicollis ENSZALG00000000932
junco_hyemalis ENSJHYG00000006666
serinus_canaria ENSSCAG00000010733
parus_major ENSPMJG00000017146
cyanistes_caeruleus ENSCCEG00000021442
ficedula_albicollis ENSFALG00000014023
manacus_vitellinus ENSMVIG00005003807
lepidothrix_coronata ENSLCOG00000002365
calidris_pugnax ENSCPUG00000016713
calidris_pygmaea ENSCPGG00000015935
melopsittacus_undulatus ENSMUNG00000015290
anas_platyrhynchos_platyrhynchos ENSAPLG00000015998
anser_brachyrhynchus ENSABRG00000011199
meleagris_gallopavo ENSMGAG00000010396
coturnix_japonica ENSCJPG00005018776
gallus_gallus ENSGALG00000002273
numida_meleagris ENSNMEG00000022278
crocodylus_porosus ENSCPRG00005006315
chelonoidis_abingdonii ENSCABG00000001390
gopherus_agassizii ENSGAGG00000008245
chrysemys_picta_bellii ENSCPBG00000019068
pelodiscus_sinensis ENSPSIG00000012041
pogona_vitticeps ENSPVIG00000008631
anolis_carolinensis ENSACAG00000009813
