canis_lupus_familiaris ENSCAFG00000030778
canis_lupus_dingo ENSCAFG00020009403
vulpes_vulpes ENSVVUG00000015721
neovison_vison ENSNVIG00000007413
mustela_putorius_furo ENSMPUG00000003107
panthera_pardus ENSPPRG00000012298
panthera_tigris_altaica ENSPTIG00000006854
felis_catus ENSFCAG00000036698
ovis_aries ENSOARG00000000259
capra_hircus ENSCHIG00000011620
bos_mutus ENSBMUG00000024927
bos_taurus ENSBTAG00000046138
bison_bison_bison ENSBBBG00000013938
equus_caballus ENSECAG00000037587
sus_scrofa ENSSSCG00000006599
vicugna_pacos ENSVPAG00000004940
pteropus_vampyrus ENSPVAG00000013286
sorex_araneus ENSSARG00000003460
erinaceus_europaeus ENSEEUG00000015760
chinchilla_lanigera ENSCLAG00000002804
cavia_porcellus ENSCPOG00000035893
octodon_degus ENSODEG00000009558
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008000
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004547
fukomys_damarensis ENSFDAG00000003451
spermophilus_dauricus ENSSDAG00000002239
marmota_marmota_marmota ENSMMMG00000018221
urocitellus_parryii ENSUPAG00010016653
ictidomys_tridecemlineatus ENSSTOG00000033510
mus_spicilegus ENSMSIG00000012331
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000090314
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026233
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025287
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026732
rattus_norvegicus ENSRNOG00000023511
mesocricetus_auratus ENSMAUG00000021982
cricetulus_griseus_crigri_1.0 ENSCGRG00000009222
microtus_ochrogaster ENSMOCG00000000973
nannospalax_galili ENSNGAG00000019220
jaculus_jaculus ENSJJAG00000016312
castor_canadensis ENSCCNG00000006413
oryctolagus_cuniculus ENSOCUG00000015200
ochotona_princeps ENSOPRG00000004367
prolemur_simus ENSPSMG00000017157
propithecus_coquereli ENSPCOG00000023636
microcebus_murinus ENSMICG00000016840
otolemur_garnettii ENSOGAG00000011135
pan_troglodytes ENSPTRG00000023085
pan_paniscus ENSPPAG00000012784
homo_sapiens ENSG00000198854
gorilla_gorilla ENSGGOG00000002991
pongo_abelii ENSPPYG00000000833
nomascus_leucogenys ENSNLEG00000018283
colobus_angolensis_palliatus ENSCANG00000006700
piliocolobus_tephrosceles ENSPTEG00000026935
rhinopithecus_roxellana ENSRROG00000034194
macaca_nemestrina ENSMNEG00000033043
macaca_mulatta ENSMMUG00000001966
macaca_fascicularis ENSMFAG00000043702
chlorocebus_sabaeus ENSCSAG00000001839
cercocebus_atys ENSCATG00000044855
mandrillus_leucophaeus ENSMLEG00000036256
theropithecus_gelada ENSTGEG00000018038
papio_anubis ENSPANG00000008317
cebus_capucinus_imitator ENSCCAG00000033093
saimiri_boliviensis_boliviensis ENSSBOG00000032379
aotus_nancymaae ENSANAG00000030607
tupaia_belangeri ENSTBEG00000005455
procavia_capensis ENSPCAG00000012852
choloepus_hoffmanni ENSCHOG00000008015
phascolarctos_cinereus ENSPCIG00000017726
sarcophilus_harrisii ENSSHAG00000001840
