propithecus_coquereli ENSPCOG00000016744
microcebus_murinus ENSMICG00000042526
cercocebus_atys ENSCATG00000044647
theropithecus_gelada ENSTGEG00000004343
papio_anubis ENSPANG00000031055
mandrillus_leucophaeus ENSMLEG00000022981
macaca_fascicularis ENSMFAG00000045470
macaca_mulatta ENSMMUG00000037468
macaca_nemestrina ENSMNEG00000035664
chlorocebus_sabaeus ENSCSAG00000002007
colobus_angolensis_palliatus ENSCANG00000027765
piliocolobus_tephrosceles ENSPTEG00000024566
rhinopithecus_bieti ENSRBIG00000036105
rhinopithecus_roxellana ENSRROG00000034275
pan_troglodytes ENSPTRG00000023428
pan_paniscus ENSPPAG00000027177
homo_sapiens ENSG00000198093
gorilla_gorilla ENSGGOG00000000658
nomascus_leucogenys ENSNLEG00000005970
fukomys_damarensis ENSFDAG00000008649
equus_caballus ENSECAG00000008436
sus_scrofa ENSSSCG00000038927
ursus_americanus ENSUAMG00000009188
ursus_maritimus ENSUMAG00000010358
neovison_vison ENSNVIG00000023166
panthera_tigris_altaica ENSPTIG00000014454
panthera_pardus ENSPPRG00000003900
felis_catus ENSFCAG00000042109
tursiops_truncatus ENSTTRG00000007212
vicugna_pacos ENSVPAG00000001057
choloepus_hoffmanni ENSCHOG00000010932
xenopus_tropicalis ENSXETG00000001042
