cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013012
cricetulus_griseus_crigri_1.0 ENSCGRG00000018873
cricetulus_griseus_crigri-picr ENSCGRG00015026063
peromyscus_maniculatus_bairdii ENSPEMG00000004769
mus_spicilegus ENSMSIG00000003309
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000074649
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024538
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025460
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025983
meriones_unguiculatus ENSMUGG00000007937
marmota_marmota_marmota ENSMMMG00000023291
