oryctolagus_cuniculus ENSOCUG00000004231
periophthalmus_magnuspinnatus ENSPMGG00000010461
mola_mola ENSMMOG00000000057
gadus_morhua ENSGMOG00000002062
ictalurus_punctatus ENSIPUG00000021461
scleropages_formosus ENSSFOG00015000056
oryzias_latipes_asm223469v1 ENSORLG00015017468
xiphophorus_couchianus ENSXCOG00000011935
periophthalmus_magnuspinnatus ENSPMGG00000015211
cynoglossus_semilaevis ENSCSEG00000017195
gadus_morhua ENSGMOG00000015765
esox_lucius ENSELUG00000010195
paramormyrops_kingsleyae ENSPKIG00000022129
notamacropus_eugenii ENSMEUG00000000125
petromyzon_marinus ENSPMAG00000005517
