amphiprion_percula ENSAPEG00000020505
amphiprion_ocellaris ENSAOCG00000023318
acanthochromis_polyacanthus ENSAPOG00000007264
stegastes_partitus ENSSPAG00000021090
pundamilia_nyererei ENSPNYG00000002817
neolamprologus_brichardi ENSNBRG00000016463
maylandia_zebra ENSMZEG00005024149
astatotilapia_calliptera ENSACLG00000004785
amphilophus_citrinellus ENSACIG00000013180
poecilia_latipinna ENSPLAG00000010936
poecilia_latipinna ENSPLAG00000005615
poecilia_mexicana ENSPMEG00000017192
poecilia_reticulata ENSPREG00000000936
xiphophorus_maculatus ENSXMAG00000026803
xiphophorus_couchianus ENSXCOG00000019462
gambusia_affinis ENSGAFG00000021010
fundulus_heteroclitus ENSFHEG00000004467
cyprinodon_variegatus ENSCVAG00000005334
mola_mola ENSMMOG00000020552
monopterus_albus ENSMALG00000013712
labrus_bergylta ENSLBEG00000004350
tetraodon_nigroviridis ENSTNIG00000004595
anabas_testudineus ENSATEG00000017722
oryzias_latipes_asm223469v1 ENSORLG00015010332
oryzias_latipes_asm223467v1 ENSORLG00000021878
scophthalmus_maximus ENSSMAG00000010083
