canis_lupus_dingo ENSCAFG00020014840
canis_lupus_familiaris ENSCAFG00000031873
vulpes_vulpes ENSVVUG00000002404
neovison_vison ENSNVIG00000013197
mustela_putorius_furo ENSMPUG00000008291
ursus_americanus ENSUAMG00000004279
ursus_maritimus ENSUMAG00000003907
ailuropoda_melanoleuca ENSAMEG00000007443
panthera_pardus ENSPPRG00000002479
panthera_tigris_altaica ENSPTIG00000019949
felis_catus ENSFCAG00000038462
equus_asinus_asinus ENSEASG00005020203
equus_caballus ENSECAG00000016668
pteropus_vampyrus ENSPVAG00000013970
sorex_araneus ENSSARG00000001533
myotis_lucifugus ENSMLUG00000001138
erinaceus_europaeus ENSEEUG00000004561
tursiops_truncatus ENSTTRG00000001994
sus_scrofa ENSSSCG00000039930
capra_hircus ENSCHIG00000026648
ovis_aries ENSOARG00000003865
bos_mutus ENSBMUG00000021902
bos_taurus ENSBTAG00000038534
bison_bison_bison ENSBBBG00000011849
pan_paniscus ENSPPAG00000039230
pan_troglodytes ENSPTRG00000011595
homo_sapiens ENSG00000083838
gorilla_gorilla ENSGGOG00000004322
pongo_abelii ENSPPYG00000010507
nomascus_leucogenys ENSNLEG00000011162
piliocolobus_tephrosceles ENSPTEG00000006497
colobus_angolensis_palliatus ENSCANG00000042794
rhinopithecus_roxellana ENSRROG00000043691
rhinopithecus_bieti ENSRBIG00000032582
cercocebus_atys ENSCATG00000008775
mandrillus_leucophaeus ENSMLEG00000028972
macaca_fascicularis ENSMFAG00000020536
macaca_mulatta ENSMMUG00000014693
macaca_nemestrina ENSMNEG00000041010
theropithecus_gelada ENSTGEG00000016375
papio_anubis ENSPANG00000004007
chlorocebus_sabaeus ENSCSAG00000001593
saimiri_boliviensis_boliviensis ENSSBOG00000020671
cebus_capucinus_imitator ENSCCAG00000006027
callithrix_jacchus ENSCJAG00000000273
aotus_nancymaae ENSANAG00000025359
carlito_syrichta ENSTSYG00000037393
prolemur_simus ENSPSMG00000009026
propithecus_coquereli ENSPCOG00000018920
microcebus_murinus ENSMICG00000005466
otolemur_garnettii ENSOGAG00000008158
ictidomys_tridecemlineatus ENSSTOG00000026692
urocitellus_parryii ENSUPAG00010006454
spermophilus_dauricus ENSSDAG00000011837
urocitellus_parryii ENSUPAG00010006465
cavia_aperea ENSCAPG00000017550
cavia_porcellus ENSCPOG00000032178
chinchilla_lanigera ENSCLAG00000000371
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009728
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005617
fukomys_damarensis ENSFDAG00000009812
octodon_degus ENSODEG00000000926
castor_canadensis ENSCCNG00000021925
dipodomys_ordii ENSDORG00000029276
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000033961
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030271
mus_spicilegus ENSMSIG00000015053
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029195
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021057
rattus_norvegicus ENSRNOG00000060429
meriones_unguiculatus ENSMUGG00000027216
cricetulus_griseus_crigri-picr ENSCGRG00015015058
cricetulus_griseus_crigri_1.0 ENSCGRG00000009621
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014374
mesocricetus_auratus ENSMAUG00000010544
peromyscus_maniculatus_bairdii ENSPEMG00000018419
microtus_ochrogaster ENSMOCG00000018903
rattus_norvegicus ENSRNOG00000019623
nannospalax_galili ENSNGAG00000023891
jaculus_jaculus ENSJJAG00000001143
ochotona_princeps ENSOPRG00000007432
tupaia_belangeri ENSTBEG00000003355
loxodonta_africana ENSLAFG00000013556
procavia_capensis ENSPCAG00000010237
echinops_telfairi ENSETEG00000010321
echinops_telfairi ENSETEG00000020358
dasypus_novemcinctus ENSDNOG00000040824
