neovison_vison ENSNVIG00000004011
mustela_putorius_furo ENSMPUG00000013491
ursus_maritimus ENSUMAG00000009681
vulpes_vulpes ENSVVUG00000007264
canis_lupus_dingo ENSCAFG00020021634
myotis_lucifugus ENSMLUG00000029090
rhinopithecus_bieti ENSRBIG00000006416
rhinopithecus_roxellana ENSRROG00000042262
piliocolobus_tephrosceles ENSPTEG00000013832
colobus_angolensis_palliatus ENSCANG00000040238
theropithecus_gelada ENSTGEG00000021037
papio_anubis ENSPANG00000031459
macaca_fascicularis ENSMFAG00000043938
macaca_nemestrina ENSMNEG00000021095
macaca_mulatta ENSMMUG00000018286
cercocebus_atys ENSCATG00000044121
mandrillus_leucophaeus ENSMLEG00000044023
chlorocebus_sabaeus ENSCSAG00000007276
cebus_capucinus_imitator ENSCCAG00000030664
saimiri_boliviensis_boliviensis ENSSBOG00000023019
prolemur_simus ENSPSMG00000018078
marmota_marmota_marmota ENSMMMG00000022988
urocitellus_parryii ENSUPAG00010006256
felis_catus ENSFCAG00000030501
panthera_tigris_altaica ENSPTIG00000020686
ailuropoda_melanoleuca ENSAMEG00000000810
sus_scrofa ENSSSCG00000007847
loxodonta_africana ENSLAFG00000032122
rhinopithecus_roxellana ENSRROG00000041443
rhinopithecus_bieti ENSRBIG00000041300
colobus_angolensis_palliatus ENSCANG00000030580
piliocolobus_tephrosceles ENSPTEG00000013648
cercocebus_atys ENSCATG00000039210
mandrillus_leucophaeus ENSMLEG00000037547
papio_anubis ENSPANG00000000945
theropithecus_gelada ENSTGEG00000021074
macaca_nemestrina ENSMNEG00000030043
macaca_mulatta ENSMMUG00000043703
macaca_fascicularis ENSMFAG00000035846
pongo_abelii ENSPPYG00000007171
cebus_capucinus_imitator ENSCCAG00000028877
prolemur_simus ENSPSMG00000018055
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018970
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018094
cavia_porcellus ENSCPOG00000034787
ochotona_princeps ENSOPRG00000000889
tupaia_belangeri ENSTBEG00000017529
canis_lupus_familiaris ENSCAFG00000029739
procavia_capensis ENSPCAG00000005836
panthera_tigris_altaica ENSPTIG00000003206
felis_catus ENSFCAG00000043728
ursus_americanus ENSUAMG00000005194
erinaceus_europaeus ENSEEUG00000009163
sus_scrofa ENSSSCG00000034298
sus_scrofa ENSSSCG00000031209
vicugna_pacos ENSVPAG00000003475
myotis_lucifugus ENSMLUG00000009601
macaca_fascicularis ENSMFAG00000043697
macaca_nemestrina ENSMNEG00000044374
theropithecus_gelada ENSTGEG00000021043
cercocebus_atys ENSCATG00000029470
piliocolobus_tephrosceles ENSPTEG00000013687
saimiri_boliviensis_boliviensis ENSSBOG00000023424
prolemur_simus ENSPSMG00000018060
urocitellus_parryii ENSUPAG00010008317
urocitellus_parryii ENSUPAG00010008321
spermophilus_dauricus ENSSDAG00000023206
procavia_capensis ENSPCAG00000000921
loxodonta_africana ENSLAFG00000022318
dasypus_novemcinctus ENSDNOG00000040668
chinchilla_lanigera ENSCLAG00000008228
octodon_degus ENSODEG00000011826
mus_spicilegus ENSMSIG00000027504
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031508
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000054746
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030394
rattus_norvegicus ENSRNOG00000027505
meriones_unguiculatus ENSMUGG00000007596
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001007949
cricetulus_griseus_crigri_1.0 ENSCGRG00000010114
cricetulus_griseus_crigri-picr ENSCGRG00015013644
mesocricetus_auratus ENSMAUG00000014118
peromyscus_maniculatus_bairdii ENSPEMG00000018462
microtus_ochrogaster ENSMOCG00000015845
ictidomys_tridecemlineatus ENSSTOG00000020081
oryctolagus_cuniculus ENSOCUG00000027125
otolemur_garnettii ENSOGAG00000031488
canis_lupus_familiaris ENSCAFG00000029669
