marmota_marmota_marmota ENSMMMG00000003423
urocitellus_parryii ENSUPAG00010020787
spermophilus_dauricus ENSSDAG00000021088
castor_canadensis ENSCCNG00000006349
chinchilla_lanigera ENSCLAG00000012207
cavia_porcellus ENSCPOG00000004994
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003078
fukomys_damarensis ENSFDAG00000018908
mus_spicilegus ENSMSIG00000026452
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000044783
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015202
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014398
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027634
rattus_norvegicus ENSRNOG00000022911
meriones_unguiculatus ENSMUGG00000010654
cricetulus_griseus_crigri-picr ENSCGRG00015012992
cricetulus_griseus_crigri_1.0 ENSCGRG00000005524
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024392
mesocricetus_auratus ENSMAUG00000017670
microtus_ochrogaster ENSMOCG00000013256
peromyscus_maniculatus_bairdii ENSPEMG00000021817
peromyscus_maniculatus_bairdii ENSPEMG00000025738
nannospalax_galili ENSNGAG00000000397
oryctolagus_cuniculus ENSOCUG00000011170
ochotona_princeps ENSOPRG00000014444
pan_troglodytes ENSPTRG00000013062
pan_troglodytes ENSPTRG00000044056
pan_paniscus ENSPPAG00000037468
gorilla_gorilla ENSGGOG00000002621
homo_sapiens ENSG00000123485
pongo_abelii ENSPPYG00000013296
nomascus_leucogenys ENSNLEG00000008476
piliocolobus_tephrosceles ENSPTEG00000034539
colobus_angolensis_palliatus ENSCANG00000040071
rhinopithecus_roxellana ENSRROG00000034157
rhinopithecus_bieti ENSRBIG00000037337
macaca_fascicularis ENSMFAG00000000886
macaca_mulatta ENSMMUG00000021221
macaca_nemestrina ENSMNEG00000040615
cercocebus_atys ENSCATG00000033953
mandrillus_leucophaeus ENSMLEG00000040399
papio_anubis ENSPANG00000015124
theropithecus_gelada ENSTGEG00000021227
chlorocebus_sabaeus ENSCSAG00000006286
cebus_capucinus_imitator ENSCCAG00000036106
saimiri_boliviensis_boliviensis ENSSBOG00000019880
callithrix_jacchus ENSCJAG00000014161
aotus_nancymaae ENSANAG00000026897
carlito_syrichta ENSTSYG00000008333
propithecus_coquereli ENSPCOG00000025953
prolemur_simus ENSPSMG00000015096
microcebus_murinus ENSMICG00000014679
otolemur_garnettii ENSOGAG00000014928
ursus_maritimus ENSUMAG00000013374
ursus_americanus ENSUAMG00000027881
ailuropoda_melanoleuca ENSAMEG00000016113
neovison_vison ENSNVIG00000005631
mustela_putorius_furo ENSMPUG00000002240
canis_lupus_familiaris ENSCAFG00000011899
canis_lupus_dingo ENSCAFG00020024315
vulpes_vulpes ENSVVUG00000025386
felis_catus ENSFCAG00000045340
panthera_tigris_altaica ENSPTIG00000018950
equus_caballus ENSECAG00000010053
equus_asinus_asinus ENSEASG00005019935
myotis_lucifugus ENSMLUG00000017421
pteropus_vampyrus ENSPVAG00000006273
bos_mutus ENSBMUG00000019907
bison_bison_bison ENSBBBG00000005901
bos_taurus ENSBTAG00000024726
ovis_aries ENSOARG00000019189
capra_hircus ENSCHIG00000020706
tursiops_truncatus ENSTTRG00000004404
sus_scrofa ENSSSCG00000016313
erinaceus_europaeus ENSEEUG00000012610
sorex_araneus ENSSARG00000007172
choloepus_hoffmanni ENSCHOG00000001328
dasypus_novemcinctus ENSDNOG00000017189
loxodonta_africana ENSLAFG00000008536
echinops_telfairi ENSETEG00000014682
panthera_pardus ENSPPRG00000005246
bos_mutus ENSBMUG00000025460
jaculus_jaculus ENSJJAG00000015930
pogona_vitticeps ENSPVIG00000008701
anolis_carolinensis ENSACAG00000028367
salvator_merianae ENSSMRG00000003397
gopherus_agassizii ENSGAGG00000004473
chelonoidis_abingdonii ENSCABG00000000130
chrysemys_picta_bellii ENSCPBG00000005307
pelodiscus_sinensis ENSPSIG00000016902
crocodylus_porosus ENSCPRG00005010027
cyanistes_caeruleus ENSCCEG00000015802
taeniopygia_guttata ENSTGUG00000013602
manacus_vitellinus ENSMVIG00005000788
lepidothrix_coronata ENSLCOG00000010796
melopsittacus_undulatus ENSMUNG00000007056
calidris_pugnax ENSCPUG00000004267
calidris_pygmaea ENSCPGG00000015557
anser_brachyrhynchus ENSABRG00000004716
anas_platyrhynchos_platyrhynchos ENSAPLG00000013802
gallus_gallus ENSGALG00000015363
coturnix_japonica ENSCJPG00005017648
meleagris_gallopavo ENSMGAG00000014393
numida_meleagris ENSNMEG00000010131
apteryx_haastii ENSAHAG00000000720
apteryx_rowi ENSARWG00000011498
apteryx_owenii ENSAOWG00000015001
dromaius_novaehollandiae ENSDNVG00000003730
nothoprocta_perdicaria ENSNPEG00000008925
