neovison_vison ENSNVIG00000017895
mustela_putorius_furo ENSMPUG00000017829
ursus_americanus ENSUAMG00000026314
canis_lupus_dingo ENSCAFG00020004963
felis_catus ENSFCAG00000021903
sus_scrofa ENSSSCG00000034460
equus_asinus_asinus ENSEASG00005008547
equus_caballus ENSECAG00000001208
urocitellus_parryii ENSUPAG00010004879
castor_canadensis ENSCCNG00000027875
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025433
mus_spicilegus ENSMSIG00000001368
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000038523
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024511
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025955
rattus_norvegicus ENSRNOG00000016583
meriones_unguiculatus ENSMUGG00000018247
cricetulus_griseus_crigri-picr ENSCGRG00015000746
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012971
cricetulus_griseus_crigri_1.0 ENSCGRG00000010991
mesocricetus_auratus ENSMAUG00000022072
peromyscus_maniculatus_bairdii ENSPEMG00000031171
microtus_ochrogaster ENSMOCG00000019597
nannospalax_galili ENSNGAG00000020211
jaculus_jaculus ENSJJAG00000010475
ochotona_princeps ENSOPRG00000001443
propithecus_coquereli ENSPCOG00000016999
prolemur_simus ENSPSMG00000018069
tursiops_truncatus ENSTTRG00000010097
pteropus_vampyrus ENSPVAG00000010288
mandrillus_leucophaeus ENSMLEG00000044204
cercocebus_atys ENSCATG00000044672
macaca_mulatta ENSMMUG00000023548
macaca_fascicularis ENSMFAG00000038184
macaca_nemestrina ENSMNEG00000045111
theropithecus_gelada ENSTGEG00000006319
papio_anubis ENSPANG00000017513
chlorocebus_sabaeus ENSCSAG00000012277
colobus_angolensis_palliatus ENSCANG00000043138
piliocolobus_tephrosceles ENSPTEG00000007564
rhinopithecus_roxellana ENSRROG00000044990
rhinopithecus_bieti ENSRBIG00000034520
pan_troglodytes ENSPTRG00000013403
pan_troglodytes ENSPTRG00000046446
pan_paniscus ENSPPAG00000042847
homo_sapiens ENSG00000149609
gorilla_gorilla ENSGGOG00000038124
pongo_abelii ENSPPYG00000010927
nomascus_leucogenys ENSNLEG00000010006
cebus_capucinus_imitator ENSCCAG00000001393
saimiri_boliviensis_boliviensis ENSSBOG00000026299
callithrix_jacchus ENSCJAG00000018471
aotus_nancymaae ENSANAG00000028577
chinchilla_lanigera ENSCLAG00000017072
octodon_degus ENSODEG00000013210
tupaia_belangeri ENSTBEG00000016109
loxodonta_africana ENSLAFG00000018104
procavia_capensis ENSPCAG00000015768
echinops_telfairi ENSETEG00000018932
dasypus_novemcinctus ENSDNOG00000007969
capra_hircus ENSCHIG00000024263
ovis_aries ENSOARG00000008515
bos_taurus ENSBTAG00000003962
bison_bison_bison ENSBBBG00000004464
monodelphis_domestica ENSMODG00000002993
