capra_hircus ENSCHIG00000018501
bos_taurus ENSBTAG00000010450
bos_mutus ENSBMUG00000012029
bison_bison_bison ENSBBBG00000019139
ovis_aries ENSOARG00000003262
tursiops_truncatus ENSTTRG00000016005
sus_scrofa ENSSSCG00000013836
pteropus_vampyrus ENSPVAG00000016918
myotis_lucifugus ENSMLUG00000005482
equus_caballus ENSECAG00000008043
equus_asinus_asinus ENSEASG00005003665
ursus_americanus ENSUAMG00000000383
ursus_maritimus ENSUMAG00000001868
ailuropoda_melanoleuca ENSAMEG00000002239
neovison_vison ENSNVIG00000011787
mustela_putorius_furo ENSMPUG00000016070
canis_lupus_dingo ENSCAFG00020009522
canis_lupus_familiaris ENSCAFG00000016006
vulpes_vulpes ENSVVUG00000020383
panthera_pardus ENSPPRG00000006238
panthera_tigris_altaica ENSPTIG00000012019
felis_catus ENSFCAG00000013648
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024050
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022296
mus_spicilegus ENSMSIG00000005353
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021382
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020389
rattus_norvegicus ENSRNOG00000006217
meriones_unguiculatus ENSMUGG00000005587
cricetulus_griseus_crigri_1.0 ENSCGRG00000010808
cricetulus_griseus_crigri-picr ENSCGRG00015008574
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017844
peromyscus_maniculatus_bairdii ENSPEMG00000014668
microtus_ochrogaster ENSMOCG00000004182
nannospalax_galili ENSNGAG00000012635
jaculus_jaculus ENSJJAG00000013018
castor_canadensis ENSCCNG00000001771
ictidomys_tridecemlineatus ENSSTOG00000006775
spermophilus_dauricus ENSSDAG00000009910
urocitellus_parryii ENSUPAG00010000750
marmota_marmota_marmota ENSMMMG00000022459
chinchilla_lanigera ENSCLAG00000013723
octodon_degus ENSODEG00000011172
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015009
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018971
fukomys_damarensis ENSFDAG00000019424
cavia_aperea ENSCAPG00000009567
cavia_porcellus ENSCPOG00000009735
oryctolagus_cuniculus ENSOCUG00000004063
ochotona_princeps ENSOPRG00000003769
dipodomys_ordii ENSDORG00000001773
pan_paniscus ENSPPAG00000041420
pan_troglodytes ENSPTRG00000010622
homo_sapiens ENSG00000011451
gorilla_gorilla ENSGGOG00000013470
pongo_abelii ENSPPYG00000009672
nomascus_leucogenys ENSNLEG00000005312
mandrillus_leucophaeus ENSMLEG00000039726
cercocebus_atys ENSCATG00000038696
papio_anubis ENSPANG00000014329
theropithecus_gelada ENSTGEG00000008765
macaca_fascicularis ENSMFAG00000039361
macaca_nemestrina ENSMNEG00000028400
macaca_mulatta ENSMMUG00000028863
chlorocebus_sabaeus ENSCSAG00000006081
piliocolobus_tephrosceles ENSPTEG00000035311
colobus_angolensis_palliatus ENSCANG00000030064
rhinopithecus_roxellana ENSRROG00000035125
rhinopithecus_bieti ENSRBIG00000038833
cebus_capucinus_imitator ENSCCAG00000026732
saimiri_boliviensis_boliviensis ENSSBOG00000019267
callithrix_jacchus ENSCJAG00000002265
aotus_nancymaae ENSANAG00000027183
carlito_syrichta ENSTSYG00000025484
propithecus_coquereli ENSPCOG00000014237
prolemur_simus ENSPSMG00000009151
microcebus_murinus ENSMICG00000012764
otolemur_garnettii ENSOGAG00000010952
dasypus_novemcinctus ENSDNOG00000007718
loxodonta_africana ENSLAFG00000004604
procavia_capensis ENSPCAG00000004027
echinops_telfairi ENSETEG00000018785
ursus_americanus ENSUAMG00000000338
panthera_tigris_altaica ENSPTIG00000012570
equus_asinus_asinus ENSEASG00005003668
phascolarctos_cinereus ENSPCIG00000004692
notamacropus_eugenii ENSMEUG00000009021
phascolarctos_cinereus ENSPCIG00000004684
sarcophilus_harrisii ENSSHAG00000010834
monodelphis_domestica ENSMODG00000014589
ornithorhynchus_anatinus ENSOANG00000001542
gopherus_agassizii ENSGAGG00000025276
chelonoidis_abingdonii ENSCABG00000017724
chrysemys_picta_bellii ENSCPBG00000020811
pelodiscus_sinensis ENSPSIG00000008959
anser_brachyrhynchus ENSABRG00000016351
anas_platyrhynchos_platyrhynchos ENSAPLG00000029801
calidris_pygmaea ENSCPGG00000004545
calidris_pugnax ENSCPUG00000003905
lepidothrix_coronata ENSLCOG00000001672
apteryx_haastii ENSAHAG00000019306
apteryx_rowi ENSARWG00000010322
apteryx_owenii ENSAOWG00000012422
pogona_vitticeps ENSPVIG00000014767
anolis_carolinensis ENSACAG00000017318
notechis_scutatus ENSNSUG00000018118
salvator_merianae ENSSMRG00000006116
sphenodon_punctatus ENSSPUG00000000555
lonchura_striata_domestica ENSLSDG00000012302
parus_major ENSPMJG00000004168
xenopus_tropicalis ENSXETG00000013026
latimeria_chalumnae ENSLACG00000013145
paramormyrops_kingsleyae ENSPKIG00000008281
scleropages_formosus ENSSFOG00015008605
scleropages_formosus ENSSFOG00015005897
takifugu_rubripes ENSTRUG00000022121
tetraodon_nigroviridis ENSTNIG00000003739
mola_mola ENSMMOG00000006296
hippocampus_comes ENSHCOG00000000519
fundulus_heteroclitus ENSFHEG00000009497
cyprinodon_variegatus ENSCVAG00000007770
poecilia_mexicana ENSPMEG00000016262
poecilia_latipinna ENSPLAG00000018297
poecilia_formosa ENSPFOG00000010876
poecilia_reticulata ENSPREG00000009467
xiphophorus_maculatus ENSXMAG00000008866
xiphophorus_couchianus ENSXCOG00000015520
gambusia_affinis ENSGAFG00000014208
kryptolebias_marmoratus ENSKMAG00000010836
oryzias_latipes_asm223471v1 ENSORLG00020022105
oryzias_latipes_asm223469v1 ENSORLG00015015155
oryzias_latipes_asm223467v1 ENSORLG00000023912
oryzias_melastigma ENSOMEG00000010110
amphiprion_ocellaris ENSAOCG00000024453
amphiprion_percula ENSAPEG00000017624
acanthochromis_polyacanthus ENSAPOG00000002138
stegastes_partitus ENSSPAG00000018219
maylandia_zebra ENSMZEG00005002436
haplochromis_burtoni ENSHBUG00000019985
astatotilapia_calliptera ENSACLG00000001576
neolamprologus_brichardi ENSNBRG00000010147
pundamilia_nyererei ENSPNYG00000001991
oreochromis_niloticus ENSONIG00000008090
amphilophus_citrinellus ENSACIG00000020547
anabas_testudineus ENSATEG00000012527
mastacembelus_armatus ENSMAMG00000010552
seriola_dumerili ENSSDUG00000008791
seriola_lalandi_dorsalis ENSSLDG00000017246
scophthalmus_maximus ENSSMAG00000002483
monopterus_albus ENSMALG00000002294
periophthalmus_magnuspinnatus ENSPMGG00000014404
esox_lucius ENSELUG00000010335
labrus_bergylta ENSLBEG00000026981
pygocentrus_nattereri ENSPNAG00000000843
astyanax_mexicanus ENSAMXG00000039392
ictalurus_punctatus ENSIPUG00000007732
danio_rerio ENSDARG00000102436
takifugu_rubripes ENSTRUG00000007298
tetraodon_nigroviridis ENSTNIG00000012057
mola_mola ENSMMOG00000007244
gasterosteus_aculeatus ENSGACG00000019100
labrus_bergylta ENSLBEG00000011180
amphiprion_percula ENSAPEG00000017723
amphiprion_ocellaris ENSAOCG00000013997
acanthochromis_polyacanthus ENSAPOG00000011287
stegastes_partitus ENSSPAG00000006932
astatotilapia_calliptera ENSACLG00000015145
pundamilia_nyererei ENSPNYG00000006231
maylandia_zebra ENSMZEG00005010219
haplochromis_burtoni ENSHBUG00000021703
oreochromis_niloticus ENSONIG00000018912
neolamprologus_brichardi ENSNBRG00000019584
amphilophus_citrinellus ENSACIG00000006782
fundulus_heteroclitus ENSFHEG00000015036
cyprinodon_variegatus ENSCVAG00000011311
poecilia_mexicana ENSPMEG00000004491
poecilia_formosa ENSPFOG00000012800
poecilia_reticulata ENSPREG00000000519
gambusia_affinis ENSGAFG00000013674
xiphophorus_maculatus ENSXMAG00000005262
kryptolebias_marmoratus ENSKMAG00000021763
oryzias_latipes_asm223471v1 ENSORLG00020019244
oryzias_latipes_asm223467v1 ENSORLG00000014523
oryzias_latipes_asm223469v1 ENSORLG00015020135
oryzias_melastigma ENSOMEG00000000435
monopterus_albus ENSMALG00000002051
mastacembelus_armatus ENSMAMG00000008051
seriola_lalandi_dorsalis ENSSLDG00000008103
seriola_dumerili ENSSDUG00000019952
anabas_testudineus ENSATEG00000022072
cynoglossus_semilaevis ENSCSEG00000014206
periophthalmus_magnuspinnatus ENSPMGG00000010952
gadus_morhua ENSGMOG00000015480
esox_lucius ENSELUG00000024368
astyanax_mexicanus ENSAMXG00000039395
pygocentrus_nattereri ENSPNAG00000008740
danio_rerio ENSDARG00000096428
lepisosteus_oculatus ENSLOCG00000006765
gasterosteus_aculeatus ENSGACG00000006262
cynoglossus_semilaevis ENSCSEG00000016275
