cavia_porcellus ENSCPOG00000013878
cavia_aperea ENSCAPG00000014586
chinchilla_lanigera ENSCLAG00000004165
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015356
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016137
fukomys_damarensis ENSFDAG00000018924
urocitellus_parryii ENSUPAG00010015527
ictidomys_tridecemlineatus ENSSTOG00000020210
marmota_marmota_marmota ENSMMMG00000015602
spermophilus_dauricus ENSSDAG00000017995
castor_canadensis ENSCCNG00000024346
dipodomys_ordii ENSDORG00000002888
mus_spicilegus ENSMSIG00000001923
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018764
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000021222
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017919
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029675
rattus_norvegicus ENSRNOG00000008399
meriones_unguiculatus ENSMUGG00000021888
peromyscus_maniculatus_bairdii ENSPEMG00000009925
microtus_ochrogaster ENSMOCG00000015020
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000557
cricetulus_griseus_crigri_1.0 ENSCGRG00000010226
cricetulus_griseus_crigri-picr ENSCGRG00015028251
mesocricetus_auratus ENSMAUG00000016053
nannospalax_galili ENSNGAG00000012972
jaculus_jaculus ENSJJAG00000021188
oryctolagus_cuniculus ENSOCUG00000009405
ochotona_princeps ENSOPRG00000016720
tupaia_belangeri ENSTBEG00000006171
papio_anubis ENSPANG00000016403
theropithecus_gelada ENSTGEG00000021999
mandrillus_leucophaeus ENSMLEG00000040126
macaca_mulatta ENSMMUG00000003625
macaca_fascicularis ENSMFAG00000037267
macaca_nemestrina ENSMNEG00000036053
cercocebus_atys ENSCATG00000020304
chlorocebus_sabaeus ENSCSAG00000012844
piliocolobus_tephrosceles ENSPTEG00000030192
colobus_angolensis_palliatus ENSCANG00000033525
rhinopithecus_roxellana ENSRROG00000035960
rhinopithecus_bieti ENSRBIG00000041818
pan_troglodytes ENSPTRG00000006507
pan_paniscus ENSPPAG00000029989
homo_sapiens ENSG00000119599
gorilla_gorilla ENSGGOG00000003815
pongo_abelii ENSPPYG00000005965
nomascus_leucogenys ENSNLEG00000002449
cebus_capucinus_imitator ENSCCAG00000033783
saimiri_boliviensis_boliviensis ENSSBOG00000033529
callithrix_jacchus ENSCJAG00000014514
aotus_nancymaae ENSANAG00000033863
carlito_syrichta ENSTSYG00000010001
pongo_abelii ENSPPYG00000018728
homo_sapiens ENSG00000176566
nomascus_leucogenys ENSNLEG00000019002
colobus_angolensis_palliatus ENSCANG00000015120
piliocolobus_tephrosceles ENSPTEG00000034763
macaca_fascicularis ENSMFAG00000025336
macaca_nemestrina ENSMNEG00000015640
papio_anubis ENSPANG00000011397
theropithecus_gelada ENSTGEG00000025582
mandrillus_leucophaeus ENSMLEG00000000374
callithrix_jacchus ENSCJAG00000023155
microcebus_murinus ENSMICG00000015497
propithecus_coquereli ENSPCOG00000022782
prolemur_simus ENSPSMG00000015813
otolemur_garnettii ENSOGAG00000012383
pteropus_vampyrus ENSPVAG00000003913
myotis_lucifugus ENSMLUG00000000420
equus_caballus ENSECAG00000015480
equus_asinus_asinus ENSEASG00005004728
tursiops_truncatus ENSTTRG00000012204
vicugna_pacos ENSVPAG00000009047
bos_taurus ENSBTAG00000008713
bos_mutus ENSBMUG00000009848
bison_bison_bison ENSBBBG00000002672
capra_hircus ENSCHIG00000014966
ovis_aries ENSOARG00000000227
sus_scrofa ENSSSCG00000028159
ursus_maritimus ENSUMAG00000009064
ursus_americanus ENSUAMG00000011640
ailuropoda_melanoleuca ENSAMEG00000016247
mustela_putorius_furo ENSMPUG00000003683
neovison_vison ENSNVIG00000007698
canis_lupus_familiaris ENSCAFG00000016792
canis_lupus_dingo ENSCAFG00020004555
vulpes_vulpes ENSVVUG00000004408
panthera_pardus ENSPPRG00000000080
panthera_tigris_altaica ENSPTIG00000017388
felis_catus ENSFCAG00000014698
erinaceus_europaeus ENSEEUG00000011696
sorex_araneus ENSSARG00000008371
dasypus_novemcinctus ENSDNOG00000042933
choloepus_hoffmanni ENSCHOG00000003853
procavia_capensis ENSPCAG00000006051
loxodonta_africana ENSLAFG00000008436
echinops_telfairi ENSETEG00000007045
phascolarctos_cinereus ENSPCIG00000019926
