cricetulus_griseus_crigri_1.0 ENSCGRG00000005267
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013835
cricetulus_griseus_crigri-picr ENSCGRG00015004628
mesocricetus_auratus ENSMAUG00000018752
peromyscus_maniculatus_bairdii ENSPEMG00000011254
microtus_ochrogaster ENSMOCG00000020132
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000046718
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032309
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031190
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021655
rattus_norvegicus ENSRNOG00000059900
meriones_unguiculatus ENSMUGG00000023352
octodon_degus ENSODEG00000001667
castor_canadensis ENSCCNG00000021093
marmota_marmota_marmota ENSMMMG00000023562
urocitellus_parryii ENSUPAG00010019429
tupaia_belangeri ENSTBEG00000013950
pan_paniscus ENSPPAG00000035052
pan_troglodytes ENSPTRG00000010672
homo_sapiens ENSG00000130303
gorilla_gorilla ENSGGOG00000015278
pongo_abelii ENSPPYG00000029692
nomascus_leucogenys ENSNLEG00000005767
rhinopithecus_bieti ENSRBIG00000014767
rhinopithecus_roxellana ENSRROG00000041878
colobus_angolensis_palliatus ENSCANG00000043350
piliocolobus_tephrosceles ENSPTEG00000032607
macaca_nemestrina ENSMNEG00000036358
macaca_fascicularis ENSMFAG00000002669
macaca_mulatta ENSMMUG00000005829
mandrillus_leucophaeus ENSMLEG00000039385
cercocebus_atys ENSCATG00000042329
papio_anubis ENSPANG00000001190
theropithecus_gelada ENSTGEG00000012503
chlorocebus_sabaeus ENSCSAG00000005601
saimiri_boliviensis_boliviensis ENSSBOG00000027062
cebus_capucinus_imitator ENSCCAG00000015973
callithrix_jacchus ENSCJAG00000009764
aotus_nancymaae ENSANAG00000027867
carlito_syrichta ENSTSYG00000034980
ursus_americanus ENSUAMG00000001590
ursus_maritimus ENSUMAG00000011787
ailuropoda_melanoleuca ENSAMEG00000010517
mustela_putorius_furo ENSMPUG00000015887
neovison_vison ENSNVIG00000016053
canis_lupus_familiaris ENSCAFG00000031353
vulpes_vulpes ENSVVUG00000016108
panthera_tigris_altaica ENSPTIG00000012457
panthera_pardus ENSPPRG00000008186
felis_catus ENSFCAG00000001009
equus_asinus_asinus ENSEASG00005002921
equus_caballus ENSECAG00000003563
tursiops_truncatus ENSTTRG00000006805
sus_scrofa ENSSSCG00000033453
ovis_aries ENSOARG00000025182
capra_hircus ENSCHIG00000015033
bos_mutus ENSBMUG00000019360
bos_taurus ENSBTAG00000053806
capra_hircus ENSCHIG00000015462
ovis_aries ENSOARG00000016787
bos_mutus ENSBMUG00000024817
bos_taurus ENSBTAG00000045588
bos_taurus ENSBTAG00000008021
bos_mutus ENSBMUG00000008694
bison_bison_bison ENSBBBG00000007591
myotis_lucifugus ENSMLUG00000029243
myotis_lucifugus ENSMLUG00000023562
myotis_lucifugus ENSMLUG00000023691
myotis_lucifugus ENSMLUG00000026989
pteropus_vampyrus ENSPVAG00000007879
loxodonta_africana ENSLAFG00000031751
procavia_capensis ENSPCAG00000002224
